date_obj,Cosmic%20rune price
2015-03-26,165
2015-03-27,165
2015-03-28,160
2015-03-29,153
2015-03-30,146
2015-03-31,148
2015-04-01,154
2015-04-02,156
2015-04-03,153
2015-04-04,146
2015-04-05,141
2015-04-06,145
2015-04-07,150
2015-04-08,151
2015-04-09,156
2015-04-10,161
2015-04-11,169
2015-04-12,178
2015-04-13,180
2015-04-14,182
2015-04-15,174
2015-04-16,167
2015-04-17,165
2015-04-18,166
2015-04-19,164
2015-04-20,157
2015-04-21,152
2015-04-22,148
2015-04-23,146
2015-04-24,148
2015-04-25,149
2015-04-26,148
2015-04-27,151
2015-04-28,153
2015-04-29,154
2015-04-30,160
2015-05-01,165
2015-05-02,171
2015-05-03,172
2015-05-04,173
2015-05-05,168
2015-05-06,159
2015-05-07,152
2015-05-08,155
2015-05-09,160
2015-05-10,163
2015-05-11,160
2015-05-12,159
2015-05-13,166
2015-05-14,171
2015-05-15,169
2015-05-16,173
2015-05-17,170
2015-05-18,175
2015-05-19,178
2015-05-20,183
2015-05-21,179
2015-05-22,173
2015-05-23,165
2015-05-24,156
2015-05-25,155
2015-05-26,157
2015-05-27,154
2015-05-28,155
2015-05-29,151
2015-05-30,145
2015-05-31,145
2015-06-01,144
2015-06-02,146
2015-06-03,145
2015-06-04,140
2015-06-05,138
2015-06-06,132
2015-06-07,130
2015-06-08,133
2015-06-09,139
2015-06-10,146
2015-06-11,154
2015-06-12,157
2015-06-13,153
2015-06-14,151
2015-06-15,158
2015-06-16,162
2015-06-17,159
2015-06-18,153
2015-06-19,151
2015-06-20,149
2015-06-21,146
2015-06-22,144
2015-06-23,140
2015-06-24,139
2015-06-25,137
2015-06-26,140
2015-06-27,143
2015-06-28,144
2015-06-29,143
2015-06-30,146
2015-07-01,145
2015-07-02,145
2015-07-03,143
2015-07-04,137
2015-07-05,138
2015-07-06,139
2015-07-07,142
2015-07-08,144
2015-07-09,144
2015-07-10,140
2015-07-11,138
2015-07-12,133
2015-07-13,132
2015-07-14,135
2015-07-15,140
2015-07-16,134
2015-07-17,129
2015-07-18,122
2015-07-19,115
2015-07-20,111
2015-07-21,114
2015-07-22,120
2015-07-23,126
2015-07-24,130
2015-07-25,133
2015-07-26,134
2015-07-27,134
2015-07-28,134
2015-07-29,130
2015-07-30,131
2015-07-31,130
2015-08-01,125
2015-08-02,123
2015-08-03,127
2015-08-04,132
2015-08-05,132
2015-08-06,130
2015-08-07,132
2015-08-08,132
2015-08-09,129
2015-08-10,131
2015-08-11,131
2015-08-12,137
2015-08-13,142
2015-08-14,149
2015-08-15,147
2015-08-16,144
2015-08-17,151
2015-08-18,154
2015-08-19,154
2015-08-20,150
2015-08-21,144
2015-08-22,137
2015-08-23,136
2015-08-24,139
2015-08-25,135
2015-08-26,132
2015-08-27,129
2015-08-28,126
2015-08-29,125
2015-08-30,124
2015-08-31,121
2015-09-01,120
2015-09-02,118
2015-09-03,116
2015-09-04,119
2015-09-05,115
2015-09-06,111
2015-09-07,107
2015-09-08,109
2015-09-09,115
2015-09-10,119
2015-09-11,122
2015-09-12,117
2015-09-13,116
2015-09-14,118
2015-09-15,121
2015-09-16,118
2015-09-17,117
2015-09-18,122
2015-09-19,125
2015-09-20,129
2015-09-21,128
2015-09-22,128
2015-09-23,123
2015-09-24,127
2015-09-25,123
2015-09-27,113
2015-09-28,115
2015-09-29,117
2015-09-30,114
2015-10-05,117
2015-10-06,118
2015-10-07,120
2015-10-08,124
2015-10-09,131
2015-10-10,138
2015-10-11,141
2015-10-12,143
2015-10-13,145
2015-10-14,153
2015-10-15,153
2015-10-16,145
2015-10-17,137
2015-10-18,135
2015-10-19,129
2015-10-20,122
2015-10-22,115
2015-10-23,119
2015-10-24,120
2015-10-25,121
2015-10-26,120
2015-10-27,120
2015-10-29,119
2015-10-30,116
2015-10-31,114
2015-11-01,115
2015-11-02,116
2015-11-03,118
2015-11-04,119
2015-11-05,116
2015-11-06,117
2015-11-07,119
2015-11-08,117
2015-11-09,120
2015-11-10,117
2015-11-11,119
2015-11-12,119
2015-11-13,122
2015-11-14,118
2015-11-15,118
2015-11-16,121
2015-11-17,127
2015-11-18,134
2015-11-19,140
2015-11-20,146
2015-11-21,150
2015-11-22,149
2015-11-23,157
2015-11-24,163
2015-11-25,169
2015-11-26,164
2015-11-27,159
2015-11-28,151
2015-11-29,143
2015-11-30,136
2015-12-01,138
2015-12-02,141
2015-12-03,138
2015-12-04,132
2015-12-05,125
2015-12-06,119
2015-12-07,119
2015-12-08,120
2015-12-09,120
2015-12-10,119
2015-12-11,115
2015-12-12,111
2015-12-13,108
2015-12-14,106
2015-12-15,107
2015-12-16,105
2015-12-17,101
2015-12-18,96
2015-12-19,94
2015-12-20,91
2015-12-21,92
2015-12-22,93
2015-12-23,91
2015-12-24,91
2015-12-25,89
2015-12-26,85
2015-12-27,82
2015-12-28,78
2015-12-29,76
2015-12-30,77
2015-12-31,75
2016-01-01,76
2016-01-02,76
2016-01-03,77
2016-01-04,80
2016-01-05,82
2016-01-06,82
2016-01-07,80
2016-01-08,76
2016-01-09,72
2016-01-10,69
2016-01-11,68
2016-01-12,66
2016-01-13,64
2016-01-14,66
2016-01-15,70
2016-01-16,73
2016-01-17,73
2016-01-18,73
2016-01-19,75
2016-01-20,75
2016-01-21,77
2016-01-22,81
2016-01-23,84
2016-01-24,86
2016-01-25,90
2016-01-26,95
2016-01-27,91
2016-01-28,87
2016-01-29,85
2016-01-30,85
2016-01-31,87
2016-02-01,85
2016-02-02,81
2016-02-03,78
2016-02-04,75
2016-02-05,78
2016-02-06,77
2016-02-07,78
2016-02-08,80
2016-02-09,83
2016-02-10,86
2016-02-11,87
2016-02-12,88
2016-02-13,88
2016-02-14,88
2016-02-15,87
2016-02-16,85
2016-02-17,89
2016-02-18,89
2016-02-19,91
2016-02-20,96
2016-02-21,100
2016-02-22,101
2016-02-23,107
2016-02-24,113
2016-02-25,119
2016-02-26,125
2016-02-27,132
2016-02-28,139
2016-02-29,141
2016-03-01,146
2016-03-02,149
2016-03-03,153
2016-03-04,157
2016-03-05,160
2016-03-06,167
2016-03-07,176
2016-03-08,178
2016-03-09,186
2016-03-10,195
2016-03-11,205
2016-03-12,206
2016-03-13,197
2016-03-14,188
2016-03-15,178
2016-03-16,185
2016-03-17,193
2016-03-18,203
2016-03-19,209
2016-03-20,199
2016-03-21,191
2016-03-22,183
2016-03-23,178
2016-03-24,171
2016-03-25,167
2016-03-26,175
2016-03-27,180
2016-03-28,184
2016-03-29,192
2016-03-30,189
2016-03-31,183
2016-04-01,180
2016-04-02,187
2016-04-03,190
2016-04-04,192
2016-04-05,196
2016-04-06,204
2016-04-07,202
2016-04-08,197
2016-04-09,188
2016-04-10,186
2016-04-11,188
2016-04-12,196
2016-04-13,192
2016-04-14,193
2016-04-15,201
2016-04-16,212
2016-04-17,221
2016-04-18,209
2016-04-19,201
2016-04-20,192
2016-04-21,190
2016-04-22,198
2016-04-23,205
2016-04-24,214
2016-04-25,207
2016-04-26,209
2016-04-27,205
2016-04-28,203
2016-04-29,201
2016-04-30,197
2016-05-01,190
2016-05-02,190
2016-05-03,190
2016-05-04,190
2016-05-05,193
2016-05-06,199
2016-05-07,197
2016-05-08,195
2016-05-09,197
2016-05-10,205
2016-05-11,202
2016-05-12,208
2016-05-13,208
2016-05-14,205
2016-05-15,194
2016-05-16,187
2016-05-17,179
2016-05-18,175
2016-05-19,174
2016-05-22,168
2016-05-23,165
2016-05-24,167
2016-05-25,167
2016-05-26,171
2016-05-27,169
2016-05-28,168
2016-05-29,165
2016-05-30,168
2016-05-31,177
2016-06-01,186
2016-06-02,192
2016-06-03,189
