date_obj,Numulite price
2017-09-07,53
2017-09-08,54
2017-09-09,52
2017-09-10,50
2017-09-11,49
2017-09-12,49
2017-09-13,52
2017-09-14,55
2017-09-15,55
2017-09-16,56
2017-09-17,55
2017-09-19,55
2017-09-20,53
2017-09-21,50
2017-09-22,47
2017-09-23,47
2017-09-24,44
2017-09-25,41
2017-09-26,38
2017-09-27,38
2017-09-28,36
2017-09-29,34
2017-09-30,34
2017-10-01,32
2017-10-02,30
2017-10-03,30
2017-10-04,28
2017-10-05,28
2017-10-06,26
2017-10-07,26
2017-10-08,24
2017-10-09,24
2017-10-10,22
2017-10-11,22
2017-10-12,21
2017-10-13,21
2017-10-14,20
2017-10-15,20
2017-10-16,19
2017-10-17,19
2017-10-18,19
2017-10-19,19
2017-10-20,19
2017-10-21,19
2017-10-22,19
2017-10-23,19
2017-10-24,18
2017-10-25,18
2017-10-26,17
2017-10-27,17
2017-10-28,17
2017-10-29,16
2017-10-30,16
2017-10-31,15
2017-11-01,15
2017-11-02,15
2017-11-03,14
2017-11-04,14
2017-11-05,14
2017-11-06,14
2017-11-07,14
2017-11-08,14
2017-11-09,14
2017-11-10,15
2017-11-11,15
2017-11-12,15
2017-11-13,15
2017-11-14,15
2017-11-15,15
2017-11-16,16
2017-11-17,16
2017-11-18,16
2017-11-19,16
2017-11-20,16
2017-11-21,16
2017-11-22,16
2017-11-23,16
2017-11-24,17
2017-11-25,17
2017-11-26,18
2017-11-27,18
2017-11-28,18
2017-11-29,18
2017-11-30,18
2017-12-01,18
2017-12-02,18
2017-12-03,18
2017-12-04,18
2017-12-05,18
2017-12-06,18
2017-12-07,18
2017-12-08,18
2017-12-09,18
2017-12-10,18
2017-12-11,17
2017-12-12,17
2017-12-14,17
2017-12-15,17
2017-12-17,16
2017-12-18,16
2017-12-19,16
2017-12-20,16
2017-12-21,16
2017-12-22,16
2017-12-23,15
2017-12-24,15
2017-12-25,15
2017-12-26,15
2017-12-27,15
2017-12-28,15
2017-12-29,14
2017-12-30,14
2017-12-31,13
2018-01-01,13
2018-01-02,13
2018-01-03,14
2018-01-04,14
2018-01-05,14
