date_obj,Coal price
2015-03-26,138
2015-03-27,138
2015-03-28,142
2015-03-29,147
2015-03-30,142
2015-03-31,139
2015-04-01,137
2015-04-02,135
2015-04-03,135
2015-04-04,138
2015-04-05,142
2015-04-06,145
2015-04-07,146
2015-04-08,145
2015-04-09,144
2015-04-10,145
2015-04-11,147
2015-04-12,147
2015-04-13,146
2015-04-14,147
2015-04-15,149
2015-04-16,150
2015-04-17,155
2015-04-18,159
2015-04-19,160
2015-04-20,158
2015-04-21,158
2015-04-22,160
2015-04-23,161
2015-04-24,164
2015-04-25,166
2015-04-26,167
2015-04-27,169
2015-04-28,170
2015-04-29,176
2015-04-30,175
2015-05-01,178
2015-05-02,185
2015-05-03,192
2015-05-04,194
2015-05-05,191
2015-05-06,187
2015-05-07,186
2015-05-08,189
2015-05-09,194
2015-05-10,191
2015-05-11,186
2015-05-12,177
2015-05-13,169
2015-05-14,167
2015-05-15,167
2015-05-16,173
2015-05-17,177
2015-05-18,172
2015-05-19,169
2015-05-20,167
2015-05-21,169
2015-05-22,175
2015-05-23,183
2015-05-24,188
2015-05-25,186
2015-05-26,183
2015-05-27,181
2015-05-28,180
2015-05-29,180
2015-05-30,177
2015-05-31,175
2015-06-01,172
2015-06-02,172
2015-06-03,170
2015-06-04,166
2015-06-05,164
2015-06-06,163
2015-06-07,163
2015-06-08,167
2015-06-09,169
2015-06-10,169
2015-06-11,167
2015-06-12,167
2015-06-13,173
2015-06-14,176
2015-06-15,179
2015-06-16,181
2015-06-17,181
2015-06-18,180
2015-06-19,180
2015-06-20,181
2015-06-21,175
2015-06-22,169
2015-06-23,169
2015-06-24,168
2015-06-25,166
2015-06-26,168
2015-06-27,173
2015-06-28,172
2015-06-29,166
2015-06-30,165
2015-07-01,162
2015-07-02,161
2015-07-03,162
2015-07-04,165
2015-07-05,165
2015-07-06,168
2015-07-07,172
2015-07-08,175
2015-07-09,182
2015-07-10,191
2015-07-11,201
2015-07-12,208
2015-07-13,198
2015-07-14,192
2015-07-15,188
2015-07-16,188
2015-07-17,196
2015-07-18,201
2015-07-19,204
2015-07-20,196
2015-07-21,191
2015-07-22,187
2015-07-23,187
2015-07-24,189
2015-07-25,182
2015-07-26,177
2015-07-27,173
2015-07-28,170
2015-07-29,170
2015-07-30,169
2015-07-31,166
2015-08-01,168
2015-08-02,169
2015-08-03,170
2015-08-04,172
2015-08-05,174
2015-08-06,172
2015-08-07,172
2015-08-08,174
2015-08-09,173
2015-08-10,179
2015-08-11,187
2015-08-12,197
2015-08-13,205
2015-08-14,211
2015-08-15,203
2015-08-16,205
2015-08-17,195
2015-08-18,185
2015-08-19,175
2015-08-20,167
2015-08-21,170
2015-08-22,169
2015-08-23,166
2015-08-24,169
2015-08-25,170
2015-08-26,173
2015-08-27,173
2015-08-28,175
2015-08-29,174
2015-08-30,170
2015-08-31,170
2015-09-01,169
2015-09-02,167
2015-09-03,168
2015-09-04,170
2015-09-05,172
2015-09-06,174
2015-09-07,175
2015-09-08,174
2015-09-09,172
2015-09-10,176
2015-09-11,181
2015-09-12,185
2015-09-13,188
2015-09-14,189
2015-09-15,191
2015-09-16,198
2015-09-17,200
2015-09-18,206
2015-09-19,213
2015-09-20,210
2015-09-21,205
2015-09-22,211
2015-09-23,211
2015-09-24,205
2015-09-25,204
2015-09-27,218
2015-09-28,228
2015-09-29,229
2015-09-30,220
2015-10-05,202
2015-10-06,208
2015-10-07,211
2015-10-08,208
2015-10-09,212
2015-10-10,213
2015-10-11,211
2015-10-12,207
2015-10-13,206
2015-10-14,203
2015-10-15,197
2015-10-16,192
2015-10-17,185
2015-10-18,184
2015-10-19,185
2015-10-20,186
2015-10-22,189
2015-10-23,194
2015-10-24,198
2015-10-25,194
2015-10-26,191
2015-10-27,189
2015-10-29,189
2015-10-30,187
2015-10-31,186
2015-11-01,189
2015-11-02,190
2015-11-03,192
