date_obj,Twisted%20banner price
2020-01-13,5000
2020-01-14,5000
2020-01-15,5250
2020-01-16,5513
2020-01-17,5789
2020-01-18,6079
2020-01-19,6383
2020-01-20,6703
2020-01-21,7038
2020-01-22,7390
2020-01-23,7756
2020-01-24,8131
2020-01-25,8530
2020-01-26,8938
2020-01-27,9379
2020-01-28,9823
2020-01-29,10282
2020-01-30,10781
2020-01-31,11306
2020-02-01,11306
2020-02-02,11853
2020-02-03,11853
2020-02-04,12426
2020-02-05,12426
2020-02-06,13033
2020-02-07,13033
2020-02-08,13656
2020-02-09,13656
2020-02-10,14307
2020-02-11,14307
2020-02-12,14994
2020-02-13,14994
2020-02-14,15700
2020-02-15,15700
2020-02-16,15700
2020-02-17,16474
2020-02-18,16474
2020-02-19,17264
2020-02-20,17264
2020-02-21,18087
2020-02-22,18087
2020-02-23,18970
2020-02-24,18970
2020-02-25,18970
2020-02-26,19893
2020-02-27,19893
2020-02-28,20817
2020-02-29,20817
2020-03-01,20817
2020-03-02,21775
2020-03-03,21775
2020-03-04,21775
2020-03-05,21775
2020-03-06,22814
2020-03-07,22814
2020-03-08,22814
2020-03-09,22814
2020-03-10,23918
2020-03-11,23918
2020-03-12,23918
2020-03-13,23918
2020-03-14,24966
2020-03-15,24966
2020-03-16,24966
2020-03-17,24966
2020-03-18,26158
2020-03-19,26158
2020-03-20,26158
2020-03-21,26158
2020-03-22,27351
2020-03-23,27351
2020-03-24,27351
2020-03-25,27351
2020-03-26,28646
2020-03-27,28646
2020-03-28,28646
2020-03-29,29990
2020-03-30,29990
2020-03-31,29990
2020-04-01,29990
2020-04-02,31348
2020-04-03,31348
2020-04-04,31348
2020-04-05,31348
2020-04-06,32852
2020-04-07,32852
2020-04-08,32852
2020-04-09,34361
2020-04-10,34361
2020-04-11,34361
2020-04-12,36015
2020-04-13,36015
2020-04-14,36015
2020-04-15,36015
2020-04-16,37738
2020-04-17,37738
2020-04-18,37738
2020-04-19,39571
2020-04-20,39571
2020-04-21,39571
2020-04-22,41486
2020-04-23,41486
2020-04-24,41486
2020-04-25,41486
2020-04-26,43409
2020-04-27,43409
2020-04-28,43409
2020-04-29,45506
2020-04-30,45506
2020-05-01,45506
2020-05-02,47666
2020-05-03,47666
2020-05-04,47666
2020-05-05,49895
2020-05-06,49895
2020-05-07,49895
2020-05-08,52191
2020-05-09,52191
2020-05-10,52191
2020-05-11,52191
2020-05-12,54524
2020-05-13,54524
