date_obj,Oak%20sapling price
2015-03-26,1366
2015-03-27,1366
2015-03-28,1297
2015-03-29,1297
2015-03-30,1297
2015-03-31,1232
2015-04-01,1232
2015-04-02,1232
2015-04-03,1170
2015-04-04,1170
2015-04-05,1170
2015-04-06,1112
2015-04-07,1112
2015-04-08,1112
2015-04-09,1068
2015-04-10,1068
2015-04-11,1068
2015-04-12,1014
2015-04-13,1014
2015-04-14,1014
2015-04-15,963
2015-04-16,963
2015-04-17,963
2015-04-18,923
2015-04-19,923
2015-04-20,923
2015-04-21,923
2015-04-22,908
2015-04-23,908
2015-04-24,908
2015-04-25,872
2015-04-26,872
2015-04-27,872
2015-04-28,845
2015-04-29,845
2015-04-30,845
2015-05-01,845
2015-05-02,828
2015-05-03,828
2015-05-04,828
2015-05-05,828
2015-05-06,803
2015-05-07,803
2015-05-08,803
2015-05-09,803
2015-05-10,798
2015-05-11,798
2015-05-12,798
2015-05-13,798
2015-05-14,796
2015-05-15,796
2015-05-16,796
2015-05-17,796
2015-05-18,776
2015-05-19,776
2015-05-20,776
2015-05-21,776
2015-05-22,776
2015-05-23,789
2015-05-24,789
2015-05-25,789
2015-05-26,789
2015-05-27,803
2015-05-28,803
2015-05-29,803
2015-05-30,833
2015-05-31,833
2015-06-01,833
2015-06-02,830
2015-06-03,830
2015-06-04,830
2015-06-05,807
2015-06-06,807
2015-06-07,807
2015-06-08,812
2015-06-09,812
2015-06-10,812
2015-06-11,829
2015-06-12,829
2015-06-13,829
2015-06-14,825
2015-06-15,825
2015-06-16,825
2015-06-17,833
2015-06-18,833
2015-06-19,833
2015-06-20,839
2015-06-21,839
2015-06-22,839
2015-06-23,835
2015-06-24,835
2015-06-25,835
2015-06-26,835
2015-06-27,835
2015-06-28,835
2015-06-29,835
2015-06-30,858
2015-07-01,858
2015-07-02,858
2015-07-03,822
2015-07-04,822
2015-07-05,822
2015-07-06,822
2015-07-07,782
2015-07-08,782
2015-07-09,782
2015-07-10,775
2015-07-11,775
2015-07-12,775
2015-07-13,775
2015-07-14,785
2015-07-15,785
2015-07-16,785
2015-07-17,807
2015-07-18,807
