date_obj,Topaz%20bolts%20(e) price
2015-03-26,187
2015-03-27,187
2015-03-28,187
2015-03-29,187
2015-03-30,187
2015-03-31,187
2015-04-01,187
2015-04-02,187
2015-04-03,187
2015-04-04,187
2015-04-05,187
2015-04-06,177
2015-04-07,177
2015-04-08,177
2015-04-09,177
2015-04-10,177
2015-04-11,177
2015-04-12,177
2015-04-13,177
2015-04-14,177
2015-04-15,177
2015-04-16,177
2015-04-17,177
2015-04-18,177
2015-04-19,177
2015-04-20,177
2015-04-21,177
2015-04-22,177
2015-04-23,177
2015-04-24,177
2015-04-25,169
2015-04-26,169
2015-04-27,169
2015-04-28,169
2015-04-29,169
2015-04-30,169
2015-05-01,169
2015-05-02,169
2015-05-03,169
2015-05-04,169
2015-05-05,169
2015-05-06,169
2015-05-07,169
2015-05-08,169
2015-05-09,169
2015-05-10,169
2015-05-11,169
2015-05-12,169
2015-05-13,169
2015-05-14,169
2015-05-15,162
2015-05-16,162
2015-05-17,162
2015-05-18,162
2015-05-19,162
2015-05-20,162
2015-05-21,162
2015-05-22,162
2015-05-23,162
2015-05-24,162
2015-05-25,162
2015-05-26,162
2015-05-27,162
2015-05-28,162
2015-05-29,162
2015-05-30,162
2015-05-31,162
2015-06-01,154
2015-06-02,154
2015-06-03,154
2015-06-04,154
2015-06-05,154
2015-06-06,154
2015-06-07,154
2015-06-08,154
2015-06-09,154
2015-06-10,154
2015-06-11,154
2015-06-12,154
2015-06-13,154
2015-06-14,154
2015-06-15,154
2015-06-16,147
2015-06-17,147
2015-06-18,147
2015-06-19,147
2015-06-20,147
2015-06-21,147
2015-06-22,147
2015-06-23,147
2015-06-24,147
2015-06-25,147
2015-06-26,147
2015-06-27,147
2015-06-28,147
2015-06-29,147
2015-06-30,147
2015-07-01,147
2015-07-02,140
2015-07-03,140
2015-07-04,140
2015-07-05,140
2015-07-06,140
2015-07-07,140
2015-07-08,140
2015-07-09,140
2015-07-10,140
2015-07-11,140
2015-07-12,140
2015-07-13,140
2015-07-14,140
2015-07-15,140
2015-07-16,140
2015-07-17,140
2015-07-18,138
2015-07-19,138
2015-07-20,138
2015-07-21,138
2015-07-22,138
2015-07-23,138
2015-07-24,138
2015-07-25,138
2015-07-26,138
2015-07-27,138
2015-07-28,138
2015-07-29,138
2015-07-30,138
2015-07-31,138
2015-08-01,138
2015-08-02,141
2015-08-03,141
2015-08-04,141
2015-08-05,141
2015-08-06,141
2015-08-07,141
2015-08-08,141
2015-08-09,141
2015-08-10,141
2015-08-11,141
2015-08-12,141
2015-08-13,141
2015-08-14,141
2015-08-15,141
2015-08-16,141
2015-08-17,135
2015-08-18,135
2015-08-19,135
2015-08-20,135
2015-08-21,135
2015-08-22,135
2015-08-23,135
2015-08-24,135
2015-08-25,135
2015-08-26,135
2015-08-27,135
2015-08-28,135
2015-08-29,135
2015-08-30,135
2015-08-31,135
2015-09-01,135
2015-09-02,135
2015-09-03,135
2015-09-04,135
2015-09-05,135
2015-09-06,135
2015-09-07,135
2015-09-08,135
2015-09-09,135
2015-09-10,135
2015-09-11,135
2015-09-12,135
2015-09-13,135
2015-09-14,135
2015-09-15,135
2015-09-16,135
2015-09-17,135
2015-09-18,135
2015-09-19,135
2015-09-20,135
2015-09-21,132
2015-09-22,132
2015-09-23,132
2015-09-24,132
2015-09-25,132
2015-09-27,132
2015-09-28,132
2015-09-29,132
2015-09-30,132
2015-10-05,132
2015-10-06,132
2015-10-07,132
2015-10-08,127
2015-10-09,127
2015-10-10,127
2015-10-11,127
2015-10-12,127
2015-10-13,127
2015-10-14,127
2015-10-15,127
2015-10-16,127
2015-10-17,127
2015-10-18,127
2015-10-19,127
2015-10-20,127
2015-10-22,127
2015-10-23,127
