date_obj,Blamish%20bark%20shell price
2015-03-26,2700
2015-03-27,2700
2015-03-28,2700
2015-03-29,2700
2015-03-30,2700
2015-03-31,2700
2015-04-01,2700
2015-04-02,2700
2015-04-03,2700
2015-04-04,2700
2015-04-05,2700
2015-04-06,2700
2015-04-07,2700
2015-04-08,2700
2015-04-09,2700
2015-04-10,2700
2015-04-11,2700
2015-04-12,2700
2015-04-13,2700
2015-04-14,2700
2015-04-15,2700
2015-04-16,2700
2015-04-17,2700
2015-04-18,2700
2015-04-19,2700
2015-04-20,2700
2015-04-21,2700
2015-04-22,2700
2015-04-23,2700
2015-04-24,2578
2015-04-25,2578
2015-04-26,2578
2015-04-27,2578
2015-04-28,2578
2015-04-29,2578
2015-04-30,2578
2015-05-01,2578
2015-05-02,2578
2015-05-03,2578
2015-05-04,2578
2015-05-05,2578
2015-05-06,2578
2015-05-07,2578
2015-05-08,2578
2015-05-09,2578
2015-05-10,2578
2015-05-11,2578
2015-05-12,2578
2015-05-13,2578
2015-05-14,2578
2015-05-15,2578
2015-05-16,2578
2015-05-17,2578
2015-05-18,2578
2015-05-19,2578
2015-05-20,2578
2015-05-21,2578
2015-05-22,2578
2015-05-23,2578
2015-05-24,2578
2015-05-25,2578
2015-05-26,2578
2015-05-27,2578
2015-05-28,2578
2015-05-29,2578
2015-05-30,2457
2015-05-31,2457
2015-06-01,2457
2015-06-02,2457
2015-06-03,2457
2015-06-04,2457
2015-06-05,2457
2015-06-06,2457
2015-06-07,2457
2015-06-08,2457
2015-06-09,2457
2015-06-10,2457
2015-06-11,2457
2015-06-12,2457
2015-06-13,2457
2015-06-14,2457
2015-06-15,2457
2015-06-16,2457
2015-06-17,2457
2015-06-18,2457
2015-06-19,2457
2015-06-20,2457
2015-06-21,2457
2015-06-22,2457
2015-06-23,2457
2015-06-24,2457
2015-06-25,2457
2015-06-26,2457
2015-06-27,2457
2015-06-28,2457
2015-06-29,2457
2015-06-30,2457
2015-07-01,2457
2015-07-02,2457
2015-07-03,2457
2015-07-04,2457
2015-07-05,2457
2015-07-06,2457
2015-07-07,2457
2015-07-08,2345
2015-07-09,2345
2015-07-10,2345
2015-07-11,2345
2015-07-12,2345
2015-07-13,2345
2015-07-14,2345
2015-07-15,2345
2015-07-16,2345
2015-07-17,2345
2015-07-18,2345
2015-07-19,2345
2015-07-20,2345
2015-07-21,2345
2015-07-22,2345
2015-07-23,2345
2015-07-24,2345
2015-07-25,2345
2015-07-26,2345
2015-07-27,2345
2015-07-28,2345
2015-07-29,2345
2015-07-30,2345
2015-07-31,2345
2015-08-01,2345
2015-08-02,2345
2015-08-03,2345
2015-08-04,2345
2015-08-05,2345
2015-08-06,2345
2015-08-07,2345
2015-08-08,2345
2015-08-09,2345
2015-08-10,2235
2015-08-11,2235
2015-08-12,2235
2015-08-13,2235
2015-08-14,2235
2015-08-15,2235
2015-08-16,2235
2015-08-17,2235
2015-08-18,2235
2015-08-19,2235
2015-08-20,2235
2015-08-21,2235
2015-08-22,2235
2015-08-23,2235
2015-08-24,2235
2015-08-25,2235
2015-08-26,2235
2015-08-27,2235
2015-08-28,2235
2015-08-29,2235
2015-08-30,2235
2015-08-31,2235
2015-09-01,2235
2015-09-02,2235
2015-09-03,2235
2015-09-04,2235
2015-09-05,2235
2015-09-06,2235
2015-09-07,2235
2015-09-08,2235
2015-09-09,2235
2015-09-10,2235
2015-09-11,2235
2015-09-12,2235
2015-09-13,2235
2015-09-14,2235
2015-09-15,2235
2015-09-16,2235
2015-09-17,2130
2015-09-18,2130
2015-09-19,2130
2015-09-20,2130
2015-09-21,2130
2015-09-22,2130
2015-09-23,2130
2015-09-24,2130
2015-09-25,2130
2015-09-27,2130
2015-09-28,2130
2015-09-29,2130
2015-09-30,2130
2015-10-05,2130
2015-10-06,2130
2015-10-07,2130
2015-10-08,2130
2015-10-09,2130
2015-10-10,2130
2015-10-11,2130
2015-10-12,2130
2015-10-13,2130
2015-10-14,2130
2015-10-15,2130
2015-10-16,2130
2015-10-17,2130
2015-10-18,2130
2015-10-19,2130
2015-10-20,2130
2015-10-22,2130
2015-10-23,2130
2015-10-24,2130
2015-10-25,2130
2015-10-26,2130
2015-10-27,2130
2015-10-29,2130
2015-10-30,2130
2015-10-31,2130
2015-11-01,2130
2015-11-02,2130
2015-11-03,2130
2015-11-04,2130
2015-11-05,2053
2015-11-06,2053
2015-11-07,2053
2015-11-08,2053
2015-11-09,2053
2015-11-10,2053
2015-11-11,2053
2015-11-12,2053
2015-11-13,2053
2015-11-14,2053
2015-11-15,2053
2015-11-16,2053
2015-11-17,2053
2015-11-18,2053
2015-11-19,2053
2015-11-20,2053
2015-11-21,2053
2015-11-22,2053
2015-11-23,2053
2015-11-24,2053
2015-11-25,2053
2015-11-26,2053
2015-11-27,2053
2015-11-28,2053
2015-11-29,2053
2015-11-30,2053
2015-12-01,2053
2015-12-02,2053
2015-12-03,2053
2015-12-04,2053
2015-12-05,2053
2015-12-06,2053
2015-12-07,2053
2015-12-08,2053
2015-12-09,2053
2015-12-10,2053
2015-12-11,2053
2015-12-12,2053
2015-12-13,2053
2015-12-14,2053
2015-12-15,2053
2015-12-16,2053
2015-12-17,2053
2015-12-18,2053
2015-12-19,2053
2015-12-20,1957
2015-12-21,1957
2015-12-22,1957
2015-12-23,1957
2015-12-24,1957
2015-12-25,1957
2015-12-26,1957
2015-12-27,1957
2015-12-28,1957
2015-12-29,1957
2015-12-30,1957
2015-12-31,1957
2016-01-01,1957
2016-01-02,1957
2016-01-03,1957
2016-01-04,1957
2016-01-05,1957
2016-01-06,1957
2016-01-07,1957
2016-01-08,1957
2016-01-09,1957
2016-01-10,1957
2016-01-11,1957
2016-01-12,1957
2016-01-13,1957
2016-01-14,1957
2016-01-15,1957
2016-01-16,1957
2016-01-17,1957
2016-01-18,1957
2016-01-19,1957
2016-01-20,1957
2016-01-21,1957
2016-01-22,1957
2016-01-23,1957
2016-01-24,1866
2016-01-25,1866
2016-01-26,1866
2016-01-27,1866
2016-01-28,1866
2016-01-29,1866
2016-01-30,1866
2016-01-31,1866
