date_obj,Butterfly%20net price
2015-03-26,135
2015-03-27,135
2015-03-28,135
2015-03-29,141
2015-03-30,141
2015-03-31,141
2015-04-01,141
2015-04-02,141
2015-04-03,141
2015-04-04,147
2015-04-05,147
2015-04-06,147
2015-04-07,147
2015-04-08,147
2015-04-09,147
2015-04-10,151
2015-04-11,151
2015-04-12,151
2015-04-13,151
2015-04-14,151
2015-04-15,151
2015-04-16,155
2015-04-17,155
2015-04-18,155
2015-04-19,155
2015-04-20,155
2015-04-21,155
2015-04-22,155
2015-04-23,159
2015-04-24,159
2015-04-25,159
2015-04-26,159
2015-04-27,159
2015-04-28,159
2015-04-29,159
2015-04-30,167
2015-05-01,167
2015-05-02,167
2015-05-03,167
2015-05-04,167
2015-05-05,167
2015-05-06,169
2015-05-07,169
2015-05-08,169
2015-05-09,169
2015-05-10,169
2015-05-11,169
2015-05-12,174
2015-05-13,174
2015-05-14,174
2015-05-15,174
2015-05-16,174
2015-05-17,174
2015-05-18,177
2015-05-19,177
2015-05-20,177
2015-05-21,177
2015-05-22,177
2015-05-23,177
2015-05-24,177
2015-05-25,176
2015-05-26,176
2015-05-27,176
2015-05-28,176
2015-05-29,176
2015-05-30,175
2015-05-31,175
2015-06-01,175
2015-06-02,175
2015-06-03,175
2015-06-04,175
2015-06-05,175
2015-06-06,175
2015-06-07,175
2015-06-08,175
2015-06-09,175
2015-06-10,175
2015-06-11,178
2015-06-12,178
2015-06-13,178
2015-06-14,178
2015-06-15,178
2015-06-16,178
2015-06-17,178
2015-06-18,178
2015-06-19,178
2015-06-20,178
2015-06-21,178
2015-06-22,179
2015-06-23,179
2015-06-24,179
2015-06-25,179
2015-06-26,179
2015-06-27,179
2015-06-28,174
2015-06-29,174
2015-06-30,174
2015-07-01,174
2015-07-02,174
2015-07-03,174
2015-07-04,174
2015-07-05,173
2015-07-06,173
2015-07-07,173
2015-07-08,173
2015-07-09,173
2015-07-10,173
2015-07-11,173
2015-07-12,168
2015-07-13,168
2015-07-14,168
2015-07-15,168
2015-07-16,168
2015-07-17,168
2015-07-18,159
2015-07-19,159
2015-07-20,159
2015-07-21,159
2015-07-22,159
2015-07-23,159
2015-07-24,151
2015-07-25,151
2015-07-26,151
2015-07-27,151
2015-07-28,151
2015-07-29,151
2015-07-30,143
2015-07-31,143
2015-08-01,143
2015-08-02,143
2015-08-03,143
2015-08-04,143
2015-08-05,140
2015-08-06,140
2015-08-07,140
2015-08-08,140
2015-08-09,140
2015-08-10,140
2015-08-11,136
2015-08-12,136
2015-08-13,136
2015-08-14,136
2015-08-15,136
2015-08-16,136
2015-08-17,136
2015-08-18,136
2015-08-19,136
2015-08-20,136
2015-08-21,130
2015-08-22,130
2015-08-23,130
2015-08-24,130
2015-08-25,130
2015-08-26,130
2015-08-27,130
2015-08-28,130
2015-08-29,130
2015-08-30,130
2015-08-31,123
2015-09-01,123
2015-09-02,123
2015-09-03,123
2015-09-04,123
2015-09-05,123
2015-09-06,123
2015-09-07,123
2015-09-08,123
2015-09-09,123
2015-09-10,116
2015-09-11,116
2015-09-12,116
2015-09-13,116
2015-09-14,116
2015-09-15,116
2015-09-16,116
2015-09-17,116
2015-09-18,116
2015-09-19,116
2015-09-20,111
2015-09-21,111
2015-09-22,111
2015-09-23,111
2015-09-24,111
2015-09-25,111
2015-09-27,111
2015-09-28,111
2015-09-29,111
2015-09-30,105
2015-10-05,105
2015-10-06,105
2015-10-07,105
2015-10-08,105
2015-10-09,105
2015-10-10,99
2015-10-11,99
2015-10-12,99
2015-10-13,99
2015-10-14,99
2015-10-15,99
2015-10-16,99
2015-10-17,99
2015-10-18,99
2015-10-19,99
2015-10-20,94
2015-10-22,94
2015-10-23,94
2015-10-24,94
2015-10-25,94
2015-10-26,94
2015-10-27,94
2015-10-29,94
2015-10-30,89
2015-10-31,89
2015-11-01,89
2015-11-02,89
2015-11-03,89
2015-11-04,89
2015-11-05,89
2015-11-06,89
2015-11-07,89
2015-11-08,89
2015-11-09,89
2015-11-10,84
2015-11-11,84
2015-11-12,84
2015-11-13,84
2015-11-14,84
2015-11-15,84
2015-11-16,84
2015-11-17,84
2015-11-18,84
2015-11-19,84
2015-11-20,84
2015-11-21,79
2015-11-22,79
2015-11-23,79
2015-11-24,79
2015-11-25,79
2015-11-26,79
2015-11-27,79
