date_obj,Monkey%20tail price
2016-05-05,5000000
2016-05-06,5000000
2016-05-07,5216098
2016-05-08,5216098
2016-05-09,5445715
2016-05-10,5445715
2016-05-11,5445715
2016-05-12,5694597
2016-05-13,5694597
2016-05-14,5694597
2016-05-15,5966940
2016-05-16,5966940
2016-05-17,5966940
2016-05-18,17500000
2016-05-19,17500000
2016-05-22,17500000
2016-05-23,16665447
2016-05-24,16665447
2016-05-25,16665447
2016-05-26,16665447
2016-05-27,16665447
2016-05-28,16665447
2016-05-29,15832174
2016-05-30,15832174
2016-05-31,15832174
2016-06-01,15832174
2016-06-02,15832174
2016-06-03,15832174
2016-06-04,15832174
2016-06-05,15832174
2016-06-06,15040565
2016-06-07,15040565
2016-06-08,15040565
2016-06-09,15040565
2016-06-10,15040565
2016-06-11,15040565
2016-06-12,15040565
2016-06-13,15040565
2016-06-14,14290950
2016-06-15,14290950
2016-06-16,14290950
2016-06-17,14290950
2016-06-18,14290950
2016-06-19,14290950
2016-06-20,14290950
2016-06-21,14290950
2016-06-22,13577564
2016-06-23,13577564
2016-06-24,13577564
2016-06-25,13577564
2016-06-26,13577564
2016-06-27,13577564
2016-06-28,13577564
2016-06-29,13577564
2016-06-30,13577564
2016-07-01,13577564
2016-07-02,12898685
2016-07-03,12898685
2016-07-04,12898685
2016-07-05,12898685
2016-07-06,12898685
2016-07-07,12898685
2016-07-08,12898685
2016-07-09,12898685
2016-07-10,12898685
2016-07-11,12898685
2016-07-12,12898685
2016-07-13,12253750
2016-07-14,12253750
2016-07-15,12253750
2016-07-16,12253750
2016-07-17,12253750
2016-07-18,12253750
2016-07-23,12253750
2016-07-24,12253750
2016-07-25,11643078
2016-07-26,11643078
2016-07-27,11643078
2016-07-28,11643078
2016-07-29,11643078
2016-07-30,11643078
2016-07-31,11643078
2016-08-01,11643078
2016-08-02,11643078
2016-08-03,11643078
2016-08-04,11643078
2016-08-05,11643078
2016-08-06,11060924
2016-08-07,11060924
2016-08-08,11060924
2016-08-09,11060924
2016-08-10,11060924
2016-08-11,11060924
2016-08-12,11060924
2016-08-13,11060924
2016-08-14,11060924
2016-08-15,10512652
2016-08-16,10512652
2016-08-17,10512652
2016-08-18,10512652
2016-08-19,10512652
2016-08-20,10512652
2016-08-21,10512652
2016-08-22,10512652
2016-08-23,10512652
2016-08-24,9987041
2016-08-25,9987041
2016-08-26,9987041
2016-08-28,9987041
2016-08-31,9987041
2016-09-01,9987041
2016-09-02,9987041
2016-09-03,9487688
2016-09-04,9487688
2016-09-05,9487688
2016-09-06,9487688
2016-09-07,9487688
2016-09-08,9487688
2016-09-09,9487688
2016-09-10,9487688
2016-09-11,9487688
2016-09-12,9487688
2016-09-13,9013303
2016-09-14,9013303
2016-09-15,9013303
