date_obj,Pat%20of%20butter price
2016-03-20,135
2016-03-21,135
2016-03-22,142
2016-03-23,142
2016-03-24,142
2016-03-25,142
2016-03-26,142
2016-03-27,142
2016-03-28,150
2016-03-29,150
2016-03-30,150
2016-03-31,150
2016-04-01,150
2016-04-02,150
2016-04-03,150
2016-04-04,150
2016-04-05,157
2016-04-06,157
2016-04-07,157
2016-04-08,157
2016-04-09,157
2016-04-10,157
2016-04-11,157
2016-04-12,157
2016-04-13,157
2016-04-14,165
2016-04-15,165
2016-04-16,165
2016-04-17,165
2016-04-18,165
2016-04-19,165
2016-04-20,165
2016-04-21,174
2016-04-22,174
2016-04-23,174
2016-04-24,174
2016-04-25,174
2016-04-26,174
2016-04-27,174
2016-04-28,183
2016-04-29,183
2016-04-30,183
2016-05-01,183
2016-05-02,183
2016-05-03,183
2016-05-04,183
2016-05-05,193
2016-05-06,193
2016-05-07,193
2016-05-08,193
2016-05-09,193
2016-05-10,193
2016-05-11,193
2016-05-12,203
2016-05-13,203
2016-05-14,203
2016-05-15,203
2016-05-16,203
2016-05-17,203
2016-05-18,203
2016-05-19,214
2016-05-22,214
2016-05-23,214
2016-05-24,214
2016-05-25,214
2016-05-26,214
2016-05-27,225
2016-05-28,225
2016-05-29,225
2016-05-30,225
2016-05-31,225
2016-06-01,225
2016-06-02,225
2016-06-03,225
2016-06-04,237
2016-06-05,237
2016-06-06,237
2016-06-07,237
2016-06-08,237
2016-06-09,237
2016-06-10,249
2016-06-11,249
2016-06-12,249
2016-06-13,249
2016-06-14,249
2016-06-15,249
2016-06-16,261
2016-06-17,261
2016-06-18,261
2016-06-19,261
2016-06-20,261
2016-06-21,275
2016-06-22,275
2016-06-23,275
2016-06-24,275
2016-06-25,275
2016-06-26,275
2016-06-27,275
2016-06-28,286
2016-06-29,286
2016-06-30,286
2016-07-01,286
2016-07-02,286
2016-07-03,286
2016-07-04,286
2016-07-05,276
2016-07-06,276
2016-07-07,276
2016-07-08,276
2016-07-09,276
2016-07-10,276
2016-07-11,283
2016-07-12,283
2016-07-13,283
2016-07-14,283
2016-07-15,283
2016-07-16,283
2016-07-17,283
2016-07-18,283
2016-07-23,275
2016-07-24,275
2016-07-25,275
2016-07-26,275
