date_obj,Mystic%20water%20staff price
2015-03-26,25845
2015-03-27,25845
2015-03-28,25925
2015-03-29,25925
2015-03-30,25925
2015-03-31,26156
2015-04-01,26156
2015-04-02,26156
2015-04-03,26404
2015-04-04,26404
2015-04-05,26404
2015-04-06,25625
2015-04-07,25625
2015-04-08,25625
2015-04-09,25273
2015-04-10,25273
2015-04-11,25273
2015-04-12,25578
2015-04-13,25578
2015-04-14,25578
2015-04-15,25715
2015-04-16,25715
2015-04-17,25715
2015-04-18,26111
2015-04-19,26111
2015-04-20,26111
2015-04-21,26144
2015-04-22,26144
2015-04-23,26144
2015-04-24,26124
2015-04-25,26124
2015-04-26,26124
2015-04-27,25610
2015-04-28,25610
2015-04-29,25610
2015-04-30,25677
2015-05-01,25677
2015-05-02,25801
2015-05-03,25801
2015-05-04,25801
2015-05-05,25798
2015-05-06,25798
2015-05-07,25798
2015-05-08,25777
2015-05-09,25777
2015-05-10,25777
2015-05-11,25890
2015-05-12,25890
2015-05-13,25890
2015-05-14,26394
2015-05-15,26394
2015-05-16,26394
2015-05-17,25889
2015-05-18,25889
2015-05-19,25889
2015-05-20,25737
2015-05-21,25737
2015-05-22,25737
2015-05-23,26101
2015-05-24,26101
2015-05-25,26189
2015-05-26,26189
2015-05-27,26189
2015-05-28,26210
2015-05-29,26210
2015-05-30,25903
2015-05-31,25903
2015-06-01,25990
2015-06-02,25990
2015-06-03,26068
2015-06-04,26068
2015-06-05,26042
2015-06-06,26042
2015-06-07,26034
2015-06-08,26034
2015-06-09,25846
2015-06-10,25846
2015-06-11,25735
2015-06-12,25735
2015-06-13,26077
2015-06-14,26077
2015-06-15,25918
2015-06-16,25918
2015-06-17,25786
2015-06-18,25786
2015-06-19,26051
2015-06-20,26051
2015-06-21,26081
2015-06-22,26081
2015-06-23,26021
2015-06-24,25955
2015-06-25,25955
2015-06-26,26281
2015-06-27,26281
2015-06-28,26336
2015-06-29,26336
2015-06-30,25954
2015-07-01,25954
2015-07-02,26274
2015-07-03,26652
2015-07-04,26652
2015-07-05,26252
2015-07-06,26252
2015-07-07,25996
2015-07-08,25996
2015-07-09,26532
2015-07-10,26073
2015-07-11,26073
2015-07-12,26005
2015-07-13,26005
2015-07-14,25863
2015-07-15,25863
2015-07-16,25880
2015-07-17,25937
2015-07-18,25937
2015-07-19,25587
2015-07-20,25587
2015-07-21,26091
2015-07-22,26399
2015-07-23,26399
