date_obj,Amethyst%20javelin%20heads price
2017-06-21,1580
2017-06-22,1580
2017-06-23,1580
2017-06-24,1580
2017-06-25,1580
2017-06-26,1580
2017-06-27,1580
2017-06-28,1519
2017-06-29,1519
2017-06-30,1519
2017-07-01,1519
2017-07-02,1519
2017-07-03,1519
2017-07-04,1519
2017-07-05,1519
2017-07-06,1519
2017-07-07,1519
2017-07-08,1519
2017-07-09,1519
2017-07-13,1519
2017-07-14,1519
2017-07-15,1519
2017-07-16,1519
2017-07-17,1519
2017-07-18,1519
2017-07-19,1519
2017-07-20,1519
2017-07-21,1519
2017-07-22,1519
2017-07-23,1519
2017-07-24,1519
2017-07-25,1519
2017-07-26,1519
2017-07-27,1519
2017-07-28,1519
2017-07-29,1519
2017-07-30,1519
2017-07-31,1519
2017-08-01,1519
2017-08-02,1519
2017-08-03,1519
2017-08-04,1519
2017-08-05,1519
2017-08-06,1519
2017-08-07,1519
2017-08-08,1519
2017-08-09,1519
2017-08-10,1519
2017-08-11,1519
2017-08-12,1519
2017-08-13,1519
2017-08-14,1519
2017-08-15,1519
2017-08-16,1454
2017-08-17,1454
2017-08-18,1454
2017-08-19,1454
2017-08-20,1454
2017-08-21,1454
2017-08-22,1454
2017-08-23,1454
2017-08-24,1454
2017-08-25,1454
2017-08-26,1454
2017-08-27,1454
2017-08-28,1454
2017-08-29,1454
2017-08-30,1454
2017-08-31,1454
2017-09-01,1454
2017-09-02,1454
2017-09-03,1454
2017-09-04,1454
2017-09-05,1454
2017-09-06,1454
2017-09-07,1454
2017-09-08,1454
2017-09-09,1454
2017-09-10,1454
2017-09-11,1454
2017-09-12,1454
2017-09-13,1454
2017-09-14,1454
2017-09-15,1454
2017-09-16,1454
2017-09-17,1454
2017-09-18,1454
2017-09-19,1454
2017-09-20,1454
2017-09-21,1454
2017-09-22,1454
2017-09-23,1454
2017-09-24,1454
2017-09-25,1454
2017-09-26,1454
2017-09-27,1454
2017-09-28,1454
2017-09-29,1454
2017-09-30,1454
2017-10-01,1454
2017-10-02,1454
2017-10-03,1454
2017-10-04,1454
2017-10-05,1454
2017-10-06,1454
2017-10-07,1454
2017-10-08,1383
2017-10-09,1383
2017-10-10,1383
2017-10-11,1383
2017-10-12,1383
2017-10-13,1383
2017-10-14,1383
2017-10-15,1383
2017-10-16,1383
2017-10-17,1383
2017-10-18,1383
2017-10-19,1383
2017-10-20,1383
2017-10-21,1383
2017-10-22,1383
2017-10-23,1383
2017-10-24,1383
2017-10-25,1383
2017-10-26,1383
2017-10-27,1383
2017-10-28,1383
2017-10-29,1383
2017-10-30,1383
2017-10-31,1383
2017-11-01,1383
2017-11-02,1383
2017-11-03,1383
2017-11-04,1383
2017-11-05,1383
2017-11-06,1383
2017-11-07,1383
2017-11-08,1383
2017-11-09,1383
2017-11-10,1383
2017-11-11,1383
2017-11-12,1383
2017-11-13,1383
2017-11-14,1383
2017-11-15,1383
2017-11-16,1313
2017-11-17,1313
2017-11-18,1313
2017-11-19,1313
2017-11-20,1313
2017-11-21,1313
2017-11-22,1313
