date_obj,Dark%20crab price
2015-03-26,1978
2015-03-27,1978
2015-03-28,1978
2015-03-29,1943
2015-03-30,1943
2015-03-31,1943
2015-04-01,1943
2015-04-02,1990
2015-04-03,1990
2015-04-04,1990
2015-04-05,2060
2015-04-06,2060
2015-04-07,2060
2015-04-08,2046
2015-04-09,2046
2015-04-10,2046
2015-04-11,1988
2015-04-12,1988
2015-04-13,1988
2015-04-14,1971
2015-04-15,1971
2015-04-16,1971
2015-04-17,2003
2015-04-18,2003
2015-04-19,2003
2015-04-20,1990
2015-04-21,1990
2015-04-22,1990
2015-04-23,1921
2015-04-24,1921
2015-04-25,1921
2015-04-26,1858
2015-04-27,1858
2015-04-28,1780
2015-04-29,1780
2015-04-30,1780
2015-05-01,1707
2015-05-02,1707
2015-05-03,1707
2015-05-04,1697
2015-05-05,1697
2015-05-06,1697
2015-05-07,1689
2015-05-08,1689
2015-05-09,1689
2015-05-10,1730
2015-05-11,1730
2015-05-12,1730
2015-05-13,1807
2015-05-14,1807
2015-05-15,1807
2015-05-16,1827
2015-05-17,1827
2015-05-18,1818
2015-05-19,1818
2015-05-20,1818
2015-05-21,1818
2015-05-22,1785
2015-05-23,1785
2015-05-24,1785
2015-05-25,1745
2015-05-26,1745
2015-05-27,1745
2015-05-28,1696
2015-05-29,1696
2015-05-30,1702
2015-05-31,1702
2015-06-01,1661
2015-06-02,1661
2015-06-03,1715
2015-06-04,1715
2015-06-05,1741
2015-06-06,1741
2015-06-07,1826
2015-06-08,1826
2015-06-09,1835
2015-06-10,1835
2015-06-11,1807
2015-06-12,1807
2015-06-13,1860
2015-06-14,1860
2015-06-15,1863
2015-06-16,1863
2015-06-17,1904
2015-06-18,1933
2015-06-19,1933
2015-06-20,1965
2015-06-21,1965
2015-06-22,2044
2015-06-23,2044
2015-06-24,2015
2015-06-25,2015
2015-06-26,1972
2015-06-27,1972
2015-06-28,1982
2015-06-29,1982
2015-06-30,1963
2015-07-01,1963
2015-07-02,1964
2015-07-03,2003
2015-07-04,2003
2015-07-05,2014
2015-07-06,2014
2015-07-07,2115
2015-07-08,2115
2015-07-09,2102
2015-07-10,2102
2015-07-11,2027
2015-07-12,2027
2015-07-13,2077
2015-07-14,2077
2015-07-15,2038
2015-07-16,2038
2015-07-17,2008
2015-07-18,2008
2015-07-19,1929
2015-07-20,1929
2015-07-21,1880
2015-07-22,1892
2015-07-23,1892
2015-07-24,1904
2015-07-25,1904
2015-07-26,1857
2015-07-27,1857
2015-07-28,1843
2015-07-29,1815
2015-07-30,1815
2015-07-31,1788
2015-08-01,1788
2015-08-02,1760
2015-08-03,1760
2015-08-04,1795
2015-08-05,1823
2015-08-06,1823
2015-08-07,1761
2015-08-08,1750
2015-08-09,1750
2015-08-10,1798
2015-08-11,1798
2015-08-12,1763
2015-08-13,1763
2015-08-14,1735
2015-08-15,1735
2015-08-16,1796
2015-08-17,1873
2015-08-18,1873
2015-08-19,1943
2015-08-20,1943
2015-08-21,1906
2015-08-22,1827
2015-08-23,1827
2015-08-24,1828
2015-08-25,1828
2015-08-26,1775
2015-08-27,1783
2015-08-28,1783
2015-08-29,1823
2015-08-30,1823
2015-08-31,1749
2015-09-01,1804
2015-09-02,1804
2015-09-03,1848
2015-09-04,1879
2015-09-05,1879
2015-09-06,1807
2015-09-07,1782
2015-09-08,1789
2015-09-09,1791
2015-09-10,1791
2015-09-11,1793
2015-09-12,1794
2015-09-13,1841
2015-09-14,1841
2015-09-15,1835
2015-09-16,1835
2015-09-17,1822
