date_obj,Uncut%20ruby price
2016-02-15,2134
2016-02-16,2146
2016-02-17,2074
2016-02-18,1973
2016-02-19,1996
2016-02-20,2036
2016-02-21,2000
2016-02-22,1950
2016-02-23,1869
2016-02-24,1846
2016-02-25,1906
2016-02-26,1889
2016-02-27,1943
2016-02-28,1940
2016-02-29,1843
2016-03-01,1753
2016-03-02,1725
2016-03-03,1686
2016-03-04,1760
2016-03-05,1833
2016-03-06,1886
2016-03-07,1980
2016-03-08,1961
2016-03-09,2002
2016-03-10,1929
2016-03-11,1887
2016-03-12,1808
2016-03-13,1802
2016-03-14,1759
2016-03-15,1734
2016-03-16,1762
2016-03-17,1810
2016-03-18,1815
2016-03-19,1817
2016-03-20,1805
2016-03-21,1744
2016-03-22,1820
2016-03-23,1812
2016-03-24,1753
2016-03-25,1806
2016-03-26,1825
2016-03-27,1786
2016-03-28,1792
2016-03-29,1826
2016-03-30,1789
2016-03-31,1815
2016-04-01,1814
2016-04-02,1769
2016-04-03,1751
2016-04-04,1823
2016-04-05,1792
2016-04-06,1828
2016-04-07,1880
2016-04-08,1872
2016-04-09,1880
2016-04-10,1911
2016-04-11,1977
2016-04-12,2051
2016-04-13,2034
2016-04-14,1990
2016-04-15,1977
2016-04-16,1907
2016-04-17,1859
2016-04-18,1847
2016-04-19,1901
2016-04-20,1935
2016-04-21,1954
2016-04-22,1970
2016-04-23,1949
2016-04-24,1896
2016-04-25,1919
2016-04-26,1945
2016-04-27,1986
2016-04-28,2068
2016-04-29,2069
2016-04-30,2089
2016-05-01,2104
2016-05-02,2150
2016-05-03,2244
2016-05-04,2233
2016-05-05,2325
2016-05-06,2442
2016-05-07,2542
2016-05-08,2607
2016-05-09,2486
2016-05-10,2366
2016-05-11,2285
2016-05-12,2200
2016-05-13,2155
2016-05-14,2144
2016-05-15,2107
2016-05-16,2162
2016-05-17,2149
2016-05-18,2117
2016-05-19,2094
2016-05-22,2089
2016-05-23,2027
2016-05-24,2102
2016-05-25,2105
2016-05-26,2156
2016-05-27,2085
2016-05-28,2062
2016-05-29,2073
2016-05-30,2124
2016-05-31,2037
2016-06-01,2039
2016-06-02,2063
2016-06-03,2060
2016-06-04,2076
2016-06-05,2121
2016-06-06,2119
2016-06-07,2141
2016-06-08,2183
2016-06-09,2204
2016-06-10,2174
2016-06-11,2166
2016-06-12,2190
2016-06-13,2232
2016-06-14,2191
2016-06-15,2166
2016-06-16,2139
2016-06-17,2143
2016-06-18,2183
2016-06-19,2140
2016-06-20,2169
2016-06-21,2154
2016-06-22,2187
2016-06-23,2273
2016-06-24,2239
2016-06-25,2260
2016-06-26,2297
2016-06-27,2275
2016-06-28,2327
2016-06-29,2329
2016-06-30,2296
2016-07-01,2248
2016-07-02,2227
2016-07-03,2212
2016-07-04,2180
2016-07-05,2191
2016-07-06,2242
2016-07-07,2280
2016-07-08,2344
2016-07-09,2329
2016-07-10,2356
2016-07-11,2328
2016-07-12,2325
2016-07-13,2357
2016-07-14,2376
2016-07-15,2421
2016-07-16,2396
2016-07-17,2359
2016-07-18,2321
2016-07-24,2195
2016-07-25,2195
2016-07-26,2219
2016-07-27,2218
2016-07-28,2217
2016-07-29,2240
2016-07-30,2227
2016-07-31,2214
2016-08-01,2209
2016-08-02,2177
2016-08-03,2128
2016-08-04,2156
2016-08-05,2171
2016-08-06,2166
2016-08-07,2120
2016-08-08,2077
2016-08-09,2054
2016-08-10,2082
2016-08-11,2073
2016-08-12,2057
2016-08-13,2052
2016-08-14,2019
2016-08-15,2011
2016-08-16,2031
2016-08-17,1960
2016-08-18,1944
2016-08-19,1941
2016-08-20,1967
2016-08-21,1948
2016-08-22,1947
2016-08-23,2019
2016-08-24,2035
2016-08-25,1988
2016-08-26,1949
2016-08-28,1908
2016-08-31,1897
2016-09-01,1932
2016-09-02,1974
2016-09-03,1938
2016-09-04,1917
2016-09-05,1939
2016-09-06,1988
2016-09-07,1969
2016-09-08,1936
2016-09-09,1882
2016-09-10,1864
2016-09-11,1886
2016-09-12,1896
2016-09-13,1837
2016-09-14,1835
2016-09-15,1792
2016-09-16,1790
2016-09-17,1772
2016-09-18,1777
2016-09-19,1755
2016-09-20,1748
2016-09-21,1743
2016-09-22,1785
2016-09-23,1796
2016-09-24,1798
2016-09-25,1814
2016-09-26,1876
2016-09-27,1862
2016-09-28,1902
2016-09-29,1937
2016-09-30,1899
2016-10-01,1844
2016-10-02,1796
2016-10-03,1830
2016-10-04,1843
2016-10-05,1848
2016-10-06,1847
2016-10-07,1828
2016-10-08,1820
2016-10-09,1881
2016-10-10,1933
2016-10-11,1976
2016-10-12,2042
2016-10-13,2096
2016-10-14,2060
2016-10-15,2003
2016-10-16,2006
2016-10-17,2077
2016-10-18,2150
2016-10-19,2215
2016-10-20,2316
2016-10-21,2392
2016-10-22,2293
2016-10-23,2209
2016-10-24,2196
2016-10-25,2111
2016-10-26,2072
2016-10-27,2114
2016-10-28,2135
2016-10-29,2212
2016-10-30,2285
2016-10-31,2231
2016-11-01,2215
2016-11-02,2114
2016-11-03,2121
2016-11-04,2123
2016-11-05,2222
2016-11-06,2280
2016-11-07,2223
2016-11-08,2165
2016-11-09,2107
2016-11-10,2088
2016-11-11,2129
2016-11-12,2146
2016-11-13,2179
2016-11-14,2149
2016-12-08,2090
2016-12-09,2137
2016-12-10,2182
2016-12-11,2203
2016-12-12,2193
2016-12-13,2155
2016-12-14,2132
2016-12-15,2142
2016-12-16,2139
2016-12-17,2171
2016-12-18,2148
2016-12-19,2158
2016-12-20,2136
2016-12-21,2132
2016-12-22,2126
2016-12-23,2140
2016-12-24,2116
2016-12-25,2107
2016-12-26,2087
2016-12-27,2087
2016-12-28,2072
2016-12-29,2114
2016-12-30,2147
2016-12-31,2120
2017-01-01,2066
2017-01-02,2081
2017-01-03,2068
2017-01-04,2066
2017-01-05,2164
2017-01-06,2273
2017-01-07,2378
2017-01-08,2443
2017-01-09,2445
2017-01-10,2519
2017-01-11,2523
2017-01-12,2402
2017-01-13,2281
2017-01-14,2176
2017-01-15,2088
2017-01-16,2051
2017-01-17,2044
2017-01-18,2127
2017-01-19,2192
2017-01-20,2149
2017-01-21,2121
2017-01-22,2093
2017-01-27,2117
2017-01-28,2095
2017-01-29,2095
2017-01-30,2101
2017-01-31,2089
2017-02-01,2071
2017-02-02,2061
2017-02-03,2101
2017-02-04,2149
2017-02-05,2090
2017-02-06,2084
2017-02-07,2069
2017-02-08,2091
2017-02-09,2084
2017-02-10,2067
2017-02-11,2079
2017-02-12,2064
2017-02-13,2026
2017-02-14,1991
2017-02-15,2012
2017-02-16,2027
2017-02-18,2046
2017-02-19,2028
2017-02-20,2005
2017-02-21,1989
2017-02-22,1989
2017-02-23,1986
2017-02-24,2013
2017-02-25,2020
2017-02-26,1992
2017-02-27,1990
2017-02-28,1993
2017-03-01,2016
2017-03-02,2012
2017-03-03,2049
2017-03-04,2033
2017-03-05,2006
2017-03-06,2006
2017-03-07,2005
2017-03-08,1993
2017-03-09,1990
2017-03-10,1974
2017-03-11,1965
2017-03-12,1918
2017-03-13,1913
2017-03-14,1922
2017-03-15,1889
2017-03-16,1885
2017-03-17,1896
2017-03-18,1870
2017-03-19,1848
2017-03-20,1866
2017-03-21,1909
2017-03-22,1891
2017-03-23,1950
2017-03-24,2017
2017-03-25,2007
2017-03-26,2014
2017-03-27,1994
2017-03-28,1976
2017-03-29,1994
2017-03-30,2007
2017-04-01,2025
2017-04-02,2010
2017-04-03,1962
2017-04-04,1936
2017-04-12,1793
2017-04-13,1800
2017-04-14,1816
2017-04-15,1773
2017-04-16,1801
2017-04-17,1761
2017-04-18,1741
2017-04-19,1730
2017-04-20,1750
2017-04-21,1768
2017-04-22,1745
2017-04-23,1744
2017-04-24,1788
2017-04-25,1815
2017-04-26,1805
2017-04-27,1779
2017-04-28,1814
2017-04-29,1857
2017-04-30,1880
2017-05-01,1856
2017-05-02,1849
2017-05-03,1834
2017-05-04,1856
2017-05-05,1862
2017-05-06,1857
2017-05-07,1878
2017-05-08,1856
2017-05-09,1850
2017-05-10,1849
2017-05-11,1848
2017-05-12,1841
2017-05-13,1848
2017-05-14,1866
2017-05-15,1872
2017-05-16,1860
2017-05-17,1858
2017-05-18,1850
2017-05-19,1866
2017-05-20,1850
2017-05-21,1847
2017-05-22,1853
2017-05-23,1859
2017-05-24,1915
2017-05-25,1925
2017-05-26,1909
2017-05-27,1854
2017-05-28,1819
2017-05-29,1821
2017-05-30,1852
2017-05-31,1877
2017-06-01,1804
2017-06-02,1752
2017-06-03,1767
2017-06-06,1654
2017-06-07,1686
2017-06-08,1714
2017-06-09,1724
2017-06-10,1723
2017-06-11,1714
2017-06-12,1656
2017-06-13,1669
2017-06-14,1700
2017-06-15,1720
2017-06-16,1719
2017-06-17,1717
2017-06-18,1689
2017-06-19,1687
2017-06-20,1684
2017-06-21,1713
2017-06-22,1756
2017-06-23,1767
2017-06-24,1727
2017-06-25,1701
2017-06-26,1698
2017-06-27,1767
2017-06-28,1761
2017-06-29,1737
2017-06-30,1726
2017-07-01,1743
2017-07-02,1738
2017-07-03,1761
2017-07-04,1803
