date_obj,Bucket%20of%20sap price
2015-03-26,23
2015-03-27,23
2015-03-28,25
2015-03-29,25
2015-03-30,27
2015-03-31,27
2015-04-01,29
2015-04-02,29
2015-04-03,31
2015-04-04,31
2015-04-05,33
2015-04-06,33
2015-04-07,35
2015-04-08,35
2015-04-09,37
2015-04-10,37
2015-04-11,39
2015-04-12,39
2015-04-13,41
2015-04-14,41
2015-04-15,44
2015-04-16,44
2015-04-17,47
2015-04-18,47
2015-04-19,50
2015-04-20,50
2015-04-21,53
2015-04-22,53
2015-04-23,56
2015-04-24,56
2015-04-25,59
2015-04-26,59
2015-04-27,62
2015-04-28,62
2015-04-29,66
2015-04-30,66
2015-05-01,70
2015-05-02,70
2015-05-03,74
2015-05-04,74
2015-05-05,78
2015-05-06,78
2015-05-07,82
2015-05-08,82
2015-05-09,87
2015-05-10,87
2015-05-11,92
2015-05-12,97
2015-05-13,97
2015-05-14,102
2015-05-15,102
2015-05-16,102
2015-05-17,107
2015-05-18,107
2015-05-19,112
2015-05-20,112
2015-05-21,112
2015-05-22,118
2015-05-23,118
2015-05-24,123
2015-05-25,123
2015-05-26,129
2015-05-27,129
2015-05-28,136
2015-05-29,136
2015-05-30,143
2015-05-31,143
2015-06-01,148
2015-06-02,148
2015-06-03,155
2015-06-04,155
2015-06-05,163
2015-06-06,171
2015-06-07,171
2015-06-08,180
2015-06-09,188
2015-06-10,195
2015-06-11,195
2015-06-12,201
2015-06-13,209
2015-06-14,209
2015-06-15,220
2015-06-16,231
2015-06-17,231
2015-06-18,242
2015-06-19,242
2015-06-20,254
2015-06-21,254
2015-06-22,262
2015-06-23,262
2015-06-24,269
2015-06-25,269
2015-06-26,255
2015-06-27,255
2015-06-28,242
2015-06-29,242
2015-06-30,229
2015-07-01,231
2015-07-02,231
2015-07-03,241
2015-07-04,241
2015-07-05,240
2015-07-06,240
2015-07-07,241
2015-07-08,250
2015-07-09,250
2015-07-10,246
2015-07-11,246
2015-07-12,256
2015-07-13,268
2015-07-14,282
2015-07-15,282
2015-07-16,286
2015-07-17,282
2015-07-18,282
2015-07-19,281
2015-07-20,278
2015-07-21,278
2015-07-22,289
2015-07-23,289
2015-07-24,301
