date_obj,Black%20dart price
2015-03-26,95
2015-03-27,95
2015-03-28,95
2015-03-29,95
2015-03-30,95
2015-03-31,95
2015-04-01,95
2015-04-02,95
2015-04-03,95
2015-04-04,95
2015-04-05,95
2015-04-06,95
2015-04-07,95
2015-04-08,95
2015-04-09,95
2015-04-10,95
2015-04-11,95
2015-04-12,95
2015-04-13,95
2015-04-14,95
2015-04-15,98
2015-04-16,98
2015-04-17,98
2015-04-18,98
2015-04-19,98
2015-04-20,98
2015-04-21,98
2015-04-22,98
2015-04-23,98
2015-04-24,98
2015-04-25,98
2015-04-26,98
2015-04-27,98
2015-04-28,98
2015-04-29,98
2015-04-30,98
2015-05-01,98
2015-05-02,98
2015-05-03,98
2015-05-04,98
2015-05-05,98
2015-05-06,98
2015-05-07,98
2015-05-08,98
2015-05-09,98
2015-05-10,98
2015-05-11,98
2015-05-12,98
2015-05-13,98
2015-05-14,98
2015-05-15,98
2015-05-16,98
2015-05-17,98
2015-05-18,98
2015-05-19,98
2015-05-20,98
2015-05-21,98
2015-05-22,98
2015-05-23,98
2015-05-24,101
2015-05-25,101
2015-05-26,101
2015-05-27,101
2015-05-28,101
2015-05-29,101
2015-05-30,101
2015-05-31,101
2015-06-01,101
2015-06-02,101
2015-06-03,101
2015-06-04,101
2015-06-05,101
2015-06-06,101
2015-06-07,101
2015-06-08,101
2015-06-09,101
2015-06-10,101
2015-06-11,101
2015-06-12,101
2015-06-13,101
2015-06-14,101
2015-06-15,101
2015-06-16,101
2015-06-17,101
2015-06-18,101
2015-06-19,101
2015-06-20,101
2015-06-21,101
2015-06-22,101
2015-06-23,101
2015-06-24,101
2015-06-25,101
2015-06-26,106
2015-06-27,106
2015-06-28,106
2015-06-29,106
2015-06-30,106
2015-07-01,106
2015-07-02,106
2015-07-03,106
2015-07-04,106
2015-07-05,106
2015-07-06,106
2015-07-07,106
2015-07-08,106
2015-07-09,106
2015-07-10,106
2015-07-11,106
2015-07-12,106
2015-07-13,106
2015-07-14,106
2015-07-15,106
2015-07-16,106
2015-07-17,106
2015-07-18,106
2015-07-19,106
2015-07-20,106
2015-07-21,106
2015-07-22,106
2015-07-23,106
2015-07-24,106
2015-07-25,106
2015-07-26,106
2015-07-27,106
2015-07-28,106
2015-07-29,106
2015-07-30,111
2015-07-31,111
2015-08-01,111
2015-08-02,111
2015-08-03,111
2015-08-04,111
2015-08-05,111
2015-08-06,111
2015-08-07,111
2015-08-08,111
2015-08-09,111
2015-08-10,111
2015-08-11,111
2015-08-12,111
2015-08-13,111
2015-08-14,111
2015-08-15,111
2015-08-16,111
2015-08-17,111
2015-08-18,111
2015-08-19,111
2015-08-20,111
2015-08-21,111
2015-08-22,111
2015-08-23,111
2015-08-24,111
2015-08-25,111
2015-08-26,111
2015-08-27,111
2015-08-28,111
2015-08-29,111
2015-08-30,111
2015-08-31,111
2015-09-01,111
2015-09-02,111
2015-09-03,111
2015-09-04,111
2015-09-05,111
2015-09-06,111
2015-09-07,111
2015-09-08,111
2015-09-09,111
2015-09-10,111
2015-09-11,111
2015-09-12,111
2015-09-13,116
2015-09-14,116
2015-09-15,116
2015-09-16,116
2015-09-17,116
2015-09-18,116
2015-09-19,116
2015-09-20,116
2015-09-21,116
2015-09-22,116
2015-09-23,116
2015-09-24,116
2015-09-25,116
2015-09-27,116
2015-09-28,116
2015-09-29,116
2015-09-30,116
2015-10-05,116
2015-10-06,116
2015-10-07,116
2015-10-08,116
2015-10-09,116
2015-10-10,116
2015-10-11,116
2015-10-12,116
