date_obj,3rd%20age%20vambraces price
2015-03-26,5624983
2015-03-27,5624983
2015-03-28,5624983
2015-03-29,5408616
2015-03-30,5408616
2015-03-31,5408616
2015-04-01,5408616
2015-04-02,5408616
2015-04-03,5408616
2015-04-04,5408616
2015-04-05,5408616
2015-04-06,5408616
2015-04-07,5408616
2015-04-08,5408616
2015-04-09,5408616
2015-04-10,5408616
2015-04-11,5408616
2015-04-12,5408616
2015-04-13,5408616
2015-04-14,5408616
2015-04-15,5356415
2015-04-16,5356415
2015-04-17,5356415
2015-04-18,5356415
2015-04-19,5356415
2015-04-20,5356415
2015-04-21,5356415
2015-04-22,5356415
2015-04-23,5356415
2015-04-24,5356415
2015-04-25,5356415
2015-04-26,5356415
2015-04-27,5356415
2015-04-28,5356415
2015-04-29,5356415
2015-04-30,5356415
2015-05-01,5356415
2015-05-02,5323298
2015-05-03,5323298
2015-05-04,5323298
2015-05-05,5323298
2015-05-06,5323298
2015-05-07,5323298
2015-05-08,5323298
2015-05-09,5323298
2015-05-10,5323298
2015-05-11,5323298
2015-05-12,5323298
2015-05-13,5323298
2015-05-14,5323298
2015-05-15,5323298
2015-05-16,5323298
2015-05-17,5323298
2015-05-18,5323298
2015-05-19,5323297
2015-05-20,5323297
2015-05-21,5323297
2015-05-22,5323297
2015-05-23,5323297
2015-05-24,5323297
2015-05-25,5323297
2015-05-26,5323297
2015-05-27,5323297
2015-05-28,5323297
2015-05-29,5323297
2015-05-30,5323297
2015-05-31,5245877
2015-06-01,5245877
2015-06-02,5245877
2015-06-03,5245877
2015-06-04,5245877
2015-06-05,5245877
2015-06-06,5245877
2015-06-07,5245877
2015-06-08,5245877
2015-06-09,5245877
2015-06-10,5245877
2015-06-11,5245877
2015-06-12,5075235
2015-06-13,5075235
2015-06-14,5075235
2015-06-15,5075235
2015-06-16,5075235
2015-06-17,5075235
2015-06-18,5075235
2015-06-19,5075235
2015-06-20,5075235
2015-06-21,5075235
2015-06-22,4919399
2015-06-23,4919399
2015-06-24,4919399
2015-06-25,4919399
2015-06-26,4919399
2015-06-27,4919399
2015-06-28,4919399
2015-06-29,4919399
2015-06-30,4919399
2015-07-01,4919399
2015-07-02,4919399
2015-07-03,4919399
2015-07-04,5056162
2015-07-05,5056162
2015-07-06,5056162
2015-07-07,5056162
2015-07-08,5056162
2015-07-09,5056162
2015-07-10,5056162
2015-07-11,5056162
2015-07-12,5056162
2015-07-13,5056162
2015-07-14,4909445
2015-07-15,4909445
2015-07-16,4909445
2015-07-17,4909445
2015-07-18,4909445
2015-07-19,4909445
2015-07-20,4909445
2015-07-21,4909445
2015-07-22,4909445
2015-07-23,4909445
2015-07-24,4987675
2015-07-25,4987675
2015-07-26,4987675
2015-07-27,4987675
2015-07-28,4987675
2015-07-29,4987675
2015-07-30,4987675
2015-07-31,4987675
