date_obj,Jar%20of%20dreams price
2020-02-05,1000000
2020-02-06,1050000
2020-02-07,1101592
2020-02-08,1142057
2020-02-09,1162571
2020-02-10,1203085
2020-02-11,1203085
2020-02-12,1249092
2020-02-13,1249092
2020-02-14,1249092
2020-02-15,1256536
2020-02-16,1256536
2020-02-17,1256536
2020-02-18,1256536
2020-02-19,1256536
2020-02-20,1237325
2020-02-21,1237325
2020-02-22,1237325
2020-02-23,1237325
2020-02-24,1237325
2020-02-25,1237325
2020-02-26,1237325
2020-02-27,1285767
2020-02-28,1285767
2020-02-29,1285767
2020-03-01,1285767
2020-03-02,1285767
2020-03-03,1285767
2020-03-04,1285767
2020-03-05,1332728
2020-03-06,1332728
2020-03-07,1332728
2020-03-08,1332728
2020-03-09,1332728
2020-03-10,1332728
2020-03-11,1332728
2020-03-12,1391084
2020-03-13,1391084
2020-03-14,1391084
2020-03-15,1391084
2020-03-16,1391084
2020-03-17,1391084
2020-03-18,1455421
2020-03-19,1455421
2020-03-20,1455421
2020-03-21,1455421
2020-03-22,1455421
2020-03-23,1516882
2020-03-24,1516882
2020-03-25,1516882
2020-03-26,1516882
2020-03-27,1516882
2020-03-28,1486789
2020-03-29,1486789
2020-03-30,1486789
2020-03-31,1486789
2020-04-01,1486789
2020-04-02,1414352
2020-04-03,1414352
2020-04-04,1414352
2020-04-05,1414352
2020-04-06,1414352
2020-04-07,1414352
2020-04-08,1376653
2020-04-09,1376653
2020-04-10,1376653
2020-04-11,1376653
2020-04-12,1376653
2020-04-13,1376653
2020-04-14,1376653
2020-04-15,1351656
2020-04-16,1351656
2020-04-17,1351656
2020-04-18,1351656
2020-04-19,1351656
2020-04-20,1351656
2020-04-21,1351656
2020-04-22,1351146
2020-04-23,1351146
2020-04-24,1351146
2020-04-25,1351146
2020-04-26,1351146
2020-04-27,1351146
2020-04-28,1351146
2020-04-29,1351146
2020-04-30,1307795
2020-05-01,1307795
2020-05-02,1307795
2020-05-03,1307795
2020-05-04,1307795
2020-05-05,1307795
2020-05-06,1307795
2020-05-07,1307795
2020-05-08,1307795
2020-05-09,1262441
2020-05-10,1262441
2020-05-11,1262441
2020-05-12,1262441
2020-05-13,1262441
