date_obj,Red%20salamander price
2016-03-17,17
2016-03-18,17
2016-03-19,17
2016-03-20,17
2016-03-21,17
2016-03-22,17
2016-03-23,17
2016-03-24,17
2016-03-25,17
2016-03-26,17
2016-03-27,17
2016-03-28,17
2016-03-29,17
2016-03-30,17
2016-03-31,17
2016-04-01,17
2016-04-02,17
2016-04-03,18
2016-04-04,18
2016-04-05,18
2016-04-06,18
2016-04-07,19
2016-04-08,19
2016-04-09,19
2016-04-10,19
2016-04-11,19
2016-04-12,19
2016-04-13,19
2016-04-14,19
2016-04-15,19
2016-04-16,19
2016-04-17,20
2016-04-18,20
2016-04-19,20
2016-04-20,21
2016-04-21,21
2016-04-22,21
2016-04-23,21
2016-04-24,21
2016-04-25,21
2016-04-26,21
2016-04-27,21
2016-04-28,21
2016-04-29,21
2016-04-30,22
2016-05-01,22
2016-05-02,22
2016-05-03,24
2016-05-04,24
2016-05-05,25
2016-05-06,25
2016-05-07,25
2016-05-08,25
2016-05-09,25
2016-05-10,24
2016-05-11,24
2016-05-12,24
2016-05-13,23
2016-05-14,23
2016-05-15,23
2016-05-16,23
2016-05-17,23
2016-05-18,23
2016-05-19,23
2016-05-22,23
2016-05-23,23
2016-05-24,24
2016-05-25,24
2016-05-26,24
2016-05-27,24
2016-05-28,24
2016-05-29,24
2016-05-30,25
2016-05-31,25
2016-06-01,25
2016-06-02,24
2016-06-03,24
2016-06-04,24
2016-06-05,24
2016-06-06,23
2016-06-07,23
2016-06-08,23
2016-06-09,22
2016-06-10,22
2016-06-11,22
2016-06-12,21
2016-06-13,21
2016-06-14,21
2016-06-15,20
2016-06-16,20
2016-06-17,20
2016-06-18,19
2016-06-19,19
2016-06-20,19
2016-06-21,20
2016-06-22,20
2016-06-23,20
2016-06-24,20
2016-06-25,20
2016-06-26,20
2016-06-27,20
2016-06-28,21
2016-06-29,21
2016-06-30,21
2016-07-01,20
2016-07-02,20
2016-07-03,20
2016-07-04,20
2016-07-05,20
2016-07-06,20
2016-07-07,20
2016-07-08,20
2016-07-09,20
2016-07-10,20
2016-07-11,19
2016-07-12,19
2016-07-13,18
2016-07-14,18
2016-07-15,17
2016-07-16,17
2016-07-17,17
2016-07-18,17
2016-07-23,17
2016-07-24,17
2016-07-25,17
2016-07-26,17
2016-07-27,17
2016-07-28,17
2016-07-29,16
2016-07-30,16
2016-07-31,16
2016-08-01,16
2016-08-02,16
2016-08-03,16
2016-08-04,16
2016-08-05,16
2016-08-06,17
2016-08-07,17
2016-08-08,17
2016-08-09,18
2016-08-10,18
2016-08-11,18
2016-08-12,18
2016-08-13,19
2016-08-14,19
2016-08-15,19
2016-08-16,19
2016-08-17,19
2016-08-18,19
2016-08-19,19
2016-08-20,18
2016-08-21,18
2016-08-22,18
2016-08-23,18
2016-08-24,17
2016-08-25,17
2016-08-26,17
2016-08-28,16
2016-08-31,16
2016-09-01,15
2016-09-02,15
2016-09-03,15
2016-09-04,15
2016-09-05,14
2016-09-06,14
2016-09-07,14
2016-09-08,14
2016-09-09,14
2016-09-10,14
2016-09-11,14
2016-09-12,14
2016-09-13,14
2016-09-14,14
2016-09-15,14
2016-09-16,14
2016-09-17,14
2016-09-18,13
2016-09-19,13
2016-09-20,13
2016-09-21,13
2016-09-22,13
2016-09-23,13
2016-09-24,13
2016-09-25,13
2016-09-26,13
2016-09-27,12
2016-09-28,12
2016-09-29,12
2016-09-30,12
2016-10-01,11
2016-10-02,11
2016-10-03,11
2016-10-04,11
2016-10-05,11
2016-10-06,11
2016-10-07,11
2016-10-08,11
2016-10-09,11
2016-10-10,11
2016-10-11,11
2016-10-12,11
2016-10-13,11
2016-10-14,11
2016-10-15,11
2016-10-16,11
2016-10-17,11
2016-10-18,10
2016-10-19,10
2016-10-20,10
2016-10-21,10
2016-10-22,9
2016-10-23,9
2016-10-24,9
2016-10-25,9
2016-10-26,10
2016-10-27,10
2016-10-28,10
2016-10-29,10
2016-10-30,10
2016-10-31,10
2016-11-01,10
2016-11-02,10
2016-11-03,10
2016-11-04,11
2016-11-05,11
2016-11-06,11
2016-11-07,11
2016-11-08,12
2016-11-09,12
2016-11-10,12
2016-11-11,12
2016-11-12,11
2016-11-13,11
2016-11-14,11
2016-12-08,15
2016-12-09,15
2016-12-10,15
2016-12-11,16
2016-12-12,16
2016-12-13,16
2016-12-14,16
2016-12-15,16
2016-12-16,16
2016-12-17,16
2016-12-18,17
2016-12-19,17
2016-12-20,17
2016-12-21,18
2016-12-22,18
2016-12-23,18
2016-12-24,19
2016-12-25,19
2016-12-26,19
2016-12-27,20
2016-12-28,20
2016-12-29,20
2016-12-30,20
2016-12-31,20
2017-01-01,20
2017-01-02,21
2017-01-03,21
2017-01-04,21
2017-01-05,21
2017-01-06,21
2017-01-07,20
2017-01-08,20
2017-01-09,20
2017-01-10,20
2017-01-11,20
2017-01-12,20
2017-01-13,20
2017-01-14,20
2017-01-15,20
2017-01-16,20
2017-01-17,20
2017-01-18,21
2017-01-19,21
2017-01-20,21
2017-01-21,19
2017-01-22,19
2017-01-27,19
2017-01-28,19
2017-01-29,19
2017-01-30,19
2017-01-31,19
2017-02-01,19
2017-02-02,19
2017-02-03,19
2017-02-04,20
2017-02-05,20
2017-02-06,20
2017-02-07,20
2017-02-08,20
2017-02-09,20
2017-02-10,20
2017-02-11,20
2017-02-12,20
2017-02-13,19
2017-02-14,19
2017-02-15,19
2017-02-16,19
2017-02-18,19
2017-02-19,19
2017-02-20,19
2017-02-21,19
2017-02-22,19
2017-02-23,20
2017-02-24,20
2017-02-25,20
2017-02-26,20
2017-02-27,20
2017-02-28,20
2017-03-01,20
2017-03-02,19
2017-03-03,19
2017-03-04,19
2017-03-05,19
2017-03-06,19
2017-03-07,19
2017-03-08,19
2017-03-09,19
2017-03-10,18
2017-03-11,18
2017-03-12,18
2017-03-13,17
2017-03-14,17
2017-03-15,17
2017-03-16,16
2017-03-17,16
2017-03-18,16
2017-03-19,16
2017-03-20,16
2017-03-21,16
2017-03-22,16
2017-03-23,16
2017-03-24,16
2017-03-25,15
2017-03-26,15
2017-03-27,15
2017-03-28,14
2017-03-29,14
2017-03-30,14
2017-03-31,15
2017-04-01,15
2017-04-02,15
2017-04-03,16
2017-04-04,16
2017-04-12,18
2017-04-13,18
2017-04-14,18
2017-04-15,18
2017-04-16,18
2017-04-17,18
2017-04-18,18
2017-04-19,18
2017-04-20,18
2017-04-21,18
2017-04-22,18
2017-04-23,18
2017-04-24,18
2017-04-25,18
2017-04-26,18
2017-04-27,18
2017-04-28,18
2017-04-29,18
2017-04-30,18
2017-05-01,18
2017-05-02,17
2017-05-03,17
2017-05-04,17
2017-05-05,17
2017-05-06,17
2017-05-07,17
2017-05-08,17
2017-05-09,17
2017-05-10,17
2017-05-11,17
2017-05-12,17
2017-05-13,17
2017-05-14,17
2017-05-15,18
2017-05-16,18
2017-05-17,18
2017-05-18,19
2017-05-19,19
2017-05-20,19
2017-05-21,19
2017-05-22,19
2017-05-23,19
2017-05-24,19
2017-05-25,19
2017-05-26,19
2017-05-27,19
2017-05-28,19
2017-05-29,19
2017-05-30,19
2017-05-31,19
2017-06-01,19
2017-06-02,20
2017-06-03,20
2017-06-06,20
2017-06-07,20
2017-06-08,20
2017-06-09,20
2017-06-10,20
2017-06-11,20
2017-06-12,20
2017-06-13,20
2017-06-14,20
2017-06-15,20
2017-06-16,20
2017-06-17,20
2017-06-18,20
2017-06-19,20
2017-06-20,21
2017-06-21,21
2017-06-22,21
2017-06-23,21
2017-06-24,21
2017-06-25,21
2017-06-26,21
2017-06-27,23
2017-06-28,23
2017-06-29,23
2017-06-30,25
2017-07-01,25
2017-07-02,25
2017-07-03,25
2017-07-04,25
2017-07-05,25
2017-07-06,25
2017-07-07,25
2017-07-08,23
2017-07-13,23
2017-07-14,24
2017-07-15,24
2017-07-16,24
2017-07-17,24
2017-07-18,24
2017-07-19,24
2017-07-20,24
2017-07-21,24
2017-07-22,24
2017-07-23,24
2017-07-24,24
2017-07-25,24
2017-07-26,23
2017-07-27,23
2017-07-28,23
2017-07-29,23
2017-07-30,23
2017-07-31,23
2017-08-01,23
2017-08-02,23
2017-08-03,23
2017-08-04,23
2017-08-05,23
2017-08-06,23
2017-08-09,24
2017-08-10,24
2017-08-11,24
2017-08-12,24
2017-08-13,25
2017-08-14,25
2017-08-15,25
2017-08-17,24
2017-08-18,24
2017-08-19,24
2017-08-20,24
2017-08-22,24
2017-08-23,25
2017-08-24,25
2017-08-25,25
2017-08-26,26
2017-08-27,26
2017-08-28,26
2017-08-29,26
2017-08-30,27
2017-08-31,27
2017-09-01,27
2017-09-02,29
2017-09-03,29
2017-09-04,29
2017-09-05,30
2017-09-06,30
2017-09-07,30
2017-09-08,31
2017-09-09,31
2017-09-10,30
2017-09-11,30
2017-09-12,30
2017-09-13,29
2017-09-14,29
2017-09-15,29
2017-09-16,30
2017-09-17,30
2017-09-19,30
2017-09-20,30
2017-09-21,30
2017-09-22,31
2017-09-23,31
2017-09-24,31
2017-09-25,31
2017-09-26,31
2017-09-27,31
2017-09-28,31
2017-09-29,30
2017-09-30,30
2017-10-01,30
2017-10-02,30
2017-10-03,30
2017-10-04,30
2017-10-05,30
2017-10-06,31
2017-10-07,31
2017-10-08,31
2017-10-09,30
2017-10-10,30
2017-10-11,30
2017-10-12,28
2017-10-13,28
2017-10-14,28
2017-10-15,26
2017-10-16,26
2017-10-17,26
2017-10-18,25
2017-10-19,25
2017-10-20,25
2017-10-21,25
2017-10-22,24
2017-10-23,24
2017-10-24,24
2017-10-25,23
2017-10-26,23
2017-10-27,23
2017-10-28,23
2017-10-29,23
2017-10-30,23
2017-10-31,23
2017-11-01,23
2017-11-02,25
2017-11-03,25
2017-11-04,25
2017-11-05,27
2017-11-06,27
2017-11-07,27
2017-11-08,29
2017-11-09,29
2017-11-10,29
2017-11-11,30
2017-11-12,30
2017-11-13,30
2017-11-14,31
2017-11-15,31
2017-11-16,31
2017-11-17,30
2017-11-18,30
2017-11-19,30
2017-11-20,31
2017-11-21,31
2017-11-22,31
2017-11-23,32
2017-11-24,32
2017-11-25,32
2017-11-26,33
2017-11-27,33
2017-11-28,33
2017-11-29,33
2017-11-30,33
2017-12-01,33
2017-12-02,35
2017-12-03,35
2017-12-04,35
2017-12-05,34
2017-12-06,34
2017-12-07,34
2017-12-08,33
2017-12-09,33
2017-12-10,32
2017-12-11,32
2017-12-12,32
2017-12-14,30
2017-12-15,28
2017-12-16,28
2017-12-17,28
2017-12-18,27
2017-12-19,27
2017-12-20,27
2017-12-21,26
2017-12-22,26
2017-12-23,26
2017-12-24,26
2017-12-25,26
2017-12-26,26
2017-12-27,28
2017-12-28,28
2017-12-29,28
2017-12-30,28
2017-12-31,28
2018-01-01,28
2018-01-02,29
2018-01-03,29
2018-01-04,29
2018-01-05,30
2018-01-06,30
2018-01-07,31
2018-01-08,31
2018-01-09,31
2018-01-10,32
2018-01-11,32
2018-01-12,32
2018-01-13,34
2018-01-14,34
2018-01-15,34
2018-01-16,34
2018-01-17,34
2018-01-18,34
2018-01-19,34
2018-01-20,33
2018-01-21,33
2018-01-22,32
2018-01-23,32
2018-01-24,34
2018-01-25,34
2018-01-26,35
2018-01-27,35
2018-01-28,36
2018-01-29,36
2018-01-31,36
2018-02-01,37
2018-02-02,37
2018-02-03,38
2018-02-04,38
2018-02-05,40
2018-02-06,41
2018-02-07,43
2018-02-08,43
2018-02-09,42
2018-02-10,42
2018-02-11,40
2018-02-12,42
2018-02-13,42
2018-02-14,45
2018-02-15,45
2018-02-16,48
2018-02-17,51
2018-02-18,51
2018-02-19,48
2018-02-20,48
2018-02-21,47
2018-02-22,47
2018-02-23,44
2018-02-24,44
2018-02-25,42
2018-02-26,42
2018-02-27,40
2018-02-28,40
2018-03-01,38
2018-03-02,37
2018-03-03,36
2018-03-04,36
2018-03-05,35
2018-03-06,33
2018-03-07,34
2018-03-08,34
2018-03-09,35
2018-03-10,35
2018-03-11,37
2018-03-12,39
2018-03-13,39
2018-03-14,40
2018-03-15,40
2018-03-16,40
2018-03-17,39
2018-03-18,39
2018-03-19,39
2018-03-20,39
2018-03-21,39
2018-03-23,38
2018-03-24,39
2018-03-26,40
2018-03-27,41
2018-03-28,41
2018-03-29,41
2018-03-30,41
2018-03-31,40
2018-04-01,40
2018-04-02,39
2018-04-03,39
2018-04-04,38
2018-04-05,38
2018-04-06,38
2018-04-08,37
2018-04-09,37
2018-04-10,37
2018-04-11,39
2018-04-12,41
2018-04-13,41
2018-04-14,43
2018-04-15,45
2018-04-16,45
2018-04-17,47
2018-04-18,47
2018-04-19,48
2018-04-20,48
2018-04-21,49
2018-04-22,49
2018-04-23,51
2018-04-24,51
2018-04-25,49
2018-04-26,49
2018-04-27,51
2018-04-28,54
2018-04-29,57
2018-04-30,60
2018-05-01,60
2018-05-02,63
2018-05-03,63
2018-05-04,67
2018-05-05,71
2018-05-06,71
2018-05-07,74
2018-05-08,74
2018-05-09,74
2018-05-10,77
2018-05-11,77
2018-05-12,79
2018-05-13,79
2018-05-14,82
2018-05-15,82
2018-05-16,84
2018-05-17,84
2018-05-18,85
2018-05-19,88
2018-05-20,88
2018-05-21,87
2018-05-22,87
2018-05-23,83
2018-05-24,83
2018-05-25,82
2018-05-26,82
2018-05-27,82
2018-05-28,82
2018-05-29,85
2018-05-30,85
2018-05-31,90
2018-06-01,90
2018-06-02,92
2018-06-03,92
2018-06-04,90
2018-06-05,91
2018-06-06,87
2018-06-07,87
2018-06-08,87
2018-06-09,87
2018-06-10,85
2018-06-11,85
2018-06-12,86
2018-06-13,87
2018-06-14,87
2018-06-15,83
2018-06-16,79
2018-06-17,81
2018-06-18,81
2018-06-19,82
2018-06-20,82
2018-06-21,83
2018-06-22,83
2018-06-23,83
2018-06-24,84
2018-06-25,88
2018-06-26,88
2018-06-27,87
2018-06-28,87
2018-06-29,89
2018-06-30,89
2018-07-01,88
2018-07-02,88
2018-07-03,90
2018-07-04,90
2018-07-05,89
2018-07-06,87
2018-07-07,87
2018-07-08,83
2018-07-09,78
2018-07-10,74
2018-07-11,72
2018-07-12,73
2018-07-13,77
2018-07-14,80
2018-07-15,80
2018-07-16,82
2018-07-17,85
2018-07-18,85
2018-07-19,87
2018-07-20,90
2018-07-21,92
2018-07-22,94
2018-07-23,94
2018-07-24,94
2018-07-25,91
2018-07-26,91
2018-07-27,87
2018-07-28,87
2018-07-29,87
2018-07-30,87
2018-07-31,90
2018-08-01,90
2018-08-02,93
2018-08-03,93
