date_obj,Cream%20hat price
2015-03-04,5239
2015-03-05,5239
2015-03-06,4980
2015-03-07,4980
2015-03-08,4980
2015-03-09,4980
2015-03-10,4980
2015-03-11,4733
2015-03-12,4733
2015-03-13,4733
2015-03-14,4733
2015-03-15,4733
2015-03-16,4498
2015-03-17,4498
2015-03-18,4498
2015-03-19,4498
2015-03-20,4498
2015-03-21,4284
2015-03-22,4284
2015-03-23,4284
2015-03-24,4284
2015-03-25,4070
2015-03-26,4070
2015-03-27,4070
2015-03-28,4070
2015-03-29,4070
2015-03-30,3868
2015-03-31,3868
2015-04-01,3868
2015-04-02,3868
2015-04-03,3676
2015-04-04,3676
2015-04-05,3676
2015-04-06,3676
2015-04-07,3494
2015-04-08,3494
2015-04-09,3494
2015-04-10,3494
2015-04-11,3322
2015-04-12,3322
2015-04-13,3322
2015-04-14,3322
2015-04-15,3156
2015-04-16,3156
2015-04-17,3156
2015-04-18,3156
2015-04-19,3006
2015-04-20,3006
2015-04-21,3006
2015-04-22,3006
2015-04-23,3006
2015-04-24,2856
2015-04-25,2856
2015-04-26,2856
2015-04-27,2856
2015-04-28,2714
2015-04-29,2714
2015-04-30,2714
2015-05-01,2714
2015-05-02,2580
2015-05-03,2580
2015-05-04,2580
2015-05-05,2580
2015-05-06,2453
2015-05-07,2453
2015-05-08,2453
2015-05-09,2453
2015-05-10,2332
2015-05-11,2332
2015-05-12,2332
2015-05-13,2332
2015-05-14,2220
2015-05-15,2220
2015-05-16,2220
2015-05-17,2220
2015-05-18,2144
2015-05-19,2144
2015-05-20,2144
2015-05-21,2144
2015-05-22,2144
2015-05-23,2144
2015-05-24,2051
2015-05-25,2051
2015-05-26,2051
2015-05-27,2051
2015-05-28,1948
2015-05-29,1948
2015-05-30,1948
2015-05-31,1851
2015-06-01,1851
2015-06-02,1851
2015-06-03,1761
2015-06-04,1761
2015-06-05,1761
2015-06-06,1675
2015-06-07,1675
2015-06-08,1675
2015-06-09,1594
2015-06-10,1594
2015-06-11,1594
2015-06-12,1594
2015-06-13,1514
2015-06-14,1514
2015-06-15,1514
2015-06-16,1438
2015-06-17,1438
2015-06-18,1438
2015-06-19,1366
2015-06-20,1366
2015-06-21,1366
2015-06-22,1297
2015-06-23,1297
2015-06-24,1297
2015-06-25,1233
2015-06-26,1233
2015-06-27,1233
2015-06-28,1171
2015-06-29,1171
2015-06-30,1171
2015-07-01,1138
2015-07-02,1138
2015-07-03,1138
2015-07-04,1138
2015-07-05,1081
2015-07-06,1081
2015-07-07,1081
2015-07-08,1027
2015-07-09,1027
2015-07-10,1027
2015-07-11,1027
2015-07-12,978
2015-07-13,978
2015-07-14,978
2015-07-15,956
2015-07-16,956
2015-07-17,956
2015-07-18,956
2015-07-19,948
2015-07-20,948
2015-07-21,948
2015-07-22,948
2015-07-23,948
2015-07-24,948
2015-07-25,947
2015-07-26,947
2015-07-27,947
2015-07-28,939
2015-07-29,939
2015-07-30,939
2015-07-31,962
2015-08-01,962
2015-08-02,962
2015-08-03,978
2015-08-04,978
2015-08-05,978
2015-08-06,991
2015-08-07,991
2015-08-08,991
2015-08-09,1038
2015-08-10,1038
2015-08-11,1038
2015-08-12,1012
2015-08-13,1012
2015-08-14,1012
2015-08-15,1002
2015-08-16,1002
2015-08-17,1002
2015-08-18,1019
2015-08-19,1019
2015-08-20,1019
2015-08-21,1042
2015-08-22,1042
2015-08-23,1042
2015-08-24,1042
2015-08-25,1004
2015-08-26,1004
2015-08-27,1004
2015-08-28,1030
2015-08-29,1030
2015-08-30,1030
2015-08-31,1030
2015-09-01,440
2015-09-02,1003
2015-09-07,985
2015-09-08,985
2015-09-10,951
2015-09-14,959
2015-09-16,959
2015-09-22,963
2015-09-23,963
2015-09-24,963
2015-09-25,985
2015-09-27,985
2015-09-28,985
2015-09-29,999
2015-09-30,999
2015-10-05,1010
2015-10-06,1010
2015-10-07,971
2015-10-08,971
2015-10-09,971
2015-10-10,971
2015-10-11,988
2015-10-12,988
2015-10-13,988
2015-10-14,988
2015-10-15,968
2015-10-16,968
2015-10-17,968
2015-10-18,968
2015-10-19,940
2015-10-20,940
2015-10-22,940
2015-10-23,895
2015-10-24,895
2015-10-25,895
2015-10-26,852
2015-10-27,852
2015-10-29,852
2015-10-30,810
2015-10-31,810
2015-11-01,810
2015-11-02,810
2015-11-03,778
2015-11-04,778
2015-11-05,778
2015-11-06,778
2015-11-07,750
2015-11-08,750
2015-11-09,750
2015-11-10,750
2015-11-11,750
2015-11-12,761
2015-11-13,761
2015-11-14,761
2015-11-15,761
2015-11-16,754
2015-11-17,754
2015-11-18,754
2015-11-19,754
2015-11-20,765
2015-11-21,765
2015-11-22,765
2015-11-23,765
2015-11-24,795
2015-11-25,795
2015-11-26,795
2015-11-27,795
2015-11-28,795
2015-11-29,795
2015-11-30,795
2015-12-01,795
2015-12-02,819
2015-12-03,819
2015-12-04,819
2015-12-05,819
2015-12-06,806
2015-12-07,806
2015-12-08,806
2015-12-09,806
2015-12-10,815
2015-12-11,815
2015-12-12,815
2015-12-13,815
2015-12-14,821
2015-12-15,821
2015-12-16,821
2015-12-17,821
2015-12-18,821
2015-12-19,821
2015-12-20,821
2015-12-21,821
2015-12-22,860
2015-12-23,860
2015-12-24,860
2015-12-25,860
2015-12-26,855
2015-12-27,855
2015-12-28,855
2015-12-29,873
2015-12-30,873
2015-12-31,873
2016-01-01,873
2016-01-02,875
2016-01-03,875
2016-01-04,875
2016-01-05,882
2016-01-06,882
2016-01-07,882
2016-01-08,908
2016-01-09,908
2016-01-10,908
2016-01-11,936
2016-01-12,936
2016-01-13,936
2016-01-14,970
