date_obj,Fancy%20hedge%20(bagged) price
2015-03-05,26000
2015-03-06,26000
2015-03-07,26000
2015-03-08,26000
2015-03-09,26000
2015-03-10,26000
2015-03-11,26000
2015-03-12,26000
2015-03-13,26000
2015-03-14,26000
2015-03-15,26000
2015-03-16,26000
2015-03-17,26000
2015-03-18,26000
2015-03-19,26000
2015-03-20,26000
2015-03-21,26000
2015-03-22,26000
2015-03-23,26000
2015-03-24,26000
2015-03-25,26000
2015-03-26,26000
2015-03-27,26000
2015-03-28,26000
2015-03-29,26000
2015-03-30,26000
2015-03-31,26000
2015-04-01,26000
2015-04-02,26000
2015-04-03,26000
2015-04-04,26000
2015-04-05,26000
2015-04-06,26000
2015-04-07,26000
2015-04-08,26000
2015-04-09,26000
2015-04-10,26000
2015-04-11,26000
2015-04-12,26000
2015-04-13,26000
2015-04-14,26000
2015-04-15,26000
2015-04-16,26000
2015-04-17,26000
2015-04-18,26000
2015-04-19,26000
2015-04-20,26000
2015-04-21,26000
2015-04-22,26000
2015-04-23,26000
2015-04-24,26000
2015-04-25,26000
2015-04-26,26000
2015-04-27,26000
2015-04-28,26000
2015-04-29,26000
2015-04-30,26000
2015-05-01,26000
2015-05-02,26000
2015-05-03,26000
2015-05-04,26000
2015-05-05,26000
2015-05-06,26000
2015-05-07,26000
2015-05-08,26000
2015-05-09,26000
2015-05-10,26000
2015-05-11,26000
2015-05-12,26000
2015-05-13,26000
2015-05-14,26000
2015-05-15,26000
2015-05-16,26000
2015-05-17,26000
2015-05-18,26000
2015-05-19,26000
2015-05-20,26000
2015-05-21,26000
2015-05-22,26000
2015-05-23,26000
2015-05-24,26000
2015-05-25,26000
2015-05-26,26000
2015-05-27,26000
2015-05-28,26000
2015-05-29,26000
2015-05-30,26000
2015-05-31,26000
2015-06-01,26000
2015-06-02,26000
2015-06-03,26000
2015-06-04,26000
2015-06-05,26000
2015-06-06,26000
2015-06-07,26000
2015-06-08,26000
2015-06-09,26000
2015-06-10,26000
2015-06-11,26000
2015-06-12,26000
2015-06-13,26000
2015-06-14,26000
2015-06-15,26000
2015-06-16,26000
2015-06-17,26000
2015-06-18,26000
2015-06-19,26000
2015-06-20,26000
2015-06-21,26000
2015-06-22,26000
2015-06-23,26000
2015-06-24,26000
2015-06-25,26000
2015-06-26,26000
2015-06-27,26000
2015-06-28,26000
2015-06-29,26000
2015-06-30,26000
2015-07-01,26000
2015-07-02,26000
2015-07-03,26000
2015-07-04,26000
2015-07-05,26000
2015-07-06,26000
2015-07-07,26000
2015-07-08,26000
2015-07-09,26000
2015-07-10,26000
2015-07-11,26000
2015-07-12,26000
2015-07-13,26000
2015-07-14,26000
2015-07-15,26000
2015-07-16,26000
2015-07-17,26000
2015-07-18,26000
2015-07-19,26000
2015-07-20,26000
2015-07-21,26000
2015-07-22,26000
2015-07-23,26000
2015-07-24,26000
2015-07-25,26000
2015-07-26,26000
2015-07-27,26000
2015-07-28,26000
2015-07-29,26000
2015-07-30,26000
2015-07-31,26000
2015-08-01,26000
2015-08-02,26000
2015-08-03,26000
2015-08-04,26000
