date_obj,Mystic%20set%20(dark) price
2019-03-14,251171
2019-03-15,251171
2019-03-16,259230
2019-03-17,269153
2019-03-18,269153
2019-03-19,274459
2019-03-20,273553
2019-03-21,266910
2019-03-22,266910
2019-03-23,266079
2019-03-24,274409
2019-03-25,274409
2019-03-26,272066
2019-03-27,272066
2019-03-28,271749
2019-03-29,279560
2019-03-30,279560
2019-03-31,280899
2019-04-01,282964
2019-04-02,282964
2019-04-03,291689
2019-04-04,302741
2019-04-05,302741
2019-04-06,308783
2019-04-07,307884
2019-04-08,305504
2019-04-09,305504
2019-04-10,313576
2019-04-11,313576
2019-04-12,307401
2019-04-13,303124
2019-04-14,304491
2019-04-15,304491
2019-04-16,306826
2019-04-17,306826
2019-04-18,301508
2019-04-19,301508
2019-04-20,293158
2019-04-21,293158
2019-04-22,294004
2019-04-23,295419
2019-04-24,291393
2019-04-25,283885
2019-04-26,285942
2019-04-27,285942
2019-04-28,290181
2019-04-29,290181
2019-04-30,284736
2019-05-01,284736
2019-05-02,280751
2019-05-03,277688
2019-05-04,274291
2019-05-05,274291
2019-05-06,278918
2019-05-07,284567
2019-05-08,284937
2019-05-09,284937
2019-05-10,285082
2019-05-11,285082
2019-05-12,280330
2019-05-13,277839
2019-05-14,285090
2019-05-15,285090
2019-05-16,286686
2019-05-17,286686
2019-05-18,291856
2019-05-19,291856
2019-05-20,294289
2019-05-21,294289
2019-05-22,294544
2019-05-23,294725
2019-05-24,294725
2019-05-25,294626
2019-05-26,294626
2019-05-27,293993
2019-05-28,291760
2019-05-29,291130
2019-05-30,291130
2019-05-31,291788
2019-06-01,291788
2019-06-02,292042
2019-06-03,290404
2019-06-04,300011
2019-06-05,294395
2019-06-06,294395
2019-06-07,291553
2019-06-08,291803
2019-06-09,293800
2019-06-10,293800
2019-06-11,291144
2019-06-12,293775
2019-06-13,291004
2019-06-14,289027
2019-06-15,289027
2019-06-16,287230
2019-06-17,285874
2019-06-18,285874
2019-06-19,283683
2019-06-20,285569
2019-06-21,282060
2019-06-22,282060
2019-06-23,283381
2019-06-24,283381
2019-06-25,286876
2019-06-26,285382
2019-06-27,282098
2019-06-28,282098
2019-06-29,280234
2019-06-30,276486
2019-07-01,276486
2019-07-02,279330
2019-07-03,285051
2019-07-04,285051
2019-07-05,283170
2019-07-06,282668
2019-07-07,286754
2019-07-08,286754
2019-07-09,284753
2019-07-10,279238
2019-07-11,279238
2019-07-12,277084
2019-07-13,277084
2019-07-14,271285
2019-07-15,271285
2019-07-16,271478
2019-07-17,270911
2019-07-18,270911
2019-07-19,270075
2019-07-20,276105
2019-07-21,272583
2019-07-22,272583
2019-07-23,271825
2019-07-24,271825
2019-07-25,270521
2019-07-26,270521
