date_obj,Ankou%20gloves price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5000000
2016-07-11,5000000
2016-07-12,5000000
2016-07-13,5000000
2016-07-14,5000000
2016-07-15,5000000
2016-07-16,5000000
2016-07-17,5000000
2016-07-18,5000000
2016-07-23,5000000
2016-07-24,5162402
2016-07-25,5162402
2016-07-26,5162402
2016-07-27,5162402
2016-07-28,5162402
2016-07-29,5162402
2016-07-30,5162402
2016-07-31,5162402
2016-08-01,5162402
2016-08-02,5162402
2016-08-03,5162402
2016-08-04,5162402
2016-08-05,5162402
2016-08-06,5162402
2016-08-07,5162402
2016-08-08,5162402
2016-08-09,5162402
2016-08-10,5162402
2016-08-11,5162402
2016-08-12,5162402
2016-08-13,5162402
2016-08-14,5162402
2016-08-15,5162402
2016-08-16,5162402
2016-08-17,5162402
2016-08-18,5162402
2016-08-19,5162402
2016-08-20,5162402
2016-08-21,5162402
2016-08-22,5162402
2016-08-23,5372837
2016-08-24,5372837
2016-08-25,5372837
2016-08-26,5372837
2016-08-28,5372837
2016-08-31,5372837
2016-09-01,5372837
2016-09-02,5372837
2016-09-03,5372837
2016-09-04,5372837
2016-09-05,5372837
2016-09-06,5372837
2016-09-07,5372837
2016-09-08,5372837
2016-09-09,5372837
2016-09-10,5372837
2016-09-11,5372837
2016-09-12,5372837
2016-09-13,5372837
2016-09-14,5372837
2016-09-15,5372837
2016-09-16,5372837
2016-09-17,5372837
2016-09-18,5372837
2016-09-19,5372837
2016-09-20,5372837
2016-09-21,5372837
2016-09-22,5372837
2016-09-23,5372837
2016-09-24,5372837
2016-09-25,5604181
2016-09-26,5604181
2016-09-27,5604181
2016-09-28,5604181
2016-09-29,5604181
2016-09-30,5604181
2016-10-01,5604181
2016-10-02,5604181
2016-10-03,5604181
2016-10-04,5604181
2016-10-05,5604181
2016-10-06,5604181
2016-10-07,5604181
2016-10-08,5604181
2016-10-09,5604181
2016-10-10,5604181
2016-10-11,5604181
2016-10-12,5604181
2016-10-13,5604181
2016-10-14,5604181
2016-10-15,5604181
2016-10-16,5604181
2016-10-17,5604181
2016-10-18,5604181
2016-10-19,5604181
2016-10-20,5604181
2016-10-21,5604181
2016-10-22,5851486
2016-10-23,5851486
2016-10-24,5851486
2016-10-25,5851486
2016-10-26,5851486
2016-10-27,5851486
2016-10-28,5851486
2016-10-29,5851486
2016-10-30,5851486
2016-10-31,5851486
2016-11-01,5851486
2016-11-02,5851486
2016-11-03,5851486
2016-11-04,5851486
2016-11-05,5851486
2016-11-06,5851486
2016-11-07,5851486
2016-11-08,5851486
2016-11-09,5851486
2016-11-10,5851486
2016-11-11,5851486
2016-11-12,5851486
2016-11-13,5851486
2016-11-14,5851486
2016-11-15,5851486
2016-12-07,6112422
2016-12-08,6112422
2016-12-09,6112422
2016-12-10,6112422
2016-12-11,6112422
2016-12-12,6112422
2016-12-13,6112422
2016-12-14,6112422
2016-12-15,6112422
2016-12-16,6112422
2016-12-17,6112422
2016-12-18,6112422
2016-12-19,6316636
2016-12-20,6316636
2016-12-21,6316636
2016-12-22,6316636
2016-12-23,6316636
2016-12-24,6316636
2016-12-25,6316636
2016-12-26,6316636
2016-12-27,6316636
2016-12-28,6316636
2016-12-29,6316636
2016-12-30,6316636
2016-12-31,6316636
2017-01-01,6316636
2017-01-02,6316636
2017-01-03,6316636
2017-01-04,6316636
2017-01-05,6316636
2017-01-06,6316636
2017-01-07,6316636
2017-01-08,6316636
2017-01-09,6316636
2017-01-10,6316636
2017-01-11,6316636
2017-01-12,6316636
2017-01-13,6316636
2017-01-14,6316636
2017-01-15,6316636
2017-01-16,6416491
2017-01-17,6416491
2017-01-18,6416491
2017-01-19,6416491
2017-01-20,6416491
2017-01-21,6416491
2017-01-22,6416491
2017-01-23,6416491
2017-01-27,6416491
2017-01-28,6416491
2017-01-29,6416491
2017-01-30,6416491
2017-01-31,6416491
2017-02-01,6416491
2017-02-02,6416491
2017-02-03,6416491
2017-02-04,6416491
2017-02-05,6416491
2017-02-06,6416491
2017-02-07,6416491
2017-02-08,6416491
2017-02-09,6416491
2017-02-10,6416491
2017-02-11,6109190
2017-02-12,6109190
2017-02-13,6109190
2017-02-14,6109190
2017-02-15,6109190
2017-02-16,6109190
2017-02-17,6109190
2017-02-18,6109190
2017-02-19,6109190
2017-02-20,6109190
2017-02-21,6109190
2017-02-22,6109190
2017-02-23,6109190
2017-02-24,6109190
2017-02-25,6109190
2017-02-26,6109190
2017-02-27,6109190
2017-02-28,6109190
2017-03-01,6109190
2017-03-02,6109190
2017-03-03,6109190
2017-03-04,6109190
2017-03-05,6109190
2017-03-06,6109190
2017-03-07,6109190
2017-03-08,6109190
2017-03-09,6109190
2017-03-10,6137689
2017-03-11,6137689
2017-03-12,6137689
2017-03-13,6137689
2017-03-14,6137689
2017-03-15,6137689
2017-03-16,6137689
2017-03-17,6137689
2017-03-18,6137689
2017-03-19,6137689
2017-03-20,6137689
2017-03-21,6137689
2017-03-22,6137689
2017-03-23,6137689
2017-03-24,6137689
2017-03-25,6137689
2017-03-26,6137689
2017-03-27,6137689
2017-03-28,6137689
2017-03-29,6137689
2017-03-30,6137689
2017-03-31,6137689
2017-04-01,5951983
2017-04-02,5951983
2017-04-03,5951983
2017-04-04,5951983
2017-04-05,5951983
2017-04-12,5951983
2017-04-13,5951983
2017-04-14,5951983
2017-04-15,5951983
2017-04-16,5951983
2017-04-17,5951983
2017-04-18,5791423
2017-04-19,5791423
2017-04-20,5791423
2017-04-21,5791423
2017-04-22,5791423
2017-04-23,5791423
2017-04-24,5791423
2017-04-25,5791423
2017-04-26,5791423
2017-04-27,5791423
2017-04-28,5791423
2017-04-29,5791423
2017-04-30,5791423
2017-05-01,5791423
2017-05-02,5791423
2017-05-03,5791423
2017-05-04,5968790
2017-05-05,5968790
2017-05-06,5968790
2017-05-07,5968790
2017-05-08,5968790
2017-05-09,5968790
2017-05-10,5968790
2017-05-11,5968790
2017-05-12,5968790
2017-05-13,5968790
2017-05-14,5968790
2017-05-15,5968790
2017-05-16,5968790
2017-05-17,5968790
2017-05-18,5968790
2017-05-19,5968790
2017-05-20,5968790
2017-05-21,5968790
2017-05-22,5968790
2017-05-23,5968790
2017-05-24,6198414
2017-05-25,6198414
2017-05-26,6198414
2017-05-27,6198414
2017-05-28,6198414
2017-05-29,6198414
2017-05-30,6198414
2017-05-31,6198414
2017-06-01,6198414
2017-06-02,6198414
2017-06-03,6198414
2017-06-04,6198414
2017-06-05,6198414
2017-06-06,6198414
2017-06-07,6198414
2017-06-08,6198414
2017-06-09,6198414
2017-06-10,6198414
2017-06-11,6285666
