date_obj,Steel%20full%20helm%20(t) price
2016-07-06,500000
2016-07-07,500000
2016-07-08,476000
2016-07-09,476000
2016-07-10,476000
2016-07-11,453025
2016-07-12,453025
2016-07-13,453025
2016-07-14,453025
2016-07-15,453025
2016-07-16,431256
2016-07-17,431256
2016-07-18,431256
2016-07-24,390467
2016-07-25,390467
2016-07-26,371856
2016-07-27,371856
2016-07-28,371856
2016-07-29,371856
2016-07-30,353994
2016-07-31,353994
2016-08-01,353994
2016-08-02,353994
2016-08-03,353994
2016-08-04,336821
2016-08-05,336821
2016-08-06,336821
2016-08-07,336821
2016-08-08,336821
2016-08-09,336821
2016-08-10,320337
2016-08-11,320337
2016-08-12,320337
2016-08-13,320337
2016-08-14,320337
2016-08-15,320337
2016-08-16,320337
2016-08-17,320337
2016-08-18,304625
2016-08-19,304625
2016-08-20,304625
2016-08-21,304625
2016-08-22,304625
2016-08-23,304625
2016-08-24,289759
2016-08-25,289759
2016-08-26,289759
2016-08-28,289759
2016-08-31,289759
2016-09-01,289759
2016-09-02,289759
2016-09-03,275819
2016-09-04,275819
2016-09-05,275819
2016-09-06,275819
2016-09-07,275819
2016-09-08,275819
2016-09-09,275819
2016-09-10,275819
2016-09-11,262350
2016-09-12,262350
2016-09-13,262350
2016-09-14,262350
2016-09-15,262350
2016-09-16,262350
2016-09-17,262350
2016-09-18,249803
2016-09-19,249803
2016-09-20,249803
2016-09-21,249803
2016-09-22,249803
2016-09-23,249803
2016-09-24,249803
2016-09-25,237694
2016-09-26,237694
2016-09-27,237694
2016-09-28,237694
2016-09-29,237694
2016-09-30,237694
2016-10-01,237694
2016-10-02,237694
2016-10-03,226030
2016-10-04,226030
2016-10-05,226030
2016-10-06,226030
2016-10-07,226030
2016-10-08,226030
2016-10-09,226030
2016-10-10,215326
2016-10-11,215326
2016-10-12,215326
2016-10-13,215326
2016-10-14,215326
2016-10-15,215326
2016-10-16,205089
2016-10-17,205089
2016-10-18,205089
2016-10-19,205089
2016-10-20,205089
2016-10-21,205089
2016-10-22,205089
2016-10-23,195238
2016-10-24,195238
2016-10-25,195238
2016-10-26,195238
2016-10-27,195238
2016-10-28,195238
2016-10-29,195238
2016-10-30,195238
2016-10-31,41000
2016-11-01,41000
2016-11-02,41000
2016-11-03,41000
2016-11-04,41000
2016-11-05,41000
2016-11-06,41000
2016-11-07,41000
2016-11-08,41000
2016-11-09,41000
2016-11-10,41000
2016-11-11,41000
2016-11-12,41000
2016-11-13,41000
2016-11-14,41000
2016-12-08,35549
2016-12-09,35549
2016-12-10,35549
2016-12-11,35549
2016-12-12,35549
2016-12-13,35549
2016-12-14,35549
2016-12-15,35549
2016-12-16,35549
2016-12-17,35549
2016-12-18,33930
2016-12-19,33930
2016-12-20,33930
2016-12-21,33930
2016-12-22,33930
2016-12-23,33930
2016-12-24,33930
2016-12-25,33930
2016-12-26,33930
2016-12-27,33930
2016-12-28,32314
2016-12-29,32314
2016-12-30,32314
2016-12-31,32314
2017-01-01,32314
2017-01-02,32314
2017-01-03,32314
2017-01-04,32314
2017-01-05,32314
2017-01-06,32314
2017-01-07,30764
2017-01-08,30764
2017-01-09,30764
2017-01-10,30764
2017-01-11,30764
2017-01-12,30764
2017-01-13,30764
2017-01-14,30764
2017-01-15,30764
2017-01-16,30764
2017-01-17,29393
2017-01-18,29393
2017-01-19,29393
2017-01-20,29393
2017-01-21,29393
2017-01-22,29393
2017-01-27,28027
2017-01-28,28027
2017-01-29,28027
2017-01-30,28027
2017-01-31,28027
2017-02-01,28027
2017-02-02,28027
2017-02-03,28027
2017-02-04,26691
2017-02-05,26691
2017-02-06,26691
2017-02-07,26691
2017-02-08,26691
2017-02-09,26691
2017-02-10,26691
2017-02-11,25430
2017-02-12,25430
2017-02-13,25430
2017-02-14,25430
2017-02-15,25430
2017-02-16,25430
2017-02-18,25430
2017-02-19,24285
2017-02-20,24285
2017-02-21,24285
2017-02-22,24285
2017-02-23,24285
2017-02-24,24285
2017-02-25,24285
2017-02-26,24285
2017-02-27,23178
2017-02-28,23178
2017-03-01,23178
2017-03-02,23178
2017-03-03,23178
2017-03-04,23178
