date_obj,Mystic%20set%20(blue) price
2019-03-14,150272
2019-03-15,154267
2019-03-16,154862
2019-03-17,156724
2019-03-18,158458
2019-03-19,154735
2019-03-20,147963
2019-03-21,144000
2019-03-22,142171
2019-03-23,144028
2019-03-24,148455
2019-03-25,147215
2019-03-26,147389
2019-03-27,146108
2019-03-28,148695
2019-03-29,152381
2019-03-30,152381
2019-03-31,154842
2019-04-01,151153
2019-04-02,148456
2019-04-03,151648
2019-04-04,150404
2019-04-05,148777
2019-04-06,147584
2019-04-07,147138
2019-04-08,145599
2019-04-09,146711
2019-04-10,147631
2019-04-11,147277
2019-04-12,147354
2019-04-13,148843
2019-04-14,150031
2019-04-15,151986
2019-04-16,147270
2019-04-17,145709
2019-04-18,145465
2019-04-19,147677
2019-04-20,150909
2019-04-21,147285
2019-04-22,152104
2019-04-23,153992
2019-04-24,153858
2019-04-25,149495
2019-04-26,148725
2019-04-27,147665
2019-04-28,146417
2019-04-29,145953
2019-04-30,147098
2019-05-01,151928
2019-05-02,153599
2019-05-03,149130
2019-05-04,148147
2019-05-05,147595
2019-05-06,152798
2019-05-07,153576
2019-05-08,156966
2019-05-09,153901
2019-05-10,151990
2019-05-11,148432
2019-05-12,147361
2019-05-13,145893
2019-05-14,144925
2019-05-15,143902
2019-05-16,143807
2019-05-17,149300
2019-05-18,155392
2019-05-19,160741
2019-05-20,159938
2019-05-21,158658
2019-05-22,157028
2019-05-23,153079
2019-05-24,149440
2019-05-25,152806
2019-05-26,158275
2019-05-27,162860
2019-05-28,157271
2019-05-29,155602
2019-05-30,153982
2019-05-31,153670
2019-06-01,158568
2019-06-02,157411
2019-06-03,153287
2019-06-04,150172
2019-06-05,149458
2019-06-06,148764
2019-06-07,149037
2019-06-08,150706
2019-06-09,150358
2019-06-10,150358
2019-06-11,151334
2019-06-12,148288
2019-06-13,144167
2019-06-14,142381
2019-06-15,141576
2019-06-16,140193
2019-06-17,140143
2019-06-18,139230
2019-06-19,140897
2019-06-20,144661
2019-06-21,143449
2019-06-22,142589
2019-06-23,144792
2019-06-24,146001
2019-06-25,146897
2019-06-26,145364
2019-06-27,143173
2019-06-28,144676
2019-06-29,147023
2019-06-30,147175
2019-07-01,149117
2019-07-02,146908
2019-07-03,147063
2019-07-04,147666
2019-07-05,148653
2019-07-06,152770
2019-07-07,154520
2019-07-08,151966
2019-07-09,150809
2019-07-10,150044
2019-07-11,148818
2019-07-12,149569
2019-07-13,148479
2019-07-14,152295
2019-07-15,150638
2019-07-16,147850
2019-07-17,148419
2019-07-18,148579
2019-07-19,148600
2019-07-20,151333
