date_obj,Shayzien%20banner price
2016-07-06,5000000
2016-07-07,4752141
2016-07-08,4752141
2016-07-09,4514533
2016-07-10,4292866
2016-07-11,4292866
2016-07-12,4078222
2016-07-13,4078222
2016-07-14,3880881
2016-07-15,3880881
2016-07-16,3693066
2016-07-17,3693066
2016-07-18,3512092
2016-07-23,3179528
2016-07-24,3022343
2016-07-25,3022343
2016-07-26,2876953
2016-07-27,2876953
2016-07-28,2735760
2016-07-29,2735760
2016-07-30,2600910
2016-07-31,2600910
2016-08-01,2473960
2016-08-02,2473960
2016-08-03,2350262
2016-08-04,2350262
2016-08-05,2350262
2016-08-06,2232748
2016-08-07,2232748
2016-08-08,2232748
2016-08-09,2121110
2016-08-10,2121110
2016-08-11,2121110
2016-08-12,2016805
2016-08-13,2016805
2016-08-14,2016805
2016-08-15,1920982
2016-08-16,1920982
2016-08-17,1920982
2016-08-18,1828631
2016-08-19,1828631
2016-08-20,1740109
2016-08-21,1740109
2016-08-22,1740109
2016-08-23,1656055
2016-08-24,1656055
2016-08-25,1656055
2016-08-26,1656055
2016-08-28,1575534
2016-08-31,1498918
2016-09-01,1498918
2016-09-02,1498918
2016-09-03,1425351
2016-09-04,1425351
2016-09-05,1425351
2016-09-06,1355795
2016-09-07,1355795
2016-09-08,1355795
2016-09-09,1355795
2016-09-10,1290318
2016-09-11,1290318
2016-09-12,1290318
2016-09-13,1290318
2016-09-14,1228373
2016-09-15,1228373
2016-09-16,1228373
2016-09-17,1228373
2016-09-18,1167842
2016-09-19,1167842
2016-09-20,1167842
2016-09-21,1167842
2016-09-22,1109995
2016-09-23,1109995
2016-09-24,1109995
2016-09-25,1109995
2016-09-26,1109995
2016-09-27,1056608
2016-09-28,1056608
2016-09-29,1056608
2016-09-30,1056608
2016-10-01,1004593
2016-10-02,1004593
2016-10-03,1004593
2016-10-04,1004593
2016-10-05,1004593
2016-10-06,957046
2016-10-07,957046
2016-10-08,957046
2016-10-09,957046
2016-10-11,911144
2016-10-12,911144
2016-10-13,911144
2016-10-14,866532
2016-10-15,866532
2016-10-16,866532
2016-10-17,866532
2016-10-18,824554
2016-10-19,824554
2016-10-20,824554
2016-10-21,824554
2016-10-22,824554
2016-10-23,784925
2016-10-24,784925
2016-10-25,784925
2016-10-26,784925
2016-10-27,784925
2016-10-28,746334
2016-10-29,746334
2016-10-30,746334
2016-10-31,746334
2016-11-01,710618
2016-11-02,710618
2016-11-03,710618
2016-11-04,676374
2016-11-05,676374
2016-11-06,676374
2016-11-07,676374
2016-11-08,643967
2016-11-09,643967
2016-11-10,643967
2016-11-11,643967
2016-11-12,612266
2016-11-13,612266
2016-11-14,612266
2016-12-08,432883
2016-12-09,411753
2016-12-10,411753
2016-12-11,411753
2016-12-12,392448
2016-12-13,392448
2016-12-14,392448
2016-12-15,392448
2016-12-16,373596
2016-12-17,373596
2016-12-18,373596
2016-12-19,355684
2016-12-20,355684
2016-12-21,355684
2016-12-22,338398
2016-12-23,338398
2016-12-24,338398
2016-12-25,322207
2016-12-26,322207
2016-12-27,322207
2016-12-28,322207
2016-12-29,306722
2016-12-30,306722
2016-12-31,306722
2017-01-01,292148
2017-01-02,292148
2017-01-03,292148
2017-01-04,278194
2017-01-05,278194
2017-01-06,278194
2017-01-07,265147
2017-01-08,265147
2017-01-09,265147
2017-01-10,252364
2017-01-11,252364
2017-01-12,252364
2017-01-13,240296
2017-01-14,240296
2017-01-15,228684
2017-01-16,228684
2017-01-17,228684
2017-01-18,217662
2017-01-19,217662
2017-01-20,217662
2017-01-21,207033
2017-01-22,207033
2017-01-27,197490
2017-01-28,188078
2017-01-29,188078
2017-01-30,188078
2017-01-31,178953
2017-02-01,178953
2017-02-02,178953
2017-02-03,170301
2017-02-04,170301
2017-02-05,170301
2017-02-06,162275
2017-02-07,162275
2017-02-08,162275
2017-02-09,154524
2017-02-10,154524
2017-02-11,154524
2017-02-12,147113
2017-02-13,147113
2017-02-14,147113
2017-02-15,140076
2017-02-16,140076
2017-02-18,140076
2017-02-19,133320
2017-02-20,133320
2017-02-21,133320
2017-02-22,133320
2017-02-23,126919
2017-02-24,126919
2017-02-25,126919
2017-02-26,126919
2017-02-27,120952
2017-02-28,120952
2017-03-01,120952
2017-03-02,115204
2017-03-03,115204
2017-03-04,115204
2017-03-05,109709
2017-03-06,109709
2017-03-07,109709
2017-03-08,104409
