date_obj,Armadyl%20platebody price
2015-03-26,40316
2015-03-27,40316
2015-03-28,41041
2015-03-29,41699
2015-03-30,41057
2015-03-31,41229
2015-04-01,41229
2015-04-02,40924
2015-04-03,40981
2015-04-04,41151
2015-04-05,41151
2015-04-06,40775
2015-04-07,40172
2015-04-08,40172
2015-04-09,40049
2015-04-10,39660
2015-04-11,39104
2015-04-12,39000
2015-04-13,39896
2015-04-14,39896
2015-04-15,40125
2015-04-16,40125
2015-04-17,39824
2015-04-18,39824
2015-04-19,40149
2015-04-20,40149
2015-04-21,40970
2015-04-22,41284
2015-04-23,41614
2015-04-24,41614
2015-04-25,41518
2015-04-26,41037
2015-04-27,40516
2015-04-28,39546
2015-04-29,39546
2015-04-30,39183
2015-05-01,39953
2015-05-02,40945
2015-05-03,40945
2015-05-04,41649
2015-05-05,41649
2015-05-06,41333
2015-05-07,41821
2015-05-08,42565
2015-05-09,41528
2015-05-10,42316
2015-05-11,42316
2015-05-12,41927
2015-05-13,42556
2015-05-14,41663
2015-05-15,41663
2015-05-16,40932
2015-05-17,41003
2015-05-18,40225
2015-05-19,40225
2015-05-20,39817
2015-05-21,39817
2015-05-22,39256
2015-05-23,39496
2015-05-24,39341
2015-05-25,39144
2015-05-26,39144
2015-05-27,39445
2015-05-28,39196
2015-05-29,39196
2015-05-30,39557
2015-05-31,39557
2015-06-01,39977
2015-06-02,39977
2015-06-03,40182
2015-06-04,40182
2015-06-05,40387
2015-06-06,40638
2015-06-07,40638
2015-06-08,41472
2015-06-09,42335
2015-06-10,42985
2015-06-11,42985
2015-06-12,42824
2015-06-13,42166
2015-06-14,42166
2015-06-15,41819
2015-06-16,42352
2015-06-17,42352
2015-06-18,41463
2015-06-19,41463
2015-06-20,42217
2015-06-21,42217
2015-06-22,42349
2015-06-23,42327
2015-06-24,41582
2015-06-25,41582
2015-06-26,42130
2015-06-27,42130
2015-06-28,43239
2015-06-29,43239
2015-06-30,43380
2015-07-01,43676
2015-07-02,43676
2015-07-03,43072
2015-07-04,43072
2015-07-05,43829
2015-07-06,43829
2015-07-07,42466
2015-07-08,41159
2015-07-09,41159
2015-07-10,40574
2015-07-11,40574
2015-07-12,41516
2015-07-13,40733
2015-07-14,40733
2015-07-15,41500
2015-07-16,41500
2015-07-17,41701
2015-07-18,41701
2015-07-19,42177
2015-07-20,42177
2015-07-21,42101
2015-07-22,43081
2015-07-23,43081
2015-07-24,42768
2015-07-25,42768
2015-07-26,42908
2015-07-27,42908
2015-07-28,42394
2015-07-29,42267
2015-07-30,42267
2015-07-31,42416
2015-08-01,42416
2015-08-02,41639
2015-08-03,41639
2015-08-04,41369
2015-08-05,40399
2015-08-06,39144
2015-08-07,39144
