date_obj,Purple%20elegant%20blouse price
2015-03-26,25317
2015-03-27,25317
2015-03-28,24117
2015-03-29,24117
2015-03-30,23044
2015-03-31,23044
2015-04-01,21967
2015-04-02,21967
2015-04-03,20966
2015-04-04,19996
2015-04-05,19996
2015-04-06,19078
2015-04-07,19078
2015-04-08,18216
2015-04-09,18216
2015-04-10,17390
2015-04-11,17390
2015-04-12,17390
2015-04-13,16599
2015-04-14,16599
2015-04-15,15854
2015-04-16,15854
2015-04-17,15109
2015-04-18,15109
2015-04-19,14408
2015-04-20,14408
2015-04-21,14408
2015-04-22,13738
2015-04-23,13738
2015-04-24,13113
2015-04-25,13113
2015-04-26,12552
2015-04-27,12552
2015-04-28,11961
2015-04-29,11961
2015-04-30,11437
2015-05-01,11437
2015-05-02,10929
2015-05-03,10929
2015-05-04,10408
2015-05-05,10408
2015-05-06,9960
2015-05-07,9960
2015-05-08,9516
2015-05-09,9516
2015-05-10,9087
2015-05-11,9087
2015-05-12,8688
2015-05-13,8688
2015-05-14,8286
2015-05-15,8286
2015-05-16,8286
2015-05-17,7892
2015-05-18,7892
2015-05-19,7892
2015-05-20,7551
2015-05-21,7551
2015-05-22,7228
2015-05-23,7228
2015-05-24,7228
2015-05-25,6890
2015-05-26,6890
2015-05-27,6890
2015-05-28,6890
2015-05-29,6654
2015-05-30,6654
2015-05-31,6746
2015-06-01,6746
2015-06-02,6746
2015-06-03,6746
2015-06-04,6860
2015-06-05,6860
2015-06-06,6860
2015-06-07,7100
2015-06-08,7100
2015-06-09,7100
2015-06-10,7100
2015-06-11,7100
2015-06-12,7419
2015-06-13,7419
2015-06-14,7419
2015-06-15,7419
2015-06-16,7343
2015-06-17,7343
2015-06-18,7343
2015-06-19,7343
2015-06-20,7159
2015-06-21,7159
2015-06-22,7159
2015-06-23,7159
2015-06-24,7024
2015-06-25,7024
2015-06-26,7024
2015-06-27,7024
2015-06-28,6940
2015-06-29,6940
2015-06-30,6940
2015-07-01,6940
2015-07-02,7095
2015-07-03,7095
2015-07-04,7095
2015-07-05,7172
2015-07-06,7172
2015-07-07,7172
2015-07-08,7331
2015-07-09,7331
2015-07-10,7331
2015-07-11,7331
2015-07-12,7201
2015-07-13,7201
2015-07-14,7201
2015-07-15,7038
2015-07-16,7038
2015-07-17,7038
2015-07-18,7038
2015-07-19,6901
2015-07-20,6901
2015-07-21,6901
2015-07-22,6723
2015-07-23,6723
2015-07-24,6723
2015-07-25,6723
2015-07-26,6746
2015-07-27,6746
2015-07-28,6746
2015-07-29,6728
2015-07-30,6728
2015-07-31,6728
2015-08-01,6555
2015-08-02,6555
2015-08-03,6555
2015-08-04,6555
2015-08-05,6831
2015-08-06,6831
2015-08-07,6831
2015-08-08,6831
2015-08-09,6788
2015-08-10,6788
2015-08-11,6788
2015-08-12,6643
2015-08-13,6643
2015-08-14,6643
2015-08-15,6472
2015-08-16,6472
2015-08-17,6472
2015-08-18,6472
2015-08-19,6204
2015-08-20,6204
2015-08-21,6204
2015-08-22,6204
2015-08-23,6204
2015-08-24,5934
2015-08-25,5934
2015-08-26,5934
2015-08-27,5934
2015-08-28,5675
2015-08-29,5675
2015-08-30,5675
2015-08-31,5536
2015-09-01,5536
2015-09-02,5536
2015-09-03,5536
2015-09-04,5524
2015-09-05,5524
2015-09-06,5524
2015-09-07,5524
2015-09-08,5709
2015-09-09,5709
