date_obj,Skeletal%20boots price
2015-03-26,56000
2015-03-27,56000
2015-03-28,56000
2015-03-29,56079
2015-03-30,56079
2015-03-31,56079
2015-04-01,56079
2015-04-02,56079
2015-04-03,56079
2015-04-04,56079
2015-04-05,56079
2015-04-06,56079
2015-04-07,56079
2015-04-08,56079
2015-04-09,56079
2015-04-10,56079
2015-04-11,56079
2015-04-12,56079
2015-04-13,56079
2015-04-14,56079
2015-04-15,56079
2015-04-16,56079
2015-04-17,56079
2015-04-18,56079
2015-04-19,56079
2015-04-20,56079
2015-04-21,56079
2015-04-22,56079
2015-04-23,56079
2015-04-24,56079
2015-04-25,56079
2015-04-26,56079
2015-04-27,57117
2015-04-28,57117
2015-04-29,57117
2015-04-30,57117
2015-05-01,57117
2015-05-02,57117
2015-05-03,57117
2015-05-04,57117
2015-05-05,57117
2015-05-06,57117
2015-05-07,57117
2015-05-08,57117
2015-05-09,57117
2015-05-10,57117
2015-05-11,57117
2015-05-12,57117
2015-05-13,57117
2015-05-14,57117
2015-05-15,57117
2015-05-16,57117
2015-05-17,57117
2015-05-18,57117
2015-05-19,57117
2015-05-20,57117
2015-05-21,57117
2015-05-22,57117
2015-05-23,57117
2015-05-24,57117
2015-05-25,57117
2015-05-26,57117
2015-05-27,57117
2015-05-28,58920
2015-05-29,58920
2015-05-30,58920
2015-05-31,58920
2015-06-01,58920
2015-06-02,58920
2015-06-03,58920
2015-06-04,58920
2015-06-05,58920
2015-06-06,58920
2015-06-07,58920
2015-06-08,58920
2015-06-09,58920
2015-06-10,58920
2015-06-11,58920
2015-06-12,58920
2015-06-13,58920
2015-06-14,58920
2015-06-15,58920
2015-06-16,58920
2015-06-17,58920
2015-06-18,61438
2015-06-19,61438
2015-06-20,61438
2015-06-21,61438
2015-06-22,61438
2015-06-23,61438
2015-06-24,61438
2015-06-25,61438
2015-06-26,61438
2015-06-27,61438
2015-06-28,61438
2015-06-29,61438
2015-06-30,61438
2015-07-01,61438
2015-07-02,61438
2015-07-03,61438
2015-07-04,61438
2015-07-05,61438
2015-07-06,61438
2015-07-07,61438
2015-07-08,61438
2015-07-09,61438
2015-07-10,63269
2015-07-11,63269
2015-07-12,63269
2015-07-13,63269
2015-07-14,63269
2015-07-15,63269
2015-07-16,63269
2015-07-17,63269
2015-07-18,63269
2015-07-19,63269
2015-07-20,63269
2015-07-21,63269
2015-07-22,63269
2015-07-23,63269
2015-07-24,63269
2015-07-25,63269
2015-07-26,63269
2015-07-27,63269
2015-07-28,63397
2015-07-29,63397
2015-07-30,63397
2015-07-31,63397
2015-08-01,63397
2015-08-02,63397
2015-08-03,63397
2015-08-04,63397
2015-08-05,63397
2015-08-06,63397
2015-08-07,63397
2015-08-08,63397
2015-08-09,63397
2015-08-10,63397
2015-08-11,63397
2015-08-12,63397
2015-08-13,63397
2015-08-14,63397
2015-08-15,63397
2015-08-16,62085
2015-08-17,62085
2015-08-18,62085
2015-08-19,62085
2015-08-20,62085
2015-08-21,62085
2015-08-22,62085
2015-08-23,62085
2015-08-24,62085
2015-08-25,62085
2015-08-26,62085
2015-08-27,62085
2015-08-28,62085
2015-08-29,62085
2015-08-30,62085
2015-08-31,62085
2015-09-01,62085
2015-09-02,62085
2015-09-03,62085
2015-09-04,62085
2015-09-05,62085
2015-09-06,59376
2015-09-07,59376
2015-09-08,59376
2015-09-09,59376
2015-09-10,59376
2015-09-11,59376
2015-09-12,59376
2015-09-13,59376
2015-09-14,59376
2015-09-15,59376
2015-09-16,59376
2015-09-17,59376
2015-09-18,59376
2015-09-19,59376
2015-09-20,59376
2015-09-21,59376
2015-09-22,59376
2015-09-23,59376
2015-09-24,59376
2015-09-25,58147
2015-09-27,58147
2015-09-28,58147
2015-09-29,58147
2015-09-30,58147
2015-10-05,58147
2015-10-06,58147
2015-10-07,58147
2015-10-08,58147
2015-10-09,58147
2015-10-10,58147
2015-10-11,58147
2015-10-12,58147
2015-10-13,58147
2015-10-14,58147
2015-10-15,56889
2015-10-16,56889
2015-10-17,56889
2015-10-18,56889
2015-10-19,56889
2015-10-20,56889
2015-10-22,56889
2015-10-23,56889
2015-10-24,56889
2015-10-25,56889
2015-10-26,56889
2015-10-27,56889
2015-10-29,56889
2015-10-30,56889
2015-10-31,56889
2015-11-01,56602
2015-11-02,56602
2015-11-03,56602
2015-11-04,56602
2015-11-05,56602
2015-11-06,56602
2015-11-07,56602
2015-11-08,56602
2015-11-09,56602
2015-11-10,56602
2015-11-11,56602
2015-11-12,56602
2015-11-13,56602
2015-11-14,56602
2015-11-15,56602
2015-11-16,56602
2015-11-17,56602
2015-11-18,56602
2015-11-19,56602
2015-11-20,56602
2015-11-21,56602
2015-11-22,56602
2015-11-23,56602
2015-11-24,57926
2015-11-25,57926
2015-11-26,57926
2015-11-27,57926
2015-11-28,57926
2015-11-29,57926
2015-11-30,57926
2015-12-01,57926
2015-12-02,57926
2015-12-03,57926
2015-12-04,57926
2015-12-05,57926
2015-12-06,57926
2015-12-07,57926
2015-12-08,57926
2015-12-09,57926
2015-12-10,57926
2015-12-11,57926
2015-12-12,57926
2015-12-13,57926
2015-12-14,57926
2015-12-15,58317
2015-12-16,58317
2015-12-17,58317
2015-12-18,58317
2015-12-19,58317
2015-12-20,58317
2015-12-21,58317
2015-12-22,58317
2015-12-23,58317
2015-12-24,58317
2015-12-25,58317
2015-12-26,58317
2015-12-27,58317
2015-12-28,58317
2015-12-29,58317
2015-12-30,58317
2015-12-31,58317
2016-01-01,58317
2016-01-02,58317
2016-01-03,58317
2016-01-04,58317
2016-01-05,58069
2016-01-06,58069
2016-01-07,58069
2016-01-08,58069
2016-01-09,58069
2016-01-10,58069
2016-01-11,58069
2016-01-12,58069
2016-01-13,58069
2016-01-14,58069
2016-01-15,58069
2016-01-16,58069
2016-01-17,58069
2016-01-18,58069
2016-01-19,58069
2016-01-20,58069
2016-01-21,58069
2016-01-22,58069
2016-01-23,55702
2016-01-24,55702
2016-01-25,55702
2016-01-26,55702
2016-01-27,55702
2016-01-28,55702
2016-01-29,55702
2016-01-30,55702
2016-01-31,55702
2016-02-01,55702
2016-02-02,55702
2016-02-03,55702
2016-02-04,55702
2016-02-05,55702
2016-02-06,55702
2016-02-07,55702
2016-02-08,55702
2016-02-09,56695
2016-02-10,56695
2016-02-11,56695
2016-02-12,56695
2016-02-13,56695
2016-02-14,56695
2016-02-15,56695
2016-02-16,56695
2016-02-17,56695
2016-02-18,56695
2016-02-19,56695
2016-02-20,56695
2016-02-21,56695
2016-02-22,56695
2016-02-23,56695
2016-02-24,56695
2016-02-25,56695
2016-02-26,56695
2016-02-27,56695
2016-02-28,57760
2016-02-29,57760
2016-03-01,57760
2016-03-02,57760
2016-03-03,57760
2016-03-04,57760
2016-03-05,57760
2016-03-06,57760
2016-03-07,57760
2016-03-08,57760
2016-03-09,57760
2016-03-10,57760
2016-03-11,57760
2016-03-12,57760
2016-03-13,57760
2016-03-14,57760
2016-03-15,57760
2016-03-16,57760
2016-03-17,57760
2016-03-18,57799
2016-03-19,57799
2016-03-20,57799
2016-03-21,57799
2016-03-22,57799
2016-03-23,57799
2016-03-24,57799
2016-03-25,57799
2016-03-26,57799
2016-03-27,57799
2016-03-28,57799
2016-03-29,57799
2016-03-30,57799
2016-03-31,57799
2016-04-01,57799
2016-04-02,57799
2016-04-03,57845
2016-04-04,57845
2016-04-05,57845
2016-04-06,57845
2016-04-07,57845
2016-04-08,57845
2016-04-09,57845
2016-04-10,57845
2016-04-11,57845
2016-04-12,57845
2016-04-13,57845
2016-04-14,57845
2016-04-15,57845
2016-04-16,54998
2016-04-17,54998
2016-04-18,54998
2016-04-19,54998
2016-04-20,54998
2016-04-21,54998
2016-04-22,54998
2016-04-23,54998
2016-04-24,54998
2016-04-25,54998
2016-04-26,54998
2016-04-27,54998
2016-04-28,54998
2016-04-29,54998
2016-04-30,54998
2016-05-01,54998
2016-05-02,52444
2016-05-03,52444
2016-05-04,52444
2016-05-05,52444
2016-05-06,52444
2016-05-07,52444
2016-05-08,52444
2016-05-09,52444
2016-05-10,52444
2016-05-11,52444
2016-05-12,52444
2016-05-13,49874
2016-05-14,49874
2016-05-15,49874
2016-05-16,49874
2016-05-17,49874
2016-05-18,49874
2016-05-19,49874
2016-05-22,49874
2016-05-23,49874
2016-05-24,49874
2016-05-25,49874
2016-05-26,48945
2016-05-27,48945
2016-05-28,48945
2016-05-29,48945
2016-05-30,48945
2016-05-31,48945
2016-06-01,48945
2016-06-02,48945
2016-06-03,48945
2016-06-04,48945
2016-06-05,48945
2016-06-06,48945
2016-06-07,48945
2016-06-08,48945
2016-06-09,48945
2016-06-10,47707
2016-06-11,47707
2016-06-12,47707
2016-06-13,47707
2016-06-14,47707
2016-06-15,47707
2016-06-16,47707
2016-06-17,47707
2016-06-18,47707
2016-06-19,47707
2016-06-20,47707
2016-06-21,47707
2016-06-22,47707
2016-06-23,46373
