date_obj,Celastrus%20bark price
2019-01-10,7800
2019-01-10,7839
2019-01-11,7839
2019-01-12,7839
2019-01-13,7940
2019-01-14,7940
2019-01-15,7940
2019-01-16,7940
2019-01-17,7940
2019-01-18,7940
2019-01-19,7992
2019-01-20,7992
2019-01-21,7992
2019-01-22,7992
2019-01-23,7992
2019-01-24,7992
2019-01-25,8087
2019-01-26,8087
2019-01-27,8087
2019-01-28,8087
2019-01-29,8087
2019-01-30,8195
2019-01-31,8195
2019-02-01,8195
2019-02-02,8195
2019-02-03,8195
2019-02-04,8195
2019-02-05,8319
2019-02-06,8319
2019-02-07,8319
2019-02-08,8319
2019-02-09,8319
2019-02-10,8461
2019-02-11,8461
2019-02-12,8461
2019-02-13,8461
2019-02-14,8461
2019-02-15,8493
2019-02-16,8493
2019-02-17,8493
2019-02-18,8493
2019-02-19,8493
2019-02-20,8581
2019-02-21,8581
2019-02-22,8581
2019-02-23,8581
2019-02-24,8481
2019-02-25,8481
2019-02-26,8481
2019-02-27,8481
2019-02-28,8481
2019-03-01,8481
2019-03-02,8481
2019-03-03,8481
2019-03-04,8513
2019-03-05,8513
2019-03-06,8513
2019-03-07,8513
2019-03-08,8513
2019-03-09,8449
2019-03-10,8449
2019-03-11,8449
2019-03-12,8449
2019-03-13,8449
2019-03-14,8284
2019-03-15,8284
2019-03-16,8284
2019-03-17,8284
2019-03-18,8284
2019-03-19,8121
2019-03-20,8121
2019-03-21,8121
2019-03-22,8121
2019-03-23,8293
2019-03-24,8293
2019-03-25,8293
2019-03-26,8293
2019-03-27,8293
2019-03-28,8378
2019-03-29,8378
2019-03-30,8378
2019-03-31,8378
2019-04-01,8378
2019-04-02,8222
2019-04-03,8222
2019-04-04,8222
2019-04-05,8222
2019-04-06,8029
2019-04-07,8029
2019-04-08,8029
2019-04-09,8029
2019-04-10,8106
2019-04-11,8106
2019-04-12,8106
2019-04-13,8106
2019-04-14,8116
2019-04-15,8116
2019-04-16,8116
2019-04-17,8116
2019-04-18,8116
2019-04-19,8167
2019-04-20,8167
2019-04-21,8167
2019-04-22,8167
2019-04-23,8255
2019-04-24,8255
2019-04-25,8255
2019-04-26,8255
2019-04-27,8255
2019-04-28,8256
2019-04-29,8256
2019-04-30,8256
2019-05-01,8256
2019-05-02,8256
2019-05-03,8365
2019-05-04,8365
2019-05-05,8365
2019-05-06,8365
2019-05-07,8365
2019-05-08,8226
2019-05-09,8226
2019-05-10,8226
2019-05-11,8226
2019-05-12,8226
2019-05-13,8141
2019-05-14,8141
2019-05-15,8141
2019-05-16,8141
2019-05-17,8141
2019-05-18,8167
2019-05-19,8167
2019-05-20,8167
