date_obj,Desert%20robe price
2015-03-26,5732
2015-03-27,5732
2015-03-28,5445
2015-03-29,5445
2015-03-30,5172
2015-03-31,5172
2015-04-01,5172
2015-04-02,4913
2015-04-03,4913
2015-04-04,4667
2015-04-05,4667
2015-04-06,4434
2015-04-07,4434
2015-04-08,4434
2015-04-09,4212
2015-04-10,4212
2015-04-11,4001
2015-04-12,4001
2015-04-13,3800
2015-04-14,3800
2015-04-15,3616
2015-04-16,3616
2015-04-17,3435
2015-04-18,3435
2015-04-19,3263
2015-04-20,3263
2015-04-21,3263
2015-04-22,3099
2015-04-23,3099
2015-04-24,2944
2015-04-25,2944
2015-04-26,2944
2015-04-27,2796
2015-04-28,2796
2015-04-29,2796
2015-04-30,2656
2015-05-01,2656
2015-05-02,2523
2015-05-03,2523
2015-05-04,2396
2015-05-05,2396
2015-05-06,2276
2015-05-07,2276
2015-05-08,2162
2015-05-09,2162
2015-05-10,2053
2015-05-11,2053
2015-05-12,1952
2015-05-13,1952
2015-05-14,1856
2015-05-15,1856
2015-05-16,1856
2015-05-17,1763
2015-05-18,1763
2015-05-19,1763
2015-05-20,1674
2015-05-21,1674
2015-05-22,1674
2015-05-23,1590
2015-05-24,1590
2015-05-25,1510
2015-05-26,1510
2015-05-27,1510
2015-05-28,1434
2015-05-29,1434
2015-05-30,1362
2015-05-31,1362
2015-06-01,1293
2015-06-02,1293
2015-06-03,1230
2015-06-04,1230
2015-06-05,1168
2015-06-06,1168
2015-06-07,1109
2015-06-08,1109
2015-06-09,1053
2015-06-10,1053
2015-06-11,1000
2015-06-12,1000
2015-06-13,950
2015-06-14,950
2015-06-15,902
2015-06-16,902
2015-06-17,856
2015-06-18,856
2015-06-19,828
2015-06-20,828
2015-06-21,793
2015-06-22,793
2015-06-23,753
2015-06-24,753
2015-06-25,715
2015-06-26,681
2015-06-27,681
2015-06-28,646
2015-06-29,646
2015-06-30,613
2015-07-01,613
2015-07-02,608
2015-07-03,608
2015-07-04,597
2015-07-05,597
2015-07-06,570
2015-07-07,570
2015-07-08,541
2015-07-09,541
2015-07-10,528
2015-07-11,528
2015-07-12,502
2015-07-13,502
2015-07-14,476
2015-07-15,476
2015-07-16,453
2015-07-17,453
2015-07-18,430
2015-07-19,430
2015-07-20,422
2015-07-21,422
2015-07-22,422
2015-07-23,422
2015-07-24,407
2015-07-25,407
2015-07-26,393
2015-07-27,393
2015-07-28,375
2015-07-29,359
2015-07-30,359
2015-07-31,342
2015-08-01,342
2015-08-02,332
2015-08-03,332
2015-08-04,331
2015-08-05,318
2015-08-06,318
2015-08-07,307
2015-08-08,307
2015-08-09,291
2015-08-10,291
2015-08-11,276
2015-08-12,276
2015-08-13,266
2015-08-14,265
2015-08-15,265
2015-08-16,269
2015-08-17,269
2015-08-18,260
2015-08-19,260
2015-08-20,255
2015-08-21,255
2015-08-22,256
2015-08-23,256
2015-08-24,256
2015-08-25,256
2015-08-26,256
2015-08-27,256
2015-08-28,256
2015-08-29,255
2015-08-30,255
2015-08-31,257
2015-09-01,257
2015-09-02,257
2015-09-03,250
2015-09-04,250
2015-09-05,240
2015-09-06,240
2015-09-07,239
2015-09-08,239
2015-09-09,227
2015-09-10,227
2015-09-11,221
2015-09-12,221
2015-09-13,213
2015-09-14,213
2015-09-15,209
2015-09-16,209
2015-09-17,199
2015-09-18,199
2015-09-19,190
2015-09-20,190
2015-09-21,190
2015-09-22,192
2015-09-23,192
2015-09-24,189
2015-09-25,189
2015-09-27,186
2015-09-28,191
2015-09-29,191
2015-09-30,188
2015-10-05,175
2015-10-06,175
2015-10-07,175
2015-10-08,170
2015-10-09,170
2015-10-10,161
2015-10-11,161
2015-10-12,157
2015-10-13,157
2015-10-14,157
2015-10-15,156
2015-10-16,156
2015-10-17,156
2015-10-18,154
2015-10-19,154
2015-10-20,151
2015-10-22,151
2015-10-23,150
2015-10-24,150
2015-10-25,153
2015-10-26,153
2015-10-27,153
2015-10-29,152
2015-10-30,152
2015-10-31,151
2015-11-01,151
2015-11-02,151
2015-11-03,150
2015-11-04,150
2015-11-05,143
2015-11-06,143
2015-11-07,139
2015-11-08,139
2015-11-09,139
2015-11-10,135
2015-11-11,135
2015-11-12,135
2015-11-13,135
2015-11-14,135
2015-11-15,136
2015-11-16,136
2015-11-17,136
2015-11-18,138
2015-11-19,138
2015-11-20,137
2015-11-21,137
