date_obj,Zamorak%20dragonhide%20set price
2015-03-26,690264
2015-03-27,690264
2015-03-28,690264
2015-03-29,690264
2015-03-30,690264
2015-03-31,690264
2015-04-01,690264
2015-04-02,690264
2015-04-03,690264
2015-04-04,690264
2015-04-05,690264
2015-04-06,690264
2015-04-07,690264
2015-04-08,690264
2015-04-09,707877
2015-04-10,707877
2015-04-11,707877
2015-04-12,707877
2015-04-13,707877
2015-04-14,707877
2015-04-15,707877
2015-04-16,707877
2015-04-17,707877
2015-04-18,707877
2015-04-19,707877
2015-04-20,707877
2015-04-21,707877
2015-04-22,707877
2015-04-23,707877
2015-04-24,707877
2015-04-25,707877
2015-04-26,707877
2015-04-27,707877
2015-04-28,707877
2015-04-29,707877
2015-04-30,714764
2015-05-01,714764
2015-05-02,714764
2015-05-03,714764
2015-05-04,714764
2015-05-05,714764
2015-05-06,714764
2015-05-07,714764
2015-05-08,714764
2015-05-09,714764
2015-05-10,714764
2015-05-11,714764
2015-05-12,714764
2015-05-13,714764
2015-05-14,714764
2015-05-15,714764
2015-05-16,714764
2015-05-17,714764
2015-05-18,714764
2015-05-19,714764
2015-05-20,714764
2015-05-21,714764
2015-05-22,711155
2015-05-23,711155
2015-05-24,711155
2015-05-25,711155
2015-05-26,711155
2015-05-27,711155
2015-05-28,711155
2015-05-29,711155
2015-05-30,711155
2015-05-31,711155
2015-06-01,711155
2015-06-02,711155
2015-06-03,684513
2015-06-04,684513
2015-06-05,684513
2015-06-06,684513
2015-06-07,684513
2015-06-08,684513
2015-06-09,684513
2015-06-10,684513
2015-06-11,684513
2015-06-12,684513
2015-06-13,684513
2015-06-14,679442
2015-06-15,679442
2015-06-16,679442
2015-06-17,679442
2015-06-18,679442
2015-06-19,679442
2015-06-20,679442
2015-06-21,679442
2015-06-22,679442
2015-06-23,679442
2015-06-24,688106
2015-06-25,688106
2015-06-26,688106
2015-06-27,688106
2015-06-28,688106
2015-06-29,688106
2015-06-30,688106
2015-07-01,688106
2015-07-02,688106
