date_obj,Gilded%20armour%20set%20(lg) price
2015-03-26,2675136
2015-03-27,2609931
2015-03-28,2609931
2015-03-29,2609931
2015-03-30,2552368
2015-03-31,2552368
2015-04-01,2552368
2015-04-02,2530064
2015-04-03,2530064
2015-04-04,2530064
2015-04-05,2423362
2015-04-06,2423362
2015-04-07,2423362
2015-04-08,2445430
2015-04-09,2445430
2015-04-10,2445430
2015-04-11,2445554
2015-04-12,2445554
2015-04-13,2445554
2015-04-14,2346764
2015-04-15,2346764
2015-04-16,2346764
2015-04-17,2310212
2015-04-18,2310212
2015-04-19,2271202
2015-04-20,2271202
2015-04-21,2271202
2015-04-22,2257974
2015-04-23,2257974
2015-04-24,2257974
2015-04-25,2307827
2015-04-26,2307827
2015-04-27,2307827
2015-04-28,2327567
2015-04-29,2327567
2015-04-30,2327567
2015-05-01,2393881
2015-05-02,2393881
2015-05-03,2393881
2015-05-04,2402919
2015-05-05,2402919
2015-05-06,2402919
2015-05-07,2331431
2015-05-08,2331431
2015-05-09,2331431
2015-05-10,2340824
2015-05-11,2340824
2015-05-12,2340824
2015-05-13,2347936
2015-05-14,2347936
2015-05-15,2347936
2015-05-16,2383367
2015-05-17,2383367
2015-05-18,2406689
2015-05-19,2406689
2015-05-20,2406689
2015-05-21,2406689
2015-05-22,2450687
2015-05-23,2450687
2015-05-24,2450687
2015-05-25,2484456
2015-05-26,2484456
2015-05-27,2484456
2015-05-28,2484456
2015-05-29,2468302
2015-05-30,2468302
2015-05-31,2468302
2015-06-01,2455385
2015-06-02,2455385
2015-06-03,2455385
2015-06-04,2455385
2015-06-05,2459275
2015-06-06,2459275
2015-06-07,2459275
2015-06-08,2483109
2015-06-09,2483109
2015-06-10,2483109
2015-06-11,2527245
2015-06-12,2527245
2015-06-13,2527245
2015-06-14,2527245
2015-06-15,2605024
2015-06-16,2605024
2015-06-17,2605024
2015-06-18,2581777
2015-06-19,2581777
2015-06-20,2581777
2015-06-21,2558326
2015-06-22,2558326
2015-06-23,2558326
2015-06-24,2513326
2015-06-25,2513326
2015-06-26,2513326
2015-06-27,2513326
2015-06-28,2459077
2015-06-29,2459077
2015-06-30,2459077
2015-07-01,2399704
2015-07-02,2399704
2015-07-03,2399704
2015-07-04,2399704
2015-07-05,2416054
2015-07-06,2416054
2015-07-07,2416054
2015-07-08,2498824
2015-07-09,2498824
2015-07-10,2498824
2015-07-11,2498824
2015-07-12,2566546
2015-07-13,2566546
2015-07-14,2566546
2015-07-15,2537439
2015-07-16,2537439
2015-07-17,2537439
2015-07-18,2551655
2015-07-19,2551655
2015-07-20,2551655
2015-07-21,2521081
2015-07-22,2521081
2015-07-23,2521081
2015-07-24,2492562
2015-07-25,2492562
2015-07-26,2492562
2015-07-27,2469028
2015-07-28,2469028
2015-07-29,2507291
2015-07-30,2507291
2015-07-31,2507291
2015-08-01,2572370
2015-08-02,2572370
2015-08-03,2621571
2015-08-04,2621571
2015-08-05,2647013
2015-08-06,2647013
2015-08-07,2647013
2015-08-08,2703909
2015-08-09,2703909
2015-08-10,2703909
2015-08-11,2640413
2015-08-12,2640413
2015-08-13,2640413
2015-08-14,2589658
2015-08-15,2589658
2015-08-16,2589658
2015-08-17,2600231
2015-08-18,2600231
2015-08-19,2600231
2015-08-20,2570068
2015-08-21,2570068
2015-08-22,2570068
2015-08-23,2594417
2015-08-24,2594417
2015-08-25,2594417
2015-08-26,2593729
2015-08-27,2593729
2015-08-28,2593729
2015-08-29,2644525
2015-08-30,2644525
2015-08-31,2644525
2015-09-01,2644525
2015-09-02,2641775
2015-09-03,2641775
2015-09-04,2641775
2015-09-05,2593869
2015-09-06,2593869
2015-09-07,2593869
2015-09-08,2541576
2015-09-09,2541576
2015-09-10,2541576
2015-09-11,2527504
2015-09-12,2527504
2015-09-13,2527504
2015-09-14,2592342
2015-09-15,2592342
2015-09-16,2592342
2015-09-17,2684628
2015-09-18,2684628
2015-09-19,2684628
2015-09-20,2767724
2015-09-21,2767724
2015-09-22,2767724
2015-09-23,2742720
2015-09-24,2742720
2015-09-25,2742720
2015-09-27,2718177
2015-09-28,2718177
2015-09-29,2644394
2015-09-30,2644394
2015-10-05,2619665
2015-10-06,2593889
2015-10-07,2593889
2015-10-08,2593889
2015-10-09,2620200
2015-10-10,2620200
2015-10-11,2620200
2015-10-12,2604499
2015-10-13,2604499
2015-10-14,2604499
2015-10-15,2604499
2015-10-16,2594952
2015-10-17,2594952
2015-10-18,2594952
2015-10-19,2600323
2015-10-20,2600323
2015-10-22,2589767
2015-10-23,2589767
2015-10-24,2589767
2015-10-25,2616629
2015-10-26,2616629
2015-10-27,2616629
2015-10-29,2648741
2015-10-30,2648741
2015-10-31,2635939
2015-11-01,2635939
2015-11-02,2635939
2015-11-03,2667082
2015-11-04,2667082
2015-11-05,2667082
2015-11-06,2650403
2015-11-07,2650403
2015-11-08,2650403
2015-11-09,2661285
2015-11-10,2661285
2015-11-11,2661285
2015-11-12,2712116
2015-11-13,2712116
2015-11-14,2712116
2015-11-15,2749612
2015-11-16,2749612
2015-11-17,2749612
2015-11-18,2749612
