date_obj,White%20plateskirt price
2015-03-26,34000
2015-03-27,34000
2015-03-28,34000
2015-03-29,34000
2015-03-30,34000
2015-03-31,34000
2015-04-01,34000
2015-04-02,34000
2015-04-03,34000
2015-04-04,34000
2015-04-05,34000
2015-04-06,34000
2015-04-07,34000
2015-04-08,34000
2015-04-09,34000
2015-04-10,34000
2015-04-11,34000
2015-04-12,34000
2015-04-13,34000
2015-04-14,34000
2015-04-15,34000
2015-04-16,34000
2015-04-17,34000
2015-04-18,34000
2015-04-19,34000
2015-04-20,34000
2015-04-21,34000
2015-04-22,34000
2015-04-23,34000
2015-04-24,34000
2015-04-25,34000
2015-04-26,34000
2015-04-27,34000
2015-04-28,34000
2015-04-29,34000
2015-04-30,34000
2015-05-01,34000
2015-05-02,34000
2015-05-03,34000
2015-05-04,34000
2015-05-05,34000
2015-05-06,34000
2015-05-07,34000
2015-05-08,34000
2015-05-09,34000
2015-05-10,34000
2015-05-11,34000
2015-05-12,34000
2015-05-13,34000
2015-05-14,34000
2015-05-15,34000
2015-05-16,34000
2015-05-17,34000
2015-05-18,34000
2015-05-19,34000
2015-05-20,34000
2015-05-21,34000
2015-05-22,34000
2015-05-23,34000
2015-05-24,34000
2015-05-25,34000
2015-05-26,34000
2015-05-27,34000
2015-05-28,34000
2015-05-29,34000
2015-05-30,34000
2015-05-31,34000
2015-06-01,34000
2015-06-02,34000
2015-06-03,34000
2015-06-04,34000
2015-06-05,34000
2015-06-06,34000
2015-06-07,32508
2015-06-08,32508
2015-06-09,32508
2015-06-10,32508
2015-06-11,32508
2015-06-12,32508
2015-06-13,32508
2015-06-14,32508
2015-06-15,32508
2015-06-16,32508
2015-06-17,32508
2015-06-18,32508
2015-06-19,32508
2015-06-20,32508
2015-06-21,32508
2015-06-22,32508
2015-06-23,32508
2015-06-24,32508
2015-06-25,32508
2015-06-26,32508
2015-06-27,32508
2015-06-28,32508
2015-06-29,32508
2015-06-30,32508
2015-07-01,32508
2015-07-02,32508
2015-07-03,32508
2015-07-04,32508
2015-07-05,32508
2015-07-06,32508
2015-07-07,32508
2015-07-08,32508
2015-07-09,32508
2015-07-10,32508
2015-07-11,32508
2015-07-12,32508
2015-07-13,32508
2015-07-14,32508
2015-07-15,32508
2015-07-16,32508
2015-07-17,32508
2015-07-18,32508
2015-07-19,32508
2015-07-20,32508
2015-07-21,32508
2015-07-22,32508
2015-07-23,32508
2015-07-24,32508
2015-07-25,32508
2015-07-26,32508
2015-07-27,32508
2015-07-28,32508
2015-07-29,32508
2015-07-30,32508
2015-07-31,32508
2015-08-01,32508
2015-08-02,32508
2015-08-03,32508
2015-08-04,32508
2015-08-05,32508
2015-08-06,32508
2015-08-07,32508
2015-08-08,32508
2015-08-09,32508
2015-08-10,32508
2015-08-11,32508
2015-08-12,32508
2015-08-13,32508
2015-08-14,32508
2015-08-15,32508
2015-08-16,32508
2015-08-17,32508
2015-08-18,32508
2015-08-19,32508
2015-08-20,32508
2015-08-21,32508
2015-08-22,32508
2015-08-23,32508
2015-08-24,32508
2015-08-25,32508
2015-08-26,32508
2015-08-27,32508
2015-08-28,32508
2015-08-29,32508
2015-08-30,32508
2015-08-31,32508
2015-09-01,32508
2015-09-02,32508
2015-09-03,32508
2015-09-04,32508
2015-09-05,32508
2015-09-06,32508
2015-09-07,32508
2015-09-08,32508
2015-09-09,32508
2015-09-10,32508
2015-09-11,32508
2015-09-12,32508
2015-09-13,32508
2015-09-14,32508
2015-09-15,32508
2015-09-16,32508
2015-09-17,32508
2015-09-18,32508
2015-09-19,32508
2015-09-20,32508
2015-09-21,32508
2015-09-22,32508
2015-09-23,32508
2015-09-24,32508
2015-09-25,32508
2015-09-27,32508
2015-09-28,32508
2015-09-29,30907
2015-09-30,30907
2015-10-05,30907
2015-10-06,30907
2015-10-07,30907
2015-10-08,30907
2015-10-09,30907
2015-10-10,30907
2015-10-11,30907
2015-10-12,30907
2015-10-13,30907
2015-10-14,30907
2015-10-15,30907
2015-10-16,30907
2015-10-17,30907
2015-10-18,30907
2015-10-19,30907
2015-10-20,30907
2015-10-22,30907
2015-10-23,30907
2015-10-24,30907
2015-10-25,30907
2015-10-26,30907
2015-10-27,30907
2015-10-29,30907
2015-10-30,30907
2015-10-31,30907
2015-11-01,30907
2015-11-02,30907
2015-11-03,30907
2015-11-04,30907
2015-11-05,30907
2015-11-06,30907
2015-11-07,30907
2015-11-08,30907
2015-11-09,30907
2015-11-10,30907
2015-11-11,30907
2015-11-12,30907
2015-11-13,30907
2015-11-14,30907
2015-11-15,30907
2015-11-16,30907
2015-11-17,30907
2015-11-18,30907
2015-11-19,30907
2015-11-20,30907
2015-11-21,30907
2015-11-22,30907
2015-11-23,30907
2015-11-24,30907
2015-11-25,30907
2015-11-26,30907
2015-11-27,30907
2015-11-28,30907
2015-11-29,30907
2015-11-30,30907
2015-12-01,30907
2015-12-02,30907
2015-12-03,30907
2015-12-04,30907
2015-12-05,30907
2015-12-06,30907
2015-12-07,30907
2015-12-08,30907
2015-12-09,30907
2015-12-10,30907
2015-12-11,30907
2015-12-13,30907
2015-12-14,30907
2015-12-15,30907
2015-12-16,30907
2015-12-17,30907
2015-12-18,30907
2015-12-19,30907
2015-12-20,30907
2015-12-21,30907
2015-12-22,30907
2015-12-23,30907
2015-12-24,30907
2015-12-25,30907
2015-12-26,30907
2015-12-27,30907
2015-12-28,30907
2015-12-29,30907
2015-12-30,30907
