date_obj,Mort'ton%20teleport price
2015-03-26,20762
2015-03-27,20762
2015-03-28,19737
2015-03-29,18913
2015-03-30,18873
2015-03-31,19342
2015-04-01,20241
2015-04-02,20750
2015-04-03,20125
2015-04-04,19563
2015-04-05,18634
2015-04-06,18466
2015-04-07,19029
2015-04-08,19684
2015-04-09,20600
2015-04-10,20776
2015-04-11,20219
2015-04-12,19705
2015-04-13,19561
2015-04-14,19296
2015-04-15,19093
2015-04-16,18928
2015-04-17,19479
2015-04-18,20442
2015-04-19,21082
2015-04-20,21082
2015-04-21,21702
2015-04-22,21647
2015-04-23,21672
2015-04-24,21759
2015-04-25,21417
2015-04-26,21537
2015-04-27,21116
2015-04-28,20599
2015-04-29,20599
2015-04-30,20009
2015-05-01,19043
2015-05-02,18114
2015-05-03,17338
2015-05-04,16946
2015-05-05,16596
2015-05-06,16419
2015-05-07,16099
2015-05-08,16702
2015-05-09,17195
2015-05-10,17238
2015-05-11,17238
2015-05-12,16763
2015-05-13,16467
2015-05-14,16473
2015-05-15,16855
2015-05-16,16966
2015-05-17,17329
2015-05-18,17087
2015-05-19,16718
2015-05-20,16718
2015-05-21,16600
2015-05-22,16322
2015-05-23,16189
2015-05-24,16066
2015-05-25,15900
2015-05-26,15819
2015-05-27,16174
2015-05-28,16671
2015-05-29,17171
2015-05-30,17894
2015-05-31,18597
2015-06-01,19063
2015-06-02,18877
2015-06-03,18961
2015-06-04,19450
2015-06-05,20126
2015-06-06,20842
2015-06-07,21361
2015-06-08,21308
2015-06-09,21144
2015-06-10,21371
2015-06-11,21032
2015-06-12,20746
2015-06-13,20346
2015-06-14,19476
2015-06-15,18758
2015-06-16,18185
2015-06-17,17675
2015-06-18,17300
2015-06-19,17558
2015-06-20,17956
2015-06-21,18044
2015-06-22,18066
2015-06-23,18433
2015-06-24,18501
2015-06-25,18646
2015-06-26,18542
2015-06-27,18581
2015-06-28,18720
2015-06-29,18434
2015-06-30,18724
2015-07-01,18951
2015-07-02,18951
2015-07-03,19393
2015-07-04,19709
2015-07-05,19924
2015-07-06,19904
2015-07-07,19859
2015-07-08,19860
2015-07-09,19899
2015-07-10,19725
2015-07-11,19497
2015-07-12,19343
2015-07-13,19313
2015-07-14,19661
2015-07-15,19502
2015-07-16,19092
2015-07-17,19142
2015-07-18,19175
2015-07-19,19345
2015-07-20,19495
2015-07-21,19604
2015-07-22,19721
2015-07-23,19706
2015-07-24,19690
2015-07-25,19734
2015-07-26,19546
2015-07-27,19306
2015-07-28,19211
2015-07-29,19094
2015-07-30,19070
2015-07-31,19095
2015-08-01,19126
2015-08-02,19644
2015-08-03,20034
2015-08-04,19993
2015-08-05,20483
2015-08-06,20492
2015-08-07,20555
2015-08-08,20366
2015-08-09,20048
2015-08-10,19465
2015-08-11,19001
2015-08-12,18637
2015-08-13,18500
2015-08-14,18997
2015-08-15,19252
2015-08-16,19303
2015-08-17,19605
2015-08-18,19737
2015-08-19,19745
2015-08-20,20041
2015-08-21,20740
2015-08-22,21748
2015-08-23,22836
2015-08-24,23707
2015-08-25,23707
2015-08-26,23633
2015-08-27,22986
2015-08-28,22275
2015-08-29,21720
2015-08-30,20868
2015-08-31,20294
2015-09-01,19899
2015-09-02,19754
2015-09-03,19033
2015-09-04,18212
2015-09-05,18116
2015-09-06,18637
2015-09-07,18689
2015-09-08,18795
2015-09-09,18974
2015-09-10,18959
2015-09-11,18629
2015-09-12,17830
2015-09-13,17626
2015-09-14,17619
2015-09-15,17447
2015-09-16,17196
2015-09-17,16540
2015-09-18,16568
2015-09-19,16970
2015-09-20,17773
2015-09-21,18305
2015-09-22,17918
2015-09-23,17524
2015-09-24,16876
2015-09-25,16154
2015-09-27,16001
2015-09-28,16332
2015-09-29,16761
2015-09-30,16970
2015-10-05,17342
2015-10-06,16644
2015-10-07,16314
2015-10-08,15604
2015-10-09,15059
2015-10-10,15059
2015-10-11,15746
2015-10-12,16062
2015-10-13,15802
2015-10-14,15997
2015-10-15,16529
2015-10-16,17092
2015-10-17,17092
2015-10-18,17843
2015-10-19,18104
2015-10-20,17199
2015-10-22,15805
2015-10-23,15684
2015-10-24,16339
2015-10-25,16225
2015-10-26,15442
2015-10-27,14669
2015-10-29,13414
2015-10-30,13016
2015-10-31,12846
2015-11-01,12846
2015-11-02,12460
2015-11-03,12233
2015-11-04,12267
2015-11-05,12556
2015-11-06,12455
2015-11-07,12804
2015-11-08,12804
2015-11-09,13206
2015-11-10,13577
2015-11-11,13993
2015-11-12,14412
2015-11-13,14991
2015-11-14,15456
2015-11-15,15707
2015-11-16,15422
2015-11-17,14997
2015-11-18,14749
2015-11-19,14629
2015-11-20,14949
2015-11-21,14949
2015-11-22,15358
2015-11-23,15358
2015-11-24,15338
2015-11-25,15333
2015-11-26,15333
2015-11-27,14880
2015-11-28,15206
2015-11-29,15367
2015-11-30,14934
2015-12-01,15055
2015-12-02,15261
2015-12-03,15557
2015-12-04,15873
2015-12-05,15881
2015-12-06,15711
2015-12-07,15755
2015-12-08,15844
2015-12-09,16069
2015-12-10,16578
2015-12-11,17369
2015-12-12,17895
2015-12-13,18261
2015-12-14,18261
2015-12-15,18021
2015-12-16,17544
2015-12-17,16798
2015-12-18,15975
2015-12-19,15782
2015-12-20,16325
2015-12-21,17114
2015-12-22,17757
2015-12-23,17304
2015-12-24,17131
2015-12-25,16948
2015-12-26,17080
2015-12-27,17140
2015-12-28,17229
2015-12-29,17248
2015-12-30,17221
2015-12-31,17233
2016-01-01,17314
2016-01-02,17314
2016-01-03,17142
2016-01-04,17546
2016-01-05,18017
2016-01-06,17924
2016-01-07,17228
2016-01-08,16678
2016-01-09,16947
2016-01-10,16362
2016-01-11,16347
2016-01-12,16539
2016-01-13,16893
2016-01-14,16655
2016-01-15,16778
2016-01-16,16890
2016-01-17,17061
2016-01-18,17141
2016-01-19,17334
2016-01-20,17427
2016-01-21,17382
2016-01-22,17200
2016-01-23,17370
2016-01-24,17811
2016-01-25,18662
2016-01-26,19059
2016-01-27,18265
2016-01-28,17726
2016-01-29,16873
2016-01-30,16231
2016-01-31,16155
2016-02-01,16448
2016-02-02,17198
2016-02-03,18004
2016-02-04,18295
2016-02-05,18088
2016-02-06,17511
2016-02-07,16748
2016-02-08,16140
2016-02-09,16027
2016-02-10,15692
2016-02-11,16166
2016-02-12,16781
2016-02-13,17151
2016-02-14,17469
2016-02-15,17974
2016-02-16,18035
2016-02-17,17397
2016-02-18,16763
2016-02-19,16526
2016-02-20,16738
2016-02-21,17150
2016-02-22,17686
2016-02-23,17720
2016-02-24,17299
2016-02-25,16882
2016-02-26,16723
2016-02-27,17170
2016-02-28,17139
2016-02-29,16952
2016-03-01,16764
2016-03-02,16984
2016-03-03,16733
2016-03-04,16813
2016-03-05,17378
2016-03-06,17994
2016-03-07,18576
2016-03-08,18613
2016-03-09,18630
2016-03-10,18508
2016-03-11,18655
2016-03-12,19524
2016-03-13,20501
2016-03-14,21513
2016-03-15,22589
2016-03-16,23463
2016-03-17,23150
2016-03-18,22415
2016-03-19,21294
2016-03-20,20229
2016-03-21,19325
2016-03-22,18416
2016-03-23,17895
2016-03-24,17765
2016-03-25,17637
2016-03-26,17406
2016-03-27,16914
2016-03-28,16809
2016-03-29,17029
2016-03-30,17390
2016-03-31,16884
2016-04-01,16075
2016-04-02,15307
2016-04-03,15598
2016-04-04,16236
2016-04-05,16133
2016-04-06,15958
2016-04-07,15910
2016-04-08,15957
2016-04-09,16674
2016-04-10,17507
2016-04-11,17507
2016-04-12,18288
2016-04-13,18898
2016-04-14,19086
2016-04-15,18768
2016-04-16,18968
2016-04-17,19326
2016-04-18,18849
2016-04-19,18664
