date_obj,Black%20d'hide%20body%20(g) price
2015-03-26,436025
2015-03-27,436025
2015-03-28,414843
2015-03-29,394585
2015-03-30,376048
2015-03-31,376048
2015-04-01,358158
2015-04-02,341053
2015-04-03,324629
2015-04-04,308824
2015-04-05,308824
2015-04-06,294361
2015-04-07,280564
2015-04-08,267714
2015-04-09,254739
2015-04-10,243128
2015-04-11,231530
2015-04-12,220408
2015-04-13,210111
2015-04-14,210111
2015-04-15,200135
2015-04-16,191382
2015-04-17,182271
2015-04-18,173595
2015-04-19,165305
2015-04-20,165305
2015-04-21,157365
2015-04-22,157365
2015-04-23,149817
2015-04-24,149817
2015-04-25,142814
2015-04-26,142814
2015-04-27,135785
2015-04-28,129582
2015-04-29,129582
2015-04-30,123988
2015-05-01,118370
2015-05-02,112800
2015-05-03,112800
2015-05-04,107398
2015-05-05,107398
2015-05-06,102343
2015-05-07,97615
2015-05-08,97615
2015-05-09,92734
2015-05-10,92734
2015-05-11,88223
2015-05-12,84231
2015-05-13,84231
2015-05-14,80019
2015-05-15,80019
2015-05-16,76495
2015-05-17,72994
2015-05-18,69664
2015-05-19,69664
2015-05-20,66575
2015-05-21,66575
2015-05-22,63246
2015-05-23,60273
2015-05-24,57765
2015-05-25,54971
2015-05-26,52562
2015-05-27,52562
2015-05-28,49935
2015-05-29,49935
2015-05-30,47438
2015-05-31,47438
2015-06-01,45066
2015-06-02,45066
2015-06-03,42900
2015-06-04,42900
2015-06-05,41235
2015-06-06,41235
2015-06-07,39402
2015-06-08,39402
2015-06-09,37868
2015-06-10,37868
2015-06-11,36335
2015-06-12,36335
2015-06-13,35740
2015-06-14,35740
2015-06-15,34584
2015-06-16,34584
2015-06-17,35635
2015-06-18,35635
2015-06-19,35018
2015-06-20,35018
2015-06-21,35443
2015-06-22,35443
2015-06-23,35439
2015-06-24,35439
2015-06-25,35439
2015-06-26,35303
2015-06-27,35303
2015-06-28,35575
2015-06-29,35575
2015-06-30,35705
2015-07-01,35705
2015-07-02,35705
2015-07-03,35111
2015-07-04,35111
2015-07-05,35237
2015-07-06,35237
2015-07-07,34589
2015-07-08,34589
2015-07-09,34114
2015-07-10,34114
2015-07-11,34114
2015-07-12,33396
2015-07-13,33396
2015-07-14,33005
2015-07-15,33005
2015-07-16,32575
2015-07-17,32575
2015-07-18,31811
2015-07-19,31811
2015-07-20,30918
2015-07-21,30918
2015-07-22,30126
2015-07-23,30126
2015-07-24,29620
2015-07-25,29620
2015-07-26,28726
2015-07-27,28726
2015-07-28,28592
2015-07-29,28066
2015-07-30,28066
2015-07-31,27871
2015-08-01,27871
2015-08-02,27850
2015-08-03,27850
2015-08-04,29109
2015-08-05,28989
2015-08-06,28989
2015-08-07,29113
2015-08-08,29113
2015-08-09,29529
2015-08-10,29529
2015-08-11,30295
2015-08-12,30295
2015-08-13,30295
2015-08-14,31224
2015-08-15,31224
2015-08-16,31843
2015-08-17,31843
2015-08-18,32053
2015-08-19,32053
2015-08-20,32733
2015-08-21,32733
2015-08-22,33916
2015-08-23,33916
2015-08-24,34688
2015-08-25,34688
2015-08-26,34688
2015-08-27,35550
