date_obj,Calcite price
2017-09-07,58
2017-09-08,58
2017-09-09,61
2017-09-10,61
2017-09-11,65
2017-09-12,65
2017-09-13,65
2017-09-14,69
2017-09-15,69
2017-09-16,69
2017-09-17,69
2017-09-18,73
2017-09-19,73
2017-09-20,73
2017-09-21,73
2017-09-22,77
2017-09-23,77
2017-09-24,77
2017-09-25,77
2017-09-26,77
2017-09-27,77
2017-09-28,77
2017-09-29,77
2017-09-30,77
2017-10-01,77
2017-10-02,77
2017-10-03,74
2017-10-04,74
2017-10-05,74
2017-10-06,74
2017-10-07,74
2017-10-08,74
2017-10-09,70
2017-10-11,70
2017-10-12,70
2017-10-13,70
2017-10-14,70
2017-10-15,68
2017-10-16,68
2017-10-17,68
2017-10-18,68
2017-10-19,68
2017-10-20,68
2017-10-21,68
2017-10-22,67
2017-10-23,67
2017-10-24,67
2017-10-25,67
2017-10-26,67
2017-10-27,67
2017-10-28,67
2017-10-29,63
2017-10-30,63
2017-10-31,63
2017-11-01,63
2017-11-02,63
2017-11-03,63
2017-11-04,63
2017-11-05,59
2017-11-06,59
2017-11-07,59
2017-11-08,59
2017-11-09,59
2017-11-10,59
2017-11-11,59
2017-11-12,59
2017-11-13,56
2017-11-14,56
2017-11-15,56
2017-11-16,56
2017-11-17,56
2017-11-18,56
2017-11-19,56
2017-11-20,56
2017-11-21,56
2017-11-22,55
2017-11-23,55
2017-11-24,55
2017-11-25,55
2017-11-26,55
2017-11-27,55
2017-11-28,55
2017-11-29,55
2017-11-30,55
2017-12-01,52
2017-12-02,52
2017-12-03,52
2017-12-04,52
2017-12-05,52
2017-12-06,52
2017-12-07,52
2017-12-08,52
2017-12-09,52
2017-12-10,50
2017-12-11,50
2017-12-12,50
2017-12-13,50
2017-12-14,50
2017-12-15,50
2017-12-16,50
2017-12-17,50
2017-12-18,50
2017-12-19,50
2017-12-20,47
2017-12-21,47
2017-12-22,47
2017-12-23,47
2017-12-24,47
2017-12-25,47
2017-12-26,47
2017-12-27,47
2017-12-28,47
2017-12-29,47
2017-12-30,44
2017-12-31,44
2018-01-01,44
2018-01-02,44
2018-01-03,44
2018-01-04,44
2018-01-05,44
2018-01-06,44
2018-01-07,41
2018-01-08,41
2018-01-09,41
2018-01-10,41
2018-01-11,41
2018-01-12,41
2018-01-13,41
2018-01-14,41
2018-01-15,38
2018-01-16,38
2018-01-17,38
2018-01-18,38
2018-01-19,38
2018-01-20,36
2018-01-21,36
2018-01-22,36
2018-01-23,36
2018-01-24,34
2018-01-25,34
2018-01-26,34
2018-01-27,34
2018-01-28,32
2018-01-29,32
2018-01-30,32
2018-01-31,32
2018-02-01,32
2018-02-02,32
2018-02-03,32
2018-02-04,32
2018-02-05,32
2018-02-06,30
2018-02-07,30
2018-02-08,30
2018-02-09,30
2018-02-10,30
2018-02-11,28
2018-02-12,28
2018-02-13,28
2018-02-14,28
2018-02-15,28
2018-02-16,28
2018-02-17,28
2018-02-18,28
2018-02-19,28
2018-02-20,28
2018-02-21,30
2018-02-22,30
2018-02-23,30
2018-02-24,30
2018-02-25,30
2018-02-26,31
2018-02-27,31
2018-02-28,31
2018-03-01,31
2018-03-02,31
2018-03-03,30
2018-03-04,30
2018-03-05,30
2018-03-06,30
2018-03-07,30
2018-03-08,30
2018-03-09,31
2018-03-10,31
2018-03-11,31
2018-03-12,31
2018-03-13,31
2018-03-14,33
2018-03-15,33
2018-03-16,33
2018-03-17,33
2018-03-18,33
2018-03-20,35
2018-03-21,35
2018-03-23,35
2018-03-24,35
2018-03-25,35
2018-03-26,35
2018-03-27,35
2018-03-28,35
2018-03-29,35
2018-03-30,35
2018-03-31,35
2018-04-01,34
2018-04-02,34
2018-04-03,34
2018-04-04,34
2018-04-05,34
2018-04-06,34
2018-04-07,33
2018-04-08,33
2018-04-09,33
2018-04-10,33
2018-04-11,33
2018-04-12,31
2018-04-13,31
2018-04-14,31
2018-04-15,31
2018-04-16,31
2018-04-17,31
2018-04-18,31
2018-04-19,31
2018-04-20,31
2018-04-21,31
2018-04-22,31
2018-04-23,31
2018-04-24,29
2018-04-25,29
2018-04-26,29
2018-04-27,29
2018-04-28,29
2018-04-29,29
2018-04-30,27
2018-05-01,27
2018-05-02,27
2018-05-03,27
2018-05-04,27
2018-05-05,27
2018-05-07,26
2018-05-08,26
2018-05-09,26
2018-05-10,26
2018-05-11,26
