date_obj,Fur price
2015-03-26,102
2015-03-27,102
2015-03-28,102
2015-03-29,102
2015-03-30,102
2015-03-31,102
2015-04-01,102
2015-04-02,102
2015-04-03,102
2015-04-04,102
2015-04-05,102
2015-04-06,107
2015-04-07,107
2015-04-08,107
2015-04-09,107
2015-04-10,107
2015-04-11,107
2015-04-12,107
2015-04-13,107
2015-04-14,107
2015-04-15,107
2015-04-16,107
2015-04-17,107
2015-04-18,107
2015-04-19,113
2015-04-20,113
2015-04-21,113
2015-04-22,113
2015-04-23,113
2015-04-24,113
2015-04-25,113
2015-04-26,113
2015-04-27,113
2015-04-28,113
2015-04-29,113
2015-04-30,113
2015-05-01,113
2015-05-02,113
2015-05-03,113
2015-05-04,113
2015-05-05,113
2015-05-06,113
2015-05-07,113
2015-05-08,113
2015-05-09,113
2015-05-10,113
2015-05-11,113
2015-05-12,113
2015-05-13,113
2015-05-14,113
2015-05-15,113
2015-05-16,113
2015-05-17,118
2015-05-18,118
2015-05-19,118
2015-05-20,118
2015-05-21,118
2015-05-22,118
2015-05-23,118
2015-05-24,118
2015-05-25,118
2015-05-26,118
2015-05-27,118
2015-05-28,118
2015-05-29,118
2015-05-30,124
2015-05-31,124
2015-06-01,124
2015-06-02,124
2015-06-03,124
2015-06-04,124
2015-06-05,124
2015-06-06,124
2015-06-07,124
2015-06-08,124
2015-06-09,124
2015-06-10,124
2015-06-11,130
2015-06-12,130
2015-06-13,130
2015-06-14,130
2015-06-15,130
2015-06-16,130
2015-06-17,130
2015-06-18,130
2015-06-19,130
2015-06-20,130
2015-06-21,130
2015-06-22,130
2015-06-23,130
2015-06-24,130
2015-06-25,130
2015-06-26,136
2015-06-27,136
2015-06-28,136
2015-06-29,136
2015-06-30,136
2015-07-01,136
2015-07-02,136
2015-07-03,136
2015-07-04,136
2015-07-05,136
2015-07-06,136
2015-07-07,136
2015-07-08,136
2015-07-09,136
2015-07-10,136
2015-07-11,141
2015-07-12,141
2015-07-13,141
2015-07-14,141
2015-07-15,141
2015-07-16,141
2015-07-17,141
2015-07-18,141
2015-07-19,141
2015-07-20,141
2015-07-21,141
2015-07-22,141
2015-07-23,141
2015-07-24,141
2015-07-25,146
2015-07-26,146
2015-07-27,146
2015-07-28,146
2015-07-29,146
2015-07-30,146
2015-07-31,146
2015-08-01,146
2015-08-02,146
2015-08-03,146
2015-08-04,146
2015-08-05,146
2015-08-06,146
2015-08-07,146
2015-08-08,145
2015-08-09,145
2015-08-10,145
2015-08-11,145
2015-08-12,145
2015-08-13,145
2015-08-14,145
2015-08-15,145
2015-08-16,145
2015-08-17,145
2015-08-18,145
2015-08-19,145
2015-08-20,145
2015-08-21,145
2015-08-22,145
