date_obj,Red%20elegant%20shirt price
2015-03-26,90394
2015-03-27,90394
2015-03-28,89851
2015-03-29,89851
2015-03-30,87354
2015-03-31,87354
2015-04-01,86083
2015-04-02,86083
2015-04-03,85413
2015-04-04,85413
2015-04-05,84369
2015-04-06,84369
2015-04-07,83560
2015-04-08,83560
2015-04-09,84581
2015-04-10,84581
2015-04-11,85731
2015-04-12,85731
2015-04-13,87191
2015-04-14,87191
2015-04-15,87931
2015-04-16,87931
2015-04-17,89040
2015-04-18,89040
2015-04-19,88713
2015-04-20,88713
2015-04-21,87509
2015-04-22,87509
2015-04-23,86834
2015-04-24,86834
2015-04-25,87254
2015-04-26,87254
2015-04-27,87029
2015-04-28,87029
2015-04-29,86225
2015-04-30,86225
2015-05-01,83991
2015-05-02,83991
2015-05-03,83600
2015-05-04,83600
2015-05-05,81935
2015-05-06,81935
2015-05-07,79934
2015-05-08,79934
2015-05-09,78754
2015-05-10,78754
2015-05-11,75871
2015-05-12,75871
2015-05-13,74206
2015-05-14,74206
2015-05-15,72262
2015-05-16,72262
2015-05-17,71826
2015-05-18,71826
2015-05-19,70937
2015-05-20,70937
2015-05-21,70937
2015-05-22,69508
2015-05-23,69508
2015-05-24,68826
2015-05-25,68826
2015-05-26,68297
2015-05-27,68297
2015-05-28,68544
2015-05-29,68544
2015-05-30,68615
2015-05-31,68615
2015-06-01,69355
2015-06-02,69355
2015-06-03,69355
2015-06-04,69355
2015-06-05,69558
2015-06-06,69558
2015-06-07,69670
2015-06-08,69670
2015-06-09,70617
2015-06-10,70617
2015-06-11,70294
2015-06-12,70294
2015-06-13,70786
2015-06-14,70786
2015-06-15,70786
2015-06-16,71785
2015-06-17,71785
2015-06-18,72986
2015-06-19,72986
2015-06-20,72986
2015-06-21,74230
2015-06-22,74230
2015-06-23,73364
2015-06-24,73364
2015-06-25,71074
2015-06-26,71074
2015-06-27,69510
2015-06-28,69510
2015-06-29,69436
2015-06-30,69436
2015-07-01,71511
2015-07-02,71511
2015-07-03,72612
2015-07-04,72612
2015-07-05,72737
2015-07-06,72737
2015-07-07,72737
2015-07-08,71823
2015-07-09,71823
2015-07-10,71823
2015-07-11,70966
2015-07-12,70966
2015-07-13,71835
2015-07-14,71835
2015-07-15,72200
2015-07-16,72200
2015-07-17,71963
2015-07-18,71963
2015-07-19,71963
2015-07-20,72035
2015-07-21,72035
2015-07-22,72316
2015-07-23,72316
2015-07-24,74347
2015-07-25,74347
2015-07-26,75393
2015-07-27,75393
2015-07-28,78881
2015-07-29,78881
2015-07-30,81727
2015-07-31,81727
2015-08-01,83600
2015-08-02,83600
2015-08-03,86149
2015-08-04,86149
2015-08-05,88125
2015-08-06,88125
2015-08-07,91300
2015-08-08,91300
2015-08-09,95076
2015-08-10,95076
2015-08-11,98368
2015-08-12,98368
2015-08-13,98368
2015-08-14,101437
2015-08-15,101437
2015-08-16,104849
2015-08-17,104849
2015-08-18,106314
2015-08-19,106314
2015-08-20,110366
2015-08-21,110366
2015-08-22,110327
2015-08-23,110327
2015-08-24,111226
2015-08-25,111226
2015-08-26,111226
2015-08-27,110537
2015-08-28,110537
2015-08-29,112661
2015-08-30,112661
2015-08-31,113708
2015-09-01,113708
2015-09-02,113708
2015-09-03,115108
2015-09-04,115108
2015-09-05,115108
2015-09-06,113852
2015-09-07,113852
2015-09-08,114998
2015-09-09,114998
2015-09-10,117812
2015-09-11,117812
2015-09-12,122877
2015-09-13,122877
2015-09-14,124530
2015-09-15,124530
2015-09-16,127071
2015-09-17,127071
2015-09-18,127071
2015-09-19,128721
2015-09-20,128721
2015-09-21,128721
2015-09-22,129785
2015-09-23,129785
2015-09-24,129785
2015-09-25,131381
2015-09-27,131381
2015-09-28,130965
2015-09-29,130965
2015-09-30,130965
2015-10-05,133190
2015-10-06,133190
2015-10-07,138694
2015-10-08,138694
2015-10-09,138694
2015-10-10,143823
2015-10-11,143823
2015-10-12,146261
2015-10-13,146261
2015-10-14,146261
2015-10-15,141924
2015-10-16,141924
2015-10-17,141924
2015-10-18,135330
2015-10-19,135330
2015-10-20,129329
2015-10-22,129329
2015-10-23,123011
2015-10-24,123011
2015-10-25,117153
2015-10-26,117153
2015-10-27,112981
2015-10-29,109551
2015-10-30,109551
2015-10-31,106474
2015-11-01,106474
2015-11-02,106474
2015-11-03,104787
2015-11-04,104787
2015-11-05,104787
2015-11-06,104300
2015-11-07,104300
2015-11-08,102869
2015-11-09,102869
2015-11-10,99266
2015-11-11,99266
2015-11-12,95864
2015-11-13,95864
2015-11-14,95864
2015-11-15,94318
2015-11-16,94318
2015-11-17,94318
2015-11-18,95144
2015-11-19,95144
2015-11-20,98905
2015-11-21,98905
2015-11-22,103074
2015-11-23,103074
2015-11-24,103074
2015-11-25,106642
2015-11-26,106642
2015-11-27,106642
2015-11-28,107128
2015-11-29,107128
2015-11-30,107128
2015-12-01,104973
2015-12-02,104973
2015-12-03,104361
2015-12-04,104361
2015-12-05,104361
2015-12-06,103918
2015-12-07,103918
2015-12-08,103345
2015-12-09,104397
2015-12-10,104397
2015-12-11,106601
2015-12-12,106601
2015-12-13,110662
2015-12-14,110662
2015-12-15,110199
2015-12-16,110199
2015-12-17,110199
2015-12-18,114471
2015-12-19,114471
2015-12-20,119256
2015-12-21,119256
2015-12-22,122466
2015-12-23,122466
2015-12-24,122466
2015-12-25,122358
2015-12-26,122358
2015-12-27,122358
2015-12-28,116513
2015-12-29,116513
2015-12-30,112081
2015-12-31,112081
2016-01-01,112081
2016-01-02,110480
2016-01-03,110480
2016-01-04,106652
2016-01-05,106652
2016-01-06,102966
2016-01-07,102966
2016-01-08,102966
2016-01-09,97868
2016-01-10,97868
2016-01-11,97868
2016-01-12,93260
2016-01-13,93260
2016-01-14,89020
2016-01-15,89020
2016-01-16,85143
2016-01-17,85143
2016-01-18,83407
2016-01-19,83407
2016-01-20,83407
2016-01-21,83907
2016-01-22,83907
2016-01-23,83651
2016-01-24,83651
2016-01-25,81098
2016-01-26,81098
2016-01-27,80113
2016-01-28,80113
2016-01-29,80113
2016-01-30,80113
2016-01-31,82653
2016-02-01,82653
2016-02-02,81552
2016-02-03,81552
2016-02-04,81552
2016-02-05,84596
2016-02-06,84596
2016-02-07,88312
2016-02-08,88312
2016-02-09,90994
2016-02-10,90994
2016-02-11,94859
2016-02-12,94859
2016-02-13,96114
2016-02-14,96114
2016-02-15,96114
2016-02-16,93511
2016-02-17,93511
2016-02-18,93511
2016-02-19,90756
2016-02-20,90756
2016-02-21,88346
2016-02-22,88346
2016-02-23,88346
2016-02-24,86023
2016-02-25,86023
2016-02-26,86023
2016-02-27,87553
2016-02-28,87553
2016-02-29,89427
2016-03-01,89427
2016-03-02,88924
2016-03-03,88924
2016-03-04,88924
2016-03-05,88751
2016-03-06,88751
2016-03-07,86019
2016-03-08,86019
2016-03-09,82216
2016-03-10,82216
2016-03-11,82216
2016-03-12,80701
2016-03-13,80701
2016-03-14,80701
2016-03-15,79749
2016-03-16,79749
2016-03-17,79715
2016-03-18,79715
2016-03-19,81140
2016-03-20,81140
2016-03-21,83052
2016-03-22,83052
2016-03-23,83580
2016-03-24,83580
2016-03-25,82907
2016-03-26,82907
2016-03-27,82198
2016-03-28,82198
2016-03-29,80209
2016-03-30,80209
2016-03-31,80209
2016-04-01,79250
2016-04-02,79250
2016-04-03,79685
2016-04-04,79685
2016-04-05,79685
2016-04-06,77696
2016-04-07,77696
2016-04-08,77696
2016-04-09,76521
2016-04-10,76521
2016-04-11,76521
2016-04-12,75890
2016-04-13,75890
2016-04-14,75890
2016-04-15,75222
2016-04-16,75222
2016-04-17,74437
2016-04-18,74437
2016-04-19,74421
2016-04-20,74421
2016-04-21,72792
2016-04-22,72792
2016-04-23,72792
2016-04-24,70976
2016-04-25,70976
2016-04-26,70976
2016-04-27,70763
2016-04-28,70763
2016-04-29,70763
2016-04-30,71918
2016-05-01,71918
2016-05-02,71918
2016-05-03,73187
2016-05-04,73187
2016-05-05,75236
2016-05-06,75236
2016-05-07,75236
2016-05-08,76690
2016-05-09,76690
2016-05-10,73172
2016-05-11,73172
2016-05-12,73172
2016-05-13,72037
2016-05-14,72037
2016-05-15,72234
2016-05-16,72234
2016-05-17,72234
2016-05-18,71536
2016-05-19,71536
2016-05-22,73484
2016-05-23,74911
2016-05-24,74911
2016-05-25,74911
2016-05-26,77727
2016-05-27,77727
2016-05-28,77727
2016-05-29,79482
2016-05-30,79482
2016-05-31,79482
2016-06-01,78871
