date_obj,Gnome%20goggles price
2015-03-26,83388
2015-03-27,83388
2015-03-28,83388
2015-03-29,83388
2015-03-30,83388
2015-03-31,79375
2015-04-01,79375
2015-04-02,79375
2015-04-03,79375
2015-04-04,79375
2015-04-05,79375
2015-04-06,79375
2015-04-07,79375
2015-04-08,79375
2015-04-09,79375
2015-04-10,79375
2015-04-11,79375
2015-04-12,79375
2015-04-13,79375
2015-04-14,75507
2015-04-15,75507
2015-04-16,75507
2015-04-17,75507
2015-04-18,75507
2015-04-19,75507
2015-04-20,75507
2015-04-21,75507
2015-04-22,75507
2015-04-23,75507
2015-04-24,75507
2015-04-25,75507
2015-04-26,75507
2015-04-27,75507
2015-04-28,75507
2015-04-29,75507
2015-04-30,71873
2015-05-01,71873
2015-05-02,71873
2015-05-03,71873
2015-05-04,71873
2015-05-05,71873
2015-05-06,71873
2015-05-07,71873
2015-05-08,71873
2015-05-09,71873
2015-05-10,71873
2015-05-11,71873
2015-05-12,71873
2015-05-13,68353
2015-05-14,68353
2015-05-15,68353
2015-05-16,68353
2015-05-17,68353
2015-05-18,68353
2015-05-19,68353
2015-05-20,68353
2015-05-21,68353
2015-05-22,68353
2015-05-23,68353
2015-05-24,68353
2015-05-25,68353
2015-05-26,68353
2015-05-27,68353
2015-05-28,64935
2015-05-29,64935
2015-05-30,64935
2015-05-31,64935
2015-06-01,64935
2015-06-02,64935
2015-06-03,64935
2015-06-04,64935
2015-06-05,64935
2015-06-06,64935
2015-06-07,61829
2015-06-08,61829
2015-06-09,61829
2015-06-10,61829
2015-06-11,61829
2015-06-12,61829
2015-06-13,61829
2015-06-14,61829
2015-06-15,61829
2015-06-16,61829
2015-06-17,61829
2015-06-18,58817
2015-06-19,58817
2015-06-20,58817
2015-06-21,58817
2015-06-22,58817
2015-06-23,58817
2015-06-24,58817
2015-06-25,58817
2015-06-26,58817
2015-06-27,58817
2015-06-28,58817
2015-06-29,58817
2015-06-30,55968
2015-07-01,55968
2015-07-02,55968
2015-07-03,55968
2015-07-04,55968
2015-07-05,55968
2015-07-06,55968
2015-07-07,55968
2015-07-08,55968
2015-07-09,55968
2015-07-10,55968
2015-07-11,55968
2015-07-12,53675
2015-07-13,53675
2015-07-14,53675
2015-07-15,53675
2015-07-16,53675
2015-07-17,53675
2015-07-18,53675
2015-07-19,53675
2015-07-20,53675
2015-07-21,53675
2015-07-22,51056
2015-07-23,51056
2015-07-24,51056
2015-07-25,51056
2015-07-26,51056
2015-07-27,51056
2015-07-28,51056
2015-07-29,51056
2015-07-30,51056
2015-07-31,51056
2015-08-01,48581
2015-08-02,48581
2015-08-03,48581
2015-08-04,48581
2015-08-05,48581
2015-08-06,48581
2015-08-07,48581
2015-08-08,48581
2015-08-09,47125
2015-08-10,47125
2015-08-11,47125
2015-08-12,47125
2015-08-13,47125
2015-08-14,47125
2015-08-15,47125
2015-08-16,47125
2015-08-17,47125
2015-08-18,45122
2015-08-19,45122
2015-08-20,45122
2015-08-21,45122
2015-08-22,45122
2015-08-23,45122
2015-08-24,45122
2015-08-25,45122
2015-08-26,45122
2015-08-27,45122
2015-08-28,44169
2015-08-29,44169
2015-08-30,44169
2015-08-31,44169
2015-09-01,44169
2015-09-02,44169
2015-09-03,44169
2015-09-04,44169
2015-09-05,44169
2015-09-06,44169
2015-09-07,42069
2015-09-08,42069
2015-09-09,42069
2015-09-10,42069
2015-09-11,42069
2015-09-12,42069
2015-09-13,42069
2015-09-14,42069
2015-09-15,42069
2015-09-16,42069
2015-09-17,40027
2015-09-18,40027
2015-09-19,40027
2015-09-20,40027
2015-09-21,40027
2015-09-22,40027
2015-09-23,40027
2015-09-24,40027
2015-09-25,40027
2015-09-27,38096
2015-09-28,38096
2015-09-29,38096
2015-09-30,38096
2015-10-05,38096
2015-10-06,38096
2015-10-07,36246
2015-10-08,36246
2015-10-09,36246
2015-10-10,36246
2015-10-11,36246
2015-10-12,36246
2015-10-13,36246
2015-10-14,36246
2015-10-15,36246
2015-10-16,36246
2015-10-17,34484
2015-10-18,34484
2015-10-19,34484
2015-10-20,34484
2015-10-22,34484
2015-10-23,34484
2015-10-24,34484
2015-10-25,34484
2015-10-26,34484
2015-10-27,32844
2015-10-29,32844
2015-10-30,32844
2015-10-31,32844
2015-11-01,32844
2015-11-02,32844
2015-11-03,32844
2015-11-04,32844
2015-11-05,32844
2015-11-06,32844
2015-11-07,33254
2015-11-08,33254
2015-11-09,33254
2015-11-10,33254
2015-11-11,33254
2015-11-12,33254
2015-11-13,33254
2015-11-14,33254
2015-11-15,33254
2015-11-16,33254
2015-11-17,33254
2015-11-18,33254
2015-11-19,33254
2015-11-20,33392
2015-11-21,33392
2015-11-22,33392
2015-11-23,33392
2015-11-24,33392
2015-11-25,33392
2015-11-26,33392
2015-11-27,33392
2015-11-28,33392
2015-11-29,33392
2015-11-30,33392
2015-12-01,33392
2015-12-02,32403
2015-12-03,32403
2015-12-04,32403
2015-12-05,32403
2015-12-06,32403
2015-12-07,32403
2015-12-08,32403
2015-12-09,32403
2015-12-10,32403
2015-12-11,32403
2015-12-12,32403
2015-12-13,30929
2015-12-14,30929
2015-12-15,30929
2015-12-16,30929
2015-12-17,30929
2015-12-18,30929
2015-12-19,30929
2015-12-20,30929
2015-12-21,30929
2015-12-22,30929
2015-12-23,30929
2015-12-24,30041
2015-12-25,30041
2015-12-26,30041
2015-12-27,30041
2015-12-28,30041
2015-12-29,30041
2015-12-30,30041
2015-12-31,30041
2016-01-01,30041
2016-01-02,30041
2016-01-03,28634
2016-01-04,28634
2016-01-05,28634
2016-01-06,28634
2016-01-07,28634
2016-01-08,28634
2016-01-09,28634
2016-01-10,28634
2016-01-11,28634
2016-01-12,27238
2016-01-13,27238
2016-01-14,27238
2016-01-15,27238
2016-01-16,27238
2016-01-17,27238
2016-01-18,27238
2016-01-19,27238
2016-01-20,25949
2016-01-21,25949
2016-01-22,25949
2016-01-23,25949
2016-01-24,25949
2016-01-25,25949
2016-01-26,25949
2016-01-27,25949
2016-01-28,25949
2016-01-29,25949
2016-01-30,24835
2016-01-31,24835
2016-02-01,24835
2016-02-02,24835
2016-02-03,24835
2016-02-04,24835
2016-02-05,24835
2016-02-06,24835
2016-02-07,24835
2016-02-08,24835
2016-02-09,24808
2016-02-10,24808
2016-02-11,24808
2016-02-12,24808
2016-02-13,24808
2016-02-14,24808
2016-02-15,24808
2016-02-16,24808
2016-02-17,24808
2016-02-18,24808
2016-02-19,24949
2016-02-20,24949
2016-02-21,24949
2016-02-22,24949
2016-02-23,24949
2016-02-24,24949
2016-02-25,24949
2016-02-26,24949
2016-02-27,24949
2016-02-28,24949
2016-02-29,24953
2016-03-01,24953
2016-03-02,24953
2016-03-03,24953
2016-03-04,24953
2016-03-05,24953
2016-03-06,24953
2016-03-07,24953
2016-03-08,24953
2016-03-09,24953
2016-03-10,24466
2016-03-11,24466
2016-03-12,24466
2016-03-13,24466
2016-03-14,24466
2016-03-15,24466
2016-03-16,24466
2016-03-17,24466
2016-03-18,24466
2016-03-19,24466
2016-03-20,25467
2016-03-21,25467
2016-03-22,25467
2016-03-23,25467
2016-03-24,25467
2016-03-25,25467
2016-03-26,25467
2016-03-27,25467
2016-03-28,25467
2016-03-29,25467
2016-03-30,25467
2016-03-31,26672
2016-04-01,26672
2016-04-02,26672
2016-04-03,26672
2016-04-04,26672
2016-04-05,26672
2016-04-06,26672
2016-04-07,26672
2016-04-08,26672
2016-04-09,26672
2016-04-10,26672
2016-04-11,26672
2016-04-12,27771
2016-04-13,27771
2016-04-14,27771
2016-04-15,27771
2016-04-16,27771
2016-04-17,27771
2016-04-18,27771
2016-04-19,27771
2016-04-20,27771
2016-04-21,27771
2016-04-22,27771
2016-04-23,27771
2016-04-24,27262
2016-04-25,27262
2016-04-26,27262
2016-04-27,27262
2016-04-28,27262
2016-04-29,27262
2016-04-30,27262
2016-05-01,27262
2016-05-02,27262
2016-05-03,27262
2016-05-04,27262
2016-05-05,27685
2016-05-06,27685
2016-05-07,27685
2016-05-08,27685
2016-05-09,27685
2016-05-10,27685
2016-05-11,27685
2016-05-12,27685
2016-05-13,27685
2016-05-14,27685
2016-05-15,27685
2016-05-16,28370
2016-05-17,28370
2016-05-18,28370
2016-05-19,28370
2016-05-22,28370
2016-05-23,28370
2016-05-24,28370
2016-05-25,28370
2016-05-26,28370
2016-05-27,28831
2016-05-28,28831
2016-05-29,28831
2016-05-30,28831
2016-05-31,28831
2016-06-01,28831
2016-06-02,28831
2016-06-03,28831
2016-06-04,28831
2016-06-05,28831
2016-06-06,27785
2016-06-07,27785
2016-06-08,27785
2016-06-09,27785
2016-06-10,27785
2016-06-11,27785
2016-06-12,27785
2016-06-13,27785
2016-06-14,27785
2016-06-15,26786
2016-06-16,26786
2016-06-17,26786
2016-06-18,26786
2016-06-19,26786
2016-06-20,26786
2016-06-21,26786
2016-06-22,26786
2016-06-23,26786
2016-06-24,25497
2016-06-25,25497
2016-06-26,25497
2016-06-27,25497
2016-06-28,25497
2016-06-29,25497
2016-06-30,25497
2016-07-01,25497
2016-07-02,25497
2016-07-03,25497
2016-07-04,24270
2016-07-05,24270
2016-07-06,24270
2016-07-07,24270
2016-07-08,24270
2016-07-09,24270
2016-07-10,24270
2016-07-11,24270
2016-07-12,23203
2016-07-13,23203
2016-07-14,23203
2016-07-15,23203
2016-07-16,23203
2016-07-17,23203
2016-07-18,23203
2016-07-23,23203
2016-07-24,22330
2016-07-25,22330
2016-07-26,22330
2016-07-27,22330
2016-07-28,22330
2016-07-29,22330
2016-07-30,22330
2016-07-31,22330
2016-08-01,22330
2016-08-02,22330
2016-08-03,22330
2016-08-04,22330
2016-08-05,22330
2016-08-06,22330
2016-08-07,21960
2016-08-08,21960
2016-08-09,21960
2016-08-10,21960
2016-08-11,21960
2016-08-12,21960
2016-08-13,21960
2016-08-14,21960
2016-08-15,21960
2016-08-16,21960
2016-08-17,21960
2016-08-18,21960
2016-08-19,20983
2016-08-20,20983
2016-08-21,20983
2016-08-22,20983
2016-08-23,20983
2016-08-24,20983
2016-08-25,20983
2016-08-26,20983
2016-08-28,20983
2016-08-31,20983
2016-09-01,20464
2016-09-02,20464
2016-09-03,20464
2016-09-04,20464
2016-09-05,20464
2016-09-06,20464
2016-09-07,20464
2016-09-08,20464
2016-09-09,20464
2016-09-10,20464
2016-09-11,20464
2016-09-12,20464
2016-09-13,20464
2016-09-14,19906
2016-09-15,19906
2016-09-16,19906
2016-09-17,19906
2016-09-18,19906
2016-09-19,19906
2016-09-20,19906
2016-09-21,19906
2016-09-22,19906
2016-09-23,19906
