date_obj,Ensouled%20aviansie%20head price
2016-01-07,6088
2016-01-08,6393
2016-01-09,6630
2016-01-10,6600
2016-01-11,6418
2016-01-12,6612
2016-01-13,6612
2016-01-14,6718
2016-01-15,7054
2016-01-16,7286
2016-01-17,7082
2016-01-18,7092
2016-01-19,7142
2016-01-20,7044
2016-01-21,6736
2016-01-22,6727
2016-01-23,6552
2016-01-24,6224
2016-01-25,6034
2016-01-26,5744
2016-01-27,5619
2016-01-28,5619
2016-01-29,5665
2016-01-30,5665
2016-01-31,5903
2016-02-01,6098
2016-02-02,6403
2016-02-03,6724
2016-02-04,7049
2016-02-05,7049
2016-02-06,7346
2016-02-07,7144
2016-02-08,7224
2016-02-09,7293
2016-02-10,7413
2016-02-11,7178
2016-02-12,7178
2016-02-13,7141
2016-02-14,7141
2016-02-15,7125
2016-02-16,7101
2016-02-17,7103
2016-02-18,7103
2016-02-19,6871
2016-02-20,7042
2016-02-21,7358
2016-02-22,7358
2016-02-23,7501
2016-02-24,7581
2016-02-25,7708
2016-02-26,7708
2016-02-27,7917
2016-02-28,8281
2016-02-29,8477
2016-03-01,8633
2016-03-02,8637
2016-03-03,8768
2016-03-04,8883
2016-03-05,8658
2016-03-06,8535
2016-03-07,8807
2016-03-08,8689
2016-03-09,8773
2016-03-10,8832
2016-03-11,8850
2016-03-12,8911
2016-03-13,9357
2016-03-14,9645
2016-03-15,9912
2016-03-16,9770
2016-03-17,9426
2016-03-18,8981
2016-03-19,8601
2016-03-20,8193
2016-03-21,8190
2016-03-22,8131
2016-03-23,8082
2016-03-24,8133
2016-03-25,8219
2016-03-26,8293
2016-03-27,8403
2016-03-28,8427
2016-03-29,8478
2016-03-30,8478
2016-03-31,8123
2016-04-01,7790
2016-04-02,7494
2016-04-03,7135
2016-04-04,7161
2016-04-05,7149
2016-04-06,7339
2016-04-07,7501
2016-04-08,7531
2016-04-09,7571
2016-04-10,7592
2016-04-11,7592
2016-04-12,7586
2016-04-13,7285
2016-04-14,7066
2016-04-15,6766
2016-04-16,6910
2016-04-17,7124
2016-04-18,7185
2016-04-19,7380
2016-04-20,7291
2016-04-21,7099
2016-04-22,7099
2016-04-23,7002
2016-04-24,6938
2016-04-25,6952
2016-04-26,6930
2016-04-27,6967
2016-04-28,6838
2016-04-29,6577
2016-04-30,6310
2016-05-01,6509
2016-05-02,6668
2016-05-03,7002
2016-05-04,7353
2016-05-05,7665
2016-05-06,7665
2016-05-07,7595
2016-05-08,7321
2016-05-09,7047
2016-05-10,7103
2016-05-11,6915
2016-05-12,7101
2016-05-13,7457
2016-05-14,7503
2016-05-15,7160
2016-05-16,6973
2016-05-17,6894
2016-05-18,6717
2016-05-19,6717
2016-05-22,6696
2016-05-23,6879
2016-05-24,7046
2016-05-25,6697
2016-05-26,6433
2016-05-27,6184
2016-05-28,6184
2016-05-29,6236
2016-05-30,6236
2016-05-31,6548
2016-06-01,6797
2016-06-02,6540
2016-06-03,6504
2016-06-04,6289
2016-06-05,5995
2016-06-06,5760
2016-06-07,5760
2016-06-08,5751
2016-06-09,5665
2016-06-10,5911
2016-06-11,6140
2016-06-12,6157
2016-06-13,5962
2016-06-14,6116
2016-06-15,6261
2016-06-16,6314
2016-06-17,6594
2016-06-18,6732
2016-06-19,6997
2016-06-20,7336
2016-06-21,7039
2016-06-22,7039
2016-06-23,7064
2016-06-24,7196
2016-06-25,6883
2016-06-26,6780
2016-06-27,6445
2016-06-28,6650
2016-06-29,6856
2016-06-30,7199
2016-07-01,7494
2016-07-02,7148
2016-07-03,6921
2016-07-04,6733
2016-07-05,6791
2016-07-06,7044
2016-07-07,7125
2016-07-08,7159
2016-07-09,7162
2016-07-10,7477
2016-07-11,7515
2016-07-12,7723
2016-07-13,7768
2016-07-14,7934
2016-07-15,8049
2016-07-16,8228
2016-07-17,8479
2016-07-18,8271
2016-07-23,7723
2016-07-24,7792
