date_obj,Dragon%20med%20helm price
2015-03-26,62158
2015-03-27,62158
2015-03-28,61971
2015-03-29,62255
2015-03-30,62281
2015-03-31,62637
2015-04-01,62684
2015-04-02,62532
2015-04-03,62544
2015-04-04,62472
2015-04-05,62917
2015-04-06,62190
2015-04-07,62078
2015-04-08,61216
2015-04-09,60662
2015-04-10,61991
2015-04-11,62575
2015-04-12,62565
2015-04-13,62831
2015-04-14,62716
2015-04-15,63429
2015-04-16,63327
2015-04-17,63219
2015-04-18,62377
2015-04-19,62291
2015-04-20,62737
2015-04-21,63283
2015-04-22,63639
2015-04-23,63813
2015-04-24,64070
2015-04-25,63759
2015-04-26,63101
2015-04-27,63735
2015-04-28,63495
2015-04-29,63067
2015-04-30,62923
2015-05-01,62704
2015-05-02,61815
2015-05-03,61528
2015-05-04,62068
2015-05-05,61906
2015-05-06,61882
2015-05-07,61976
2015-05-08,61841
2015-05-09,61675
2015-05-10,61482
2015-05-11,61397
2015-05-12,61920
2015-05-13,62520
2015-05-14,62519
2015-05-15,62173
2015-05-16,61190
2015-05-17,61581
2015-05-18,62066
2015-05-19,62092
2015-05-20,62418
2015-05-21,63780
2015-05-22,63895
2015-05-23,62263
2015-05-24,62266
2015-05-25,62651
2015-05-26,63283
2015-05-27,63831
2015-05-28,63680
2015-05-29,64019
2015-05-30,63517
2015-05-31,62982
2015-06-01,62805
2015-06-02,62811
2015-06-03,62970
2015-06-04,63243
2015-06-05,63634
2015-06-06,63551
2015-06-07,63459
2015-06-08,62716
2015-06-09,62960
2015-06-10,62932
2015-06-11,62307
2015-06-12,62249
2015-06-13,62476
2015-06-14,62162
2015-06-15,62284
2015-06-16,62602
2015-06-17,62809
2015-06-18,62645
2015-06-19,62567
2015-06-20,62522
2015-06-21,61891
2015-06-22,61834
2015-06-23,62125
2015-06-24,62085
2015-06-25,61627
2015-06-26,62113
2015-06-27,62467
2015-06-28,62415
2015-06-29,61924
2015-06-30,61777
2015-07-01,62077
2015-07-02,62270
2015-07-03,62241
2015-07-04,61312
2015-07-05,61872
2015-07-06,62004
2015-07-07,62139
2015-07-08,62272
2015-07-09,62318
2015-07-10,62609
2015-07-11,61955
2015-07-12,61472
2015-07-13,62149
2015-07-14,62125
2015-07-15,61980
2015-07-16,61913
2015-07-17,61945
2015-07-18,61309
2015-07-19,61532
2015-07-20,62086
2015-07-21,62267
2015-07-22,62528
2015-07-23,62432
2015-07-24,62055
2015-07-25,62455
2015-07-26,62073
2015-07-27,62367
2015-07-28,62734
2015-07-29,62625
2015-07-30,62374
2015-07-31,61441
2015-08-01,61940
2015-08-02,62368
2015-08-03,61935
2015-08-04,62154
2015-08-05,62241
2015-08-06,62397
2015-08-07,62538
2015-08-08,62678
2015-08-09,62327
2015-08-10,62956
2015-08-11,62971
2015-08-12,62682
2015-08-13,62441
2015-08-14,62793
2015-08-15,62175
2015-08-16,61630
2015-08-17,62175
2015-08-18,62026
2015-08-19,61853
2015-08-20,61294
2015-08-21,61808
2015-08-22,61967
2015-08-23,61482
2015-08-24,61742
2015-08-25,60884
2015-08-26,61398
2015-08-27,61743
2015-08-28,62172
2015-08-29,61878
2015-08-30,61787
2015-08-31,62341
2015-09-01,63046
2015-09-02,63645
2015-09-03,63710
2015-09-04,64093
2015-09-05,63886
2015-09-06,64379
2015-09-07,63579
2015-09-08,64041
2015-09-09,64479
2015-09-10,64732
2015-09-11,64300
2015-09-12,63929
2015-09-13,62654
2015-09-14,61851
2015-09-15,62091
2015-09-16,62303
2015-09-17,62760
2015-09-18,63005
2015-09-19,63448
2015-09-20,63935
2015-09-21,63923
2015-09-22,63708
2015-09-23,64334
2015-09-24,64945
2015-09-25,64137
2015-09-27,63837
2015-09-28,63677
2015-09-29,62773
2015-09-30,63074
2015-10-05,62070
2015-10-06,63178
2015-10-07,62957
2015-10-08,63850
2015-10-09,63489
2015-10-10,61699
2015-10-11,61795
2015-10-12,61402
2015-10-13,60464
2015-10-14,61073
2015-10-15,61621
2015-10-16,61412
2015-10-17,61166
2015-10-18,61034
2015-10-19,62075
2015-10-20,62878
2015-10-22,63404
2015-10-23,63620
2015-10-24,63758
2015-10-25,63821
2015-10-26,63177
2015-10-27,63342
2015-10-29,63545
2015-10-30,64134
2015-10-31,63945
2015-11-01,64080
2015-11-02,64292
2015-11-03,64662
2015-11-04,64568
2015-11-05,64265
2015-11-06,64613
2015-11-07,64607
2015-11-08,64262
2015-11-09,63885
2015-11-10,63996
2015-11-11,63681
2015-11-12,63624
2015-11-13,62797
2015-11-14,63072
2015-11-15,63288
2015-11-16,63323
2015-11-17,63942
2015-11-18,63776
2015-11-19,64321
2015-11-20,64199
2015-11-21,63884
2015-11-22,63810
2015-11-23,63410
2015-11-24,63365
2015-11-25,62738
2015-11-26,62863
2015-11-27,62960
2015-11-28,62829
2015-11-29,62145
2015-11-30,61938
2015-12-01,62443
2015-12-02,62368
2015-12-03,62590
2015-12-04,61434
2015-12-05,61772
2015-12-06,61470
2015-12-07,60915
2015-12-08,61868
2015-12-09,62015
2015-12-10,61657
2015-12-11,62069
2015-12-12,61890
2015-12-13,61459
2015-12-14,61184
2015-12-15,61385
2015-12-16,61248
2015-12-17,61149
2015-12-18,61865
2015-12-19,61045
2015-12-20,61212
2015-12-21,61338
2015-12-22,61262
2015-12-23,61720
2015-12-24,62060
2015-12-25,62286
2015-12-26,62722
2015-12-27,61896
2015-12-28,61152
2015-12-29,61429
2015-12-30,61858
2015-12-31,62183
2016-01-01,62049
2016-01-02,61386
2016-01-03,60593
2016-01-04,60335
2016-01-05,60200
2016-01-06,60866
2016-01-07,61346
2016-01-08,61502
2016-01-09,61576
2016-01-10,61268
2016-01-11,61521
2016-01-12,61253
2016-01-13,62203
2016-01-14,62345
