date_obj,Guthan's%20platebody price
2015-03-26,203938
2015-03-27,203938
2015-03-28,208775
2015-03-29,204872
2015-03-30,203602
2015-03-31,203602
2015-04-01,204132
2015-04-02,202320
2015-04-03,212436
2015-04-04,217105
2015-04-05,217105
2015-04-06,216913
2015-04-07,210329
2015-04-08,210329
2015-04-09,210414
2015-04-10,209279
2015-04-11,206065
2015-04-12,200297
2015-04-13,198395
2015-04-14,198395
2015-04-15,208315
2015-04-16,208315
2015-04-17,218731
2015-04-18,229355
2015-04-19,239787
2015-04-20,239787
2015-04-21,251775
2015-04-22,251775
2015-04-23,264364
2015-04-24,264364
2015-04-25,277230
2015-04-26,277230
2015-04-27,282249
2015-04-28,276157
2015-04-29,276157
2015-04-30,271664
2015-05-01,270052
2015-05-02,271209
2015-05-03,271209
2015-05-04,268198
2015-05-05,268198
2015-05-06,273375
2015-05-07,273375
2015-05-08,265709
2015-05-09,261550
2015-05-10,261550
2015-05-11,255661
2015-05-12,256342
2015-05-13,256342
2015-05-14,260938
2015-05-15,260938
2015-05-16,247894
2015-05-17,243769
2015-05-18,243769
2015-05-19,240563
2015-05-20,240563
2015-05-21,229344
2015-05-22,217908
2015-05-23,217908
2015-05-24,216368
2015-05-25,225711
2015-05-26,225711
2015-05-27,232712
2015-05-28,235588
2015-05-29,231880
2015-05-30,234224
2015-05-31,226883
2015-06-01,222876
2015-06-02,222876
2015-06-03,221464
2015-06-04,218169
2015-06-05,220368
2015-06-06,226923
2015-06-07,236709
2015-06-08,240816
2015-06-09,238799
2015-06-10,233184
2015-06-11,233184
2015-06-12,230484
2015-06-13,233809
2015-06-14,245500
2015-06-15,256580
2015-06-16,269034
2015-06-17,270452
2015-06-18,274787
2015-06-19,270087
2015-06-20,267914
2015-06-21,267914
2015-06-22,266516
2015-06-23,277364
2015-06-24,279146
2015-06-25,279146
2015-06-26,273862
2015-06-27,273862
2015-06-28,268495
2015-06-29,268495
2015-06-30,256208
2015-07-01,247499
2015-07-02,247499
2015-07-03,239656
2015-07-04,233342
2015-07-05,224799
2015-07-06,231745
2015-07-07,236522
2015-07-08,247455
2015-07-09,247455
2015-07-10,258715
2015-07-11,258715
2015-07-12,264623
2015-07-13,270363
2015-07-14,283824
2015-07-15,297953
2015-07-16,298227
2015-07-17,299016
2015-07-18,299016
2015-07-19,299585
2015-07-20,298624
2015-07-21,293641
2015-07-22,285926
2015-07-23,285926
2015-07-24,292526
2015-07-25,292526
2015-07-26,301031
2015-07-27,309030
2015-07-28,315829
2015-07-29,313821
2015-07-30,313821
2015-07-31,322582
2015-08-01,337796
2015-08-02,354645
2015-08-03,352742
2015-08-04,347809
2015-08-05,339927
2015-08-06,323044
2015-08-07,313089
2015-08-08,310097
2015-08-09,300141
2015-08-10,298286
2015-08-11,294751
2015-08-12,294751
2015-08-13,290680
2015-08-14,287173
2015-08-15,287173
2015-08-16,300486
2015-08-17,314202
