date_obj,Ring%20of%20the%20gods price
2015-03-26,7085000
2015-03-27,7085000
2015-03-28,7085000
2015-03-29,7085000
2015-03-30,7085000
2015-03-31,7085000
2015-04-01,7085000
2015-04-02,7085000
2015-04-03,7085000
2015-04-04,7378435
2015-04-05,7378435
2015-04-06,7378435
2015-04-07,7378435
2015-04-08,7378435
2015-04-09,7378435
2015-04-10,7378435
2015-04-11,7378435
2015-04-12,7378435
2015-04-13,7378435
2015-04-14,7378435
2015-04-15,7378435
2015-04-16,7378435
2015-04-17,7378435
2015-04-18,7378435
2015-04-19,7378435
2015-04-20,7378435
2015-04-21,7378435
2015-04-22,7378435
2015-04-23,7378435
2015-04-24,7378435
2015-04-25,7378435
2015-04-26,7378435
2015-04-27,7378435
2015-04-28,7378435
2015-04-29,7378435
2015-04-30,7378435
2015-05-01,7378435
2015-05-02,7378435
2015-05-03,7378435
2015-05-04,7629817
2015-05-05,7629817
2015-05-06,7629817
2015-05-07,7629817
2015-05-08,7629817
2015-05-09,7629817
2015-05-10,7629817
2015-05-11,7629817
2015-05-12,7629817
2015-05-13,7629817
2015-05-14,7629817
2015-05-15,7629817
2015-05-16,7629817
2015-05-17,7964054
2015-05-18,7964054
2015-05-19,7964054
2015-05-20,7964054
2015-05-21,7964054
2015-05-22,7964054
2015-05-23,7964054
2015-05-24,7964054
2015-05-25,7964054
2015-05-26,7964054
2015-05-27,7964054
2015-05-28,8304216
2015-05-29,8304216
2015-05-30,8304216
2015-05-31,8304216
2015-06-01,8304216
2015-06-02,8304216
2015-06-03,8304216
2015-06-04,8304216
2015-06-05,8304216
2015-06-06,8304216
2015-06-07,8668392
2015-06-08,8668392
2015-06-09,8668392
2015-06-10,8668392
2015-06-11,8668392
2015-06-12,8668392
2015-06-13,8668392
2015-06-14,8668392
2015-06-15,8668392
2015-06-16,8668392
2015-06-17,8668392
2015-06-18,8668392
2015-06-19,8668392
2015-06-20,9054834
2015-06-21,9054834
2015-06-22,9054834
2015-06-23,9054834
2015-06-24,9054834
2015-06-25,9054834
2015-06-26,9054834
2015-06-27,9054834
2015-06-28,9054834
2015-06-29,9054834
2015-06-30,9054834
2015-07-01,9054834
2015-07-02,9460416
2015-07-03,9460416
2015-07-04,9460416
2015-07-05,9460416
2015-07-06,9460416
2015-07-07,9460416
2015-07-08,9460416
2015-07-09,9460416
2015-07-10,9460416
2015-07-11,9460416
2015-07-12,9877067
2015-07-13,9877067
2015-07-14,9877067
2015-07-15,9877067
2015-07-16,9877067
2015-07-17,9877067
2015-07-18,9877067
2015-07-19,9877067
2015-07-20,9877067
2015-07-21,9877067
2015-07-22,10303185
2015-07-23,10303185
2015-07-24,10303185
2015-07-25,10303185
2015-07-26,10303185
2015-07-27,10303185
2015-07-28,10303185
2015-07-29,10303185
2015-07-30,10303185
2015-07-31,10753397
2015-08-01,10753397
2015-08-02,10753397
2015-08-03,10753397
2015-08-04,10753397
2015-08-05,10753397
2015-08-06,10753397
2015-08-07,10753397
2015-08-08,10753397
2015-08-09,10753397
2015-08-10,10753397
2015-08-11,11224755
2015-08-12,11224755
2015-08-13,11224755
2015-08-14,11224755
2015-08-15,11224755
2015-08-16,11224755
2015-08-17,11224755
2015-08-18,11224755
2015-08-19,11224755
2015-08-20,11224755
2015-08-21,11224755
2015-08-22,11729801
2015-08-23,11729801
2015-08-24,11729801
2015-08-25,11729801
2015-08-26,11729801
2015-08-27,11729801
2015-08-28,11729801
2015-08-29,11729801
2015-08-30,11729801
2015-08-31,11729801
2015-09-01,11729801
2015-09-02,11729801
2015-09-03,12267865
2015-09-04,12267865
2015-09-05,12267865
2015-09-06,12267865
2015-09-07,12267865
2015-09-08,12267865
2015-09-09,12267865
2015-09-10,12267865
2015-09-11,12267865
2015-09-12,12267865
2015-09-13,12267865
2015-09-14,12816499
2015-09-15,12816499
2015-09-16,12816499
2015-09-17,12816499
2015-09-18,12816499
2015-09-19,12816499
2015-09-20,12816499
2015-09-21,12816499
2015-09-22,12816499
2015-09-23,12816499
2015-09-24,12816499
2015-09-25,12816499
2015-09-27,13411687
2015-09-28,13411687
2015-09-29,13411687
2015-09-30,13411687
2015-10-05,13411687
2015-10-06,13411687
2015-10-07,13411687
2015-10-08,13411687
2015-10-09,13411687
2015-10-10,13411687
2015-10-11,13411687
2015-10-12,13195529
2015-10-13,13195529
2015-10-14,13195529
2015-10-15,13195529
2015-10-16,13195529
2015-10-17,13195529
2015-10-18,13195529
2015-10-19,13195529
2015-10-20,13195529
2015-10-22,13195529
2015-10-23,13195529
2015-10-24,13195529
2015-10-25,13195529
2015-10-26,13195529
2015-10-27,12995660
2015-10-29,12995660
2015-10-30,12995660
2015-10-31,12995660
2015-11-01,12995660
2015-11-02,12995660
2015-11-03,12995660
2015-11-04,12995660
2015-11-05,12995660
2015-11-06,12995660
2015-11-07,12995660
2015-11-08,12995660
2015-11-09,12995660
2015-11-10,12995660
2015-11-11,12995660
2015-11-12,12820688
2015-11-13,12820688
2015-11-14,12820688
2015-11-15,12820688
2015-11-16,12820688
2015-11-17,12820688
2015-11-18,12820688
2015-11-19,12820688
2015-11-20,12820688
2015-11-21,12820688
2015-11-22,12820688
2015-11-23,12820688
2015-11-24,12820688
2015-11-25,12820688
2015-11-26,12820688
2015-11-27,12260117
2015-11-28,12260117
2015-11-29,12260117
2015-11-30,12260117
2015-12-01,12260117
2015-12-02,12260117
2015-12-03,12260117
2015-12-04,12260117
2015-12-05,12260117
2015-12-06,12260117
2015-12-07,12260117
2015-12-08,12260117
2015-12-09,12053680
2015-12-10,12053680
2015-12-11,12053680
2015-12-12,12053680
2015-12-13,12053680
2015-12-14,12053680
2015-12-15,12053680
2015-12-16,12053680
2015-12-17,12053680
2015-12-18,12053680
2015-12-19,12053680
2015-12-20,12053680
2015-12-21,12595256
2015-12-22,12595256
2015-12-23,12595256
2015-12-24,12595256
2015-12-25,12595256
2015-12-26,12595256
2015-12-27,12595256
2015-12-28,12595256
2015-12-29,12595256
2015-12-30,12595256
2015-12-31,12595256
2016-01-01,12595256
2016-01-02,12595256
2016-01-03,13170245
2016-01-04,13170245
2016-01-05,13170245
2016-01-06,13170245
2016-01-07,13170245
2016-01-08,13170245
2016-01-09,13170245
2016-01-10,13170245
2016-01-11,13170245
2016-01-12,13170245
