date_obj,Trout price
2015-03-26,24
2015-03-27,25
2015-03-28,26
2015-03-29,26
2015-03-30,25
2015-03-31,23
2015-04-01,22
2015-04-02,20
2015-04-03,20
2015-04-04,20
2015-04-05,20
2015-04-06,20
2015-04-07,20
2015-04-08,20
2015-04-09,20
2015-04-10,20
2015-04-11,20
2015-04-12,20
2015-04-13,20
2015-04-14,21
2015-04-15,22
2015-04-16,23
2015-04-17,24
2015-04-18,25
2015-04-19,25
2015-04-20,25
2015-04-21,25
2015-04-22,26
2015-04-23,26
2015-04-24,27
2015-04-25,27
2015-04-26,27
2015-04-27,27
2015-04-28,27
2015-04-29,27
2015-04-30,27
2015-05-01,27
2015-05-02,27
2015-05-03,27
2015-05-04,27
2015-05-05,27
2015-05-06,27
2015-05-07,28
2015-05-08,28
2015-05-09,29
2015-05-10,29
2015-05-11,29
2015-05-12,29
2015-05-13,30
2015-05-14,30
2015-05-15,31
2015-05-16,31
2015-05-17,31
2015-05-18,31
2015-05-19,31
2015-05-20,31
2015-05-21,31
2015-05-22,32
2015-05-23,32
2015-05-24,33
2015-05-25,34
2015-05-26,34
2015-05-27,34
2015-05-28,34
2015-05-29,33
2015-05-30,32
2015-05-31,31
2015-06-01,30
2015-06-02,30
2015-06-03,30
2015-06-04,30
2015-06-05,30
2015-06-06,30
2015-06-07,29
2015-06-08,27
2015-06-09,26
2015-06-10,26
2015-06-11,26
2015-06-12,26
2015-06-13,27
2015-06-14,28
2015-06-15,29
2015-06-16,30
2015-06-17,31
2015-06-18,32
2015-06-19,33
2015-06-20,33
2015-06-21,34
2015-06-22,34
2015-06-23,33
2015-06-24,31
2015-06-25,31
2015-06-26,30
2015-06-27,30
2015-06-28,29
2015-06-29,29
2015-06-30,29
2015-07-01,29
2015-07-02,29
2015-07-03,30
2015-07-04,31
2015-07-05,32
2015-07-06,33
2015-07-07,34
2015-07-08,35
2015-07-09,36
2015-07-10,37
2015-07-11,37
2015-07-12,38
2015-07-13,40
2015-07-14,42
2015-07-15,44
2015-07-16,46
2015-07-17,47
2015-07-18,49
2015-07-19,48
2015-07-20,47
2015-07-21,46
2015-07-22,45
2015-07-23,43
2015-07-24,43
2015-07-25,42
2015-07-26,40
2015-07-27,39
2015-07-28,38
2015-07-29,37
2015-07-30,36
2015-07-31,35
2015-08-01,34
2015-08-02,34
2015-08-03,34
2015-08-04,33
2015-08-05,32
2015-08-06,32
2015-08-07,31
2015-08-08,31
2015-08-09,31
2015-08-10,31
2015-08-11,31
2015-08-12,31
2015-08-13,31
2015-08-14,32
2015-08-15,33
2015-08-16,34
2015-08-17,35
2015-08-18,36
2015-08-19,37
2015-08-20,38
2015-08-21,39
2015-08-22,40
2015-08-23,41
2015-08-24,42
2015-08-25,43
2015-08-26,44
2015-08-27,43
2015-08-28,45
2015-08-29,45
2015-08-30,45
2015-08-31,44
2015-09-01,43
2015-09-02,42
2015-09-03,42
2015-09-04,42
2015-09-05,44
2015-09-06,44
2015-09-07,44
2015-09-08,44
2015-09-09,45
2015-09-10,44
2015-09-11,44
2015-09-12,43
2015-09-13,42
2015-09-14,41
2015-09-15,40
2015-09-16,39
2015-09-17,39
2015-09-18,39
2015-09-19,38
2015-09-20,37
2015-09-21,36
2015-09-22,35
2015-09-23,35
2015-09-24,34
2015-09-25,34
2015-09-27,34
2015-09-28,35
2015-09-29,35
2015-09-30,36
2015-10-05,36
2015-10-06,36
2015-10-07,36
2015-10-08,36
2015-10-09,36
2015-10-10,37
2015-10-11,37
2015-10-12,37
2015-10-13,37
2015-10-14,37
2015-10-15,37
2015-10-16,37
2015-10-17,37
2015-10-18,36
2015-10-19,35
2015-10-20,34
2015-10-22,33
2015-10-23,34
2015-10-24,34
2015-10-25,34
2015-10-26,34
2015-10-27,35
2015-10-29,35
2015-10-30,36
2015-10-31,36
2015-11-01,36
2015-11-02,36
2015-11-03,36
2015-11-04,35
2015-11-05,35
2015-11-06,34
2015-11-07,34
2015-11-08,33
2015-11-09,33
2015-11-10,33
2015-11-11,33
2015-11-12,33
2015-11-13,33
2015-11-14,32
2015-11-15,32
2015-11-16,32
2015-11-17,32
2015-11-18,31
2015-11-19,31
2015-11-20,30
2015-11-21,30
2015-11-22,29
2015-11-23,27
2015-11-24,26
2015-11-25,26
2015-11-26,26
2015-11-27,26
2015-11-28,26
2015-11-29,27
2015-11-30,28
2015-12-01,29
2015-12-02,30
2015-12-03,31
