date_obj,Cured%20yak-hide price
2015-03-26,486
2015-03-27,486
2015-03-28,486
2015-03-29,486
2015-03-30,486
2015-03-31,486
2015-04-01,486
2015-04-02,486
2015-04-03,486
2015-04-04,486
2015-04-05,486
2015-04-06,486
2015-04-07,486
2015-04-08,486
2015-04-09,486
2015-04-10,486
2015-04-11,486
2015-04-12,486
2015-04-13,473
2015-04-14,473
2015-04-15,473
2015-04-16,473
2015-04-17,473
2015-04-18,473
2015-04-19,473
2015-04-20,473
2015-04-21,473
2015-04-22,473
2015-04-23,473
2015-04-24,473
2015-04-25,473
2015-04-26,473
2015-04-27,473
2015-04-28,473
2015-04-29,473
2015-04-30,473
2015-05-01,473
2015-05-02,473
2015-05-03,473
2015-05-04,473
2015-05-05,473
2015-05-06,473
2015-05-07,473
2015-05-08,473
2015-05-09,461
2015-05-10,461
2015-05-11,461
2015-05-12,461
2015-05-13,461
2015-05-14,461
2015-05-15,461
2015-05-16,461
2015-05-17,461
2015-05-18,461
2015-05-19,461
2015-05-20,461
2015-05-21,461
2015-05-22,461
2015-05-23,461
2015-05-24,461
2015-05-25,461
2015-05-26,461
2015-05-27,461
2015-05-28,447
2015-05-29,447
2015-05-30,447
2015-05-31,447
2015-06-01,447
2015-06-02,447
2015-06-03,447
2015-06-04,447
2015-06-05,447
2015-06-06,447
2015-06-07,447
2015-06-08,447
2015-06-09,447
2015-06-10,447
2015-06-11,447
2015-06-12,447
2015-06-13,447
2015-06-14,447
2015-06-15,447
2015-06-16,447
2015-06-17,439
2015-06-18,439
2015-06-19,439
2015-06-20,439
2015-06-21,439
2015-06-22,439
2015-06-23,439
2015-06-24,439
2015-06-25,439
2015-06-26,439
2015-06-27,439
2015-06-28,439
2015-06-29,439
2015-06-30,439
2015-07-01,439
2015-07-02,439
2015-07-03,439
2015-07-04,439
2015-07-05,439
2015-07-06,439
2015-07-07,439
2015-07-08,439
2015-07-09,431
2015-07-10,431
2015-07-11,431
2015-07-12,431
2015-07-13,431
2015-07-14,431
2015-07-15,431
2015-07-16,431
2015-07-17,431
2015-07-18,431
2015-07-19,431
2015-07-20,431
2015-07-21,431
2015-07-22,431
2015-07-23,431
2015-07-24,431
2015-07-25,431
2015-07-26,431
2015-07-27,431
2015-07-28,431
2015-07-29,431
2015-07-30,431
2015-07-31,428
2015-08-01,428
2015-08-02,428
2015-08-03,428
2015-08-04,428
2015-08-05,428
2015-08-06,428
2015-08-07,428
2015-08-08,428
2015-08-09,428
2015-08-10,428
2015-08-11,428
2015-08-12,428
2015-08-13,428
2015-08-14,428
2015-08-15,428
2015-08-16,428
2015-08-17,428
2015-08-18,428
2015-08-19,428
2015-08-20,428
2015-08-21,423
2015-08-22,423
2015-08-23,423
2015-08-24,423
2015-08-25,423
2015-08-26,423
2015-08-27,423
2015-08-28,423
2015-08-29,423
2015-08-30,423
2015-08-31,423
2015-09-01,423
2015-09-02,423
2015-09-03,423
2015-09-04,423
