date_obj,Camelot%20teleport%20(tablet) price
2015-03-26,683
2015-03-27,665
2015-03-28,682
2015-03-29,673
2015-03-30,672
2015-03-31,652
2015-04-01,626
2015-04-02,621
2015-04-03,639
2015-04-04,651
2015-04-05,674
2015-04-06,675
2015-04-07,654
2015-04-08,642
2015-04-09,647
2015-04-10,668
2015-04-11,644
2015-04-12,631
2015-04-13,635
2015-04-14,644
2015-04-15,635
2015-04-16,608
2015-04-17,590
2015-04-18,585
2015-04-19,607
2015-04-20,625
2015-04-21,626
2015-04-22,612
2015-04-23,615
2015-04-24,621
2015-04-25,608
2015-04-26,605
2015-04-27,607
2015-04-28,617
2015-04-29,626
2015-04-30,621
2015-05-01,628
2015-05-02,651
2015-05-03,629
2015-05-04,620
2015-05-05,607
2015-05-06,589
2015-05-07,601
2015-05-08,592
2015-05-09,575
2015-05-10,569
2015-05-11,563
2015-05-12,563
2015-05-13,577
2015-05-14,573
2015-05-15,584
2015-05-16,598
2015-05-17,602
2015-05-18,618
2015-05-19,638
2015-05-20,608
2015-05-21,593
2015-05-22,577
2015-05-23,586
2015-05-24,577
2015-05-25,572
2015-05-26,570
2015-05-27,567
2015-05-28,577
2015-05-29,582
2015-05-30,597
2015-05-31,622
2015-06-01,625
2015-06-02,605
2015-06-03,603
2015-06-04,601
2015-06-05,592
2015-06-06,578
2015-06-07,583
2015-06-08,594
2015-06-09,609
2015-06-10,610
2015-06-11,603
2015-06-12,624
2015-06-13,646
2015-06-14,671
2015-06-15,694
2015-06-16,674
2015-06-17,651
2015-06-18,671
2015-06-19,694
2015-06-20,718
2015-06-21,736
2015-06-22,760
2015-06-23,762
2015-06-24,748
2015-06-25,744
2015-06-26,720
2015-06-27,687
2015-06-28,655
2015-06-29,627
2015-06-30,626
2015-07-01,630
2015-07-02,656
2015-07-03,680
2015-07-04,713
2015-07-05,748
2015-07-06,756
2015-07-07,726
2015-07-08,714
2015-07-09,709
2015-07-10,696
2015-07-11,662
2015-07-12,638
2015-07-13,616
2015-07-14,620
2015-07-15,600
2015-07-16,601
2015-07-17,614
2015-07-18,598
2015-07-19,600
2015-07-20,605
2015-07-21,627
2015-07-22,602
2015-07-23,589
2015-07-24,576
2015-07-25,579
2015-07-26,577
2015-07-27,583
2015-07-28,580
2015-07-29,587
2015-07-30,608
2015-07-31,602
2015-08-01,592
2015-08-02,580
2015-08-03,590
2015-08-04,584
2015-08-05,589
2015-08-06,587
2015-08-07,581
2015-08-08,579
2015-08-09,573
2015-08-10,567
2015-08-11,568
2015-08-12,560
2015-08-13,558
2015-08-14,559
2015-08-15,539
2015-08-16,535
2015-08-17,531
2015-08-18,533
2015-08-19,528
2015-08-20,524
2015-08-21,528
2015-08-22,539
2015-08-23,552
2015-08-24,569
2015-08-25,580
2015-08-26,604
2015-08-27,599
2015-08-28,595
2015-08-29,587
2015-08-30,579
2015-08-31,591
2015-09-01,606
2015-09-02,619
2015-09-03,649
2015-09-04,682
2015-09-05,697
2015-09-06,662
2015-09-07,628
2015-09-08,596
2015-09-09,572
2015-09-10,590
2015-09-11,605
2015-09-12,586
2015-09-13,579
2015-09-14,579
2015-09-15,567
2015-09-16,570
2015-09-17,573
2015-09-18,566
2015-09-19,542
2015-09-20,534
2015-09-21,522
2015-09-22,520
2015-09-23,540
2015-09-24,564
2015-09-25,569
2015-09-27,559
2015-09-28,545
2015-09-29,558
2015-09-30,570
2015-10-05,652
2015-10-06,629
2015-10-07,636
2015-10-08,634
2015-10-09,657
2015-10-10,681
2015-10-11,649
2015-10-12,626
2015-10-13,617
2015-10-14,587
2015-10-15,597
2015-10-16,616
2015-10-17,627
2015-10-18,605
2015-10-19,579
2015-10-20,558
2015-10-22,516
2015-10-23,505
2015-10-24,504
2015-10-25,523
2015-10-26,539
2015-10-27,552
2015-10-29,544
2015-10-30,536
2015-10-31,552
2015-11-01,546
2015-11-02,550
2015-11-03,555
2015-11-04,552
2015-11-05,560
2015-11-06,572
2015-11-07,569
2015-11-08,573
2015-11-09,564
2015-11-10,560
2015-11-11,555
2015-11-12,551
2015-11-13,552
2015-11-14,541
2015-11-15,539
2015-11-16,549
2015-11-17,566
2015-11-18,572
2015-11-19,595
2015-11-20,624
2015-11-21,656
2015-11-22,676
2015-11-23,663
2015-11-24,654
2015-11-25,648
2015-11-26,670
2015-11-27,685
2015-11-28,714
2015-11-29,703
2015-11-30,674
