date_obj,Inquisitor's%20plateskirt price
2020-02-05,15000000
2020-02-06,15592105
2020-02-07,16312391
2020-02-08,17052254
2020-02-09,150000000
2020-02-10,157037671
2020-02-11,164432164
2020-02-12,172443630
2020-02-13,172443630
2020-02-14,181065812
2020-02-15,181065812
2020-02-16,190119103
2020-02-17,199625059
2020-02-18,208719920
2020-02-19,218786322
2020-02-20,229105765
2020-02-21,229105765
2020-02-22,240040056
2020-02-23,240040056
2020-02-24,251785562
2020-02-25,251785562
2020-02-26,263644974
2020-02-27,263644974
2020-02-28,276192235
2020-02-29,276192235
2020-03-01,276192235
2020-03-02,289467636
2020-03-03,289467636
2020-03-04,289467636
2020-03-05,303456772
2020-03-06,303456772
2020-03-07,317652569
2020-03-08,317652569
2020-03-09,332461161
2020-03-10,332461161
2020-03-11,349084220
2020-03-12,366538431
2020-03-13,383745768
2020-03-14,401892183
2020-03-15,421264143
2020-03-16,441543158
2020-03-17,462341577
2020-03-18,484463950
2020-03-19,506088175
2020-03-20,529963814
2020-03-21,555705429
2020-03-22,583490701
2020-03-23,612665237
2020-03-24,643298499
2020-03-25,675463424
2020-03-26,709236596
2020-03-27,742535036
2020-03-28,742535036
2020-03-29,742492679
2020-03-30,705368045
2020-03-31,670099642
2020-04-01,636594659
2020-04-02,604764926
2020-04-03,604764926
2020-04-04,574526679
2020-04-05,546465713
2020-04-06,519142427
2020-04-07,493557716
2020-04-08,468879830
2020-04-09,468879830
2020-04-10,468879830
2020-04-11,445435838
2020-04-12,445435838
2020-04-13,433619816
2020-04-14,433619816
2020-04-15,438189874
2020-04-16,416280380
2020-04-17,395466361
2020-04-18,375693042
2020-04-19,356908389
2020-04-20,339062969
2020-04-21,323527024
2020-04-22,307350672
2020-04-23,294149127
2020-04-24,283361171
2020-04-25,269193112
2020-04-26,255758198
2020-04-27,245641268
2020-04-28,248496970
2020-04-29,246578783
2020-04-30,249678225
2020-05-01,249678225
2020-05-02,256999741
2020-05-03,256177588
2020-05-04,256177588
2020-05-05,254325616
2020-05-06,252868899
2020-05-07,252868899
2020-05-08,253661139
2020-05-09,253536929
2020-05-10,252601432
2020-05-11,252601432
2020-05-12,253764720
2020-05-13,259896766
