date_obj,Maple%20roots price
2015-03-26,366
2015-03-27,366
2015-03-28,366
2015-03-29,349
2015-03-30,349
2015-03-31,349
2015-04-01,349
2015-04-02,349
2015-04-03,349
2015-04-04,349
2015-04-05,349
2015-04-06,349
2015-04-07,349
2015-04-08,349
2015-04-09,349
2015-04-10,349
2015-04-11,332
2015-04-12,332
2015-04-13,332
2015-04-14,332
2015-04-15,332
2015-04-16,332
2015-04-17,332
2015-04-18,332
2015-04-19,332
2015-04-20,332
2015-04-21,332
2015-04-22,332
2015-04-23,332
2015-04-24,316
2015-04-25,316
2015-04-26,316
2015-04-27,316
2015-04-28,316
2015-04-29,316
2015-04-30,316
2015-05-01,316
2015-05-02,316
2015-05-03,316
2015-05-04,316
2015-05-05,316
2015-05-06,316
2015-05-07,316
2015-05-08,301
2015-05-09,301
2015-05-10,301
2015-05-11,301
2015-05-12,301
2015-05-13,301
2015-05-14,301
2015-05-15,301
2015-05-16,301
2015-05-17,301
2015-05-18,301
2015-05-19,301
2015-05-20,301
2015-05-21,301
2015-05-22,286
2015-05-23,286
2015-05-24,286
2015-05-25,286
2015-05-26,286
2015-05-27,286
2015-05-28,286
2015-05-29,286
2015-05-30,273
2015-05-31,273
2015-06-01,273
2015-06-02,273
2015-06-03,273
2015-06-04,273
2015-06-05,273
2015-06-06,273
2015-06-07,273
2015-06-08,273
2015-06-09,261
2015-06-10,261
2015-06-11,261
2015-06-12,261
2015-06-13,261
2015-06-14,261
2015-06-15,261
2015-06-16,261
2015-06-17,261
2015-06-18,248
2015-06-19,248
2015-06-20,248
2015-06-21,248
2015-06-22,248
2015-06-23,248
2015-06-24,248
2015-06-25,248
2015-06-26,236
2015-06-27,236
2015-06-28,236
2015-06-29,236
2015-06-30,236
2015-07-01,236
2015-07-02,236
2015-07-03,236
2015-07-04,236
2015-07-05,236
2015-07-06,236
2015-07-07,224
2015-07-08,224
2015-07-09,224
2015-07-10,224
2015-07-11,224
2015-07-12,224
2015-07-13,224
2015-07-14,224
2015-07-15,224
2015-07-16,224
2015-07-17,212
2015-07-18,212
2015-07-19,212
2015-07-20,212
2015-07-21,212
2015-07-22,212
2015-07-23,212
2015-07-24,212
2015-07-25,212
2015-07-26,212
2015-07-27,212
2015-07-28,201
2015-07-29,201
2015-07-30,201
2015-07-31,201
2015-08-01,201
2015-08-02,201
2015-08-03,201
2015-08-04,201
2015-08-05,192
2015-08-06,192
2015-08-07,192
2015-08-08,192
2015-08-09,192
2015-08-10,192
2015-08-11,192
2015-08-12,192
2015-08-13,192
2015-08-14,183
2015-08-15,183
2015-08-16,183
2015-08-17,183
2015-08-18,183
2015-08-19,183
2015-08-20,183
2015-08-21,183
2015-08-22,183
2015-08-23,174
2015-08-24,174
2015-08-25,174
2015-08-26,174
2015-08-27,174
2015-08-28,174
2015-08-29,174
2015-08-30,174
2015-08-31,174
2015-09-01,166
2015-09-02,166
2015-09-03,166
2015-09-04,166
2015-09-05,166
2015-09-06,166
2015-09-07,166
2015-09-08,166
2015-09-09,166
2015-09-10,166
2015-09-11,166
2015-09-12,158
2015-09-13,158
2015-09-14,158
2015-09-15,158
2015-09-16,158
2015-09-17,158
2015-09-18,158
2015-09-19,158
2015-09-20,158
2015-09-21,150
2015-09-22,150
2015-09-23,150
2015-09-24,150
2015-09-25,150
2015-09-27,150
2015-09-28,150
2015-09-29,150
2015-09-30,143
2015-10-05,143
2015-10-06,143
2015-10-07,143
2015-10-08,143
2015-10-09,136
