date_obj,Mystic%20robe%20bottom%20(light) price
2015-03-04,52515
2015-03-05,53766
2015-03-06,54375
2015-03-07,54375
2015-03-08,54251
2015-03-09,54251
2015-03-10,54251
2015-03-11,53621
2015-03-12,53621
2015-03-13,54072
2015-03-14,54072
2015-03-15,54620
2015-03-16,54620
2015-03-17,54242
2015-03-18,54242
2015-03-19,54242
2015-03-20,53915
2015-03-21,53915
2015-03-22,53419
2015-03-23,53419
2015-03-24,53682
2015-03-25,53682
2015-03-26,53733
2015-03-27,53733
2015-03-28,53959
2015-03-29,53959
2015-03-30,52544
2015-03-31,52544
2015-04-01,52544
2015-04-02,51840
2015-04-03,51840
2015-04-04,52187
2015-04-05,52187
2015-04-06,52281
2015-04-07,52281
2015-04-08,52389
2015-04-09,52389
2015-04-10,52335
2015-04-11,52335
2015-04-12,52350
2015-04-13,52350
2015-04-14,53688
2015-04-15,53688
2015-04-16,53888
2015-04-17,53888
2015-04-18,53396
2015-04-19,53396
2015-04-20,52273
2015-04-21,52273
2015-04-22,53044
2015-04-23,53044
2015-04-24,53139
2015-04-25,53139
2015-04-26,54040
2015-04-27,54040
2015-04-28,54216
2015-04-29,54216
2015-04-30,54216
2015-05-01,53378
2015-05-02,53378
2015-05-03,52954
2015-05-04,52954
2015-05-05,51325
2015-05-06,51325
2015-05-07,52137
2015-05-08,52137
2015-05-09,51187
2015-05-10,51187
2015-05-11,51360
2015-05-12,51360
2015-05-13,51964
2015-05-14,51964
2015-05-15,53421
2015-05-16,53421
2015-05-17,54518
2015-05-18,54518
2015-05-19,54139
2015-05-20,54139
2015-05-21,54139
2015-05-22,53961
2015-05-23,53961
2015-05-24,52807
2015-05-25,52807
2015-05-26,53321
2015-05-27,53321
2015-05-28,54261
2015-05-29,55510
2015-05-30,54909
2015-05-31,54909
2015-06-01,54242
2015-06-02,54242
2015-06-03,53323
2015-06-04,53323
2015-06-05,53108
2015-06-06,53108
2015-06-07,54178
2015-06-08,54178
2015-06-09,54778
2015-06-10,54778
2015-06-11,54088
2015-06-12,54088
2015-06-13,54382
2015-06-14,54382
2015-06-15,54330
2015-06-16,54330
2015-06-17,53753
2015-06-18,53602
2015-06-19,53602
2015-06-20,53366
2015-06-21,53366
2015-06-22,52940
2015-06-23,52940
2015-06-24,52721
2015-06-25,52721
2015-06-26,53321
2015-06-27,53321
2015-06-28,53378
2015-06-29,53378
2015-06-30,53737
2015-07-01,53737
2015-07-02,53486
2015-07-03,53074
2015-07-04,53074
2015-07-05,52401
2015-07-06,52401
2015-07-07,53107
2015-07-08,53107
2015-07-09,53413
2015-07-10,54255
2015-07-11,54255
2015-07-12,54035
2015-07-13,54035
2015-07-14,53419
2015-07-15,53419
2015-07-16,54173
2015-07-17,53742
2015-07-18,53742
2015-07-19,54404
2015-07-20,54404
2015-07-21,55089
2015-07-22,55642
2015-07-23,55642
2015-07-24,55418
2015-07-25,55418
2015-07-26,55556
2015-07-27,55556
2015-07-28,55219
2015-07-29,55536
2015-07-30,55536
2015-07-31,56327
2015-08-01,56327
2015-08-02,55419
2015-08-03,55419
2015-08-04,54091
2015-08-05,54540
2015-08-06,54540
2015-08-07,55307
