date_obj,Ancient%20effigy price
2018-02-07,8000000
2018-02-08,8000000
2018-02-09,7895165
2018-02-10,7895165
2018-02-11,7921361
2018-02-12,7923360
2018-02-13,7923360
2018-02-14,7937312
2018-02-15,7879967
2018-02-16,7879967
2018-02-17,7868214
2018-02-18,7868214
2018-02-19,7885216
2018-02-20,7885216
2018-02-21,7908978
2018-02-22,7908978
2018-02-23,7908978
2018-02-24,7908978
2018-02-25,7889151
2018-02-26,7889151
2018-02-27,7889151
2018-02-28,7889151
2018-03-01,7891660
2018-03-02,7891660
2018-03-03,7817044
2018-03-04,7817044
2018-03-05,7817044
2018-03-06,7849195
2018-03-07,7849195
2018-03-08,7906993
2018-03-09,7906993
2018-03-10,7906993
2018-03-11,7886711
2018-03-12,7886711
2018-03-13,7886711
2018-03-14,7902213
2018-03-15,7902213
2018-03-16,7902213
2018-03-17,7908899
2018-03-18,7908899
2018-03-19,7908899
2018-03-20,7928092
2018-03-21,7928092
2018-03-22,7928092
2018-03-23,7927662
2018-03-24,7927662
2018-03-25,7927662
2018-03-26,7943765
2018-03-27,7943765
2018-03-28,7943765
2018-03-29,7947450
2018-03-30,7947450
2018-03-31,7947450
2018-04-01,7947954
2018-04-02,7947954
2018-04-03,7945633
2018-04-04,7945633
2018-04-05,7945633
2018-04-06,7937395
2018-04-07,7937395
2018-04-08,7937395
2018-04-09,7924231
2018-04-10,7924231
2018-04-11,7924231
2018-04-12,7929686
2018-04-13,7929686
2018-04-14,7929686
2018-04-15,7937907
2018-04-16,7937907
2018-04-17,7937907
2018-04-18,7937907
2018-04-19,7955395
2018-04-20,7955395
2018-04-21,7955395
2018-04-22,7956610
2018-04-23,7956610
2018-04-24,7956610
2018-04-25,7954245
2018-04-26,7954245
2018-04-27,7954245
2018-04-28,7938675
2018-04-29,7938675
2018-04-30,7934386
2018-05-01,7934386
2018-05-02,7934386
2018-05-03,7939028
2018-05-04,7939028
2018-05-05,7944245
2018-05-06,7944245
2018-05-07,7944245
2018-05-08,7952974
2018-05-09,7952974
2018-05-10,7935625
2018-05-11,7935625
2018-05-12,7920429
2018-05-13,7920429
2018-05-14,7920429
2018-05-15,7936256
2018-05-16,7936256
2018-05-17,7862728
2018-05-18,7862728
2018-05-19,7867659
2018-05-20,7867659
2018-05-21,7875915
2018-05-22,7875915
2018-05-23,7894044
2018-05-24,7894044
2018-05-25,7894044
2018-05-26,7886741
2018-05-27,7886741
2018-05-28,7904419
2018-05-29,7904419
2018-05-30,7904419
2018-05-31,7872149
2018-06-01,7872149
2018-06-02,7909756
2018-06-03,7909756
2018-06-04,7909756
2018-06-05,7909178
2018-06-06,7909178
2018-06-07,7914261
2018-06-08,7914261
2018-06-09,7919073
2018-06-10,7919073
2018-06-11,7923964
2018-06-12,7923964
2018-06-13,7930333
2018-06-14,7930333
2018-06-15,7931096
2018-06-16,7931096
2018-06-17,7887162
2018-06-18,7887162
2018-06-19,7927222
2018-06-20,7927222
2018-06-21,7927222
2018-06-22,7935849
2018-06-23,7935849
2018-06-24,7935849
2018-06-25,7940494
2018-06-26,7940494
2018-06-27,7940494
2018-06-28,7926311
2018-06-29,7926311
2018-06-30,7916393
2018-07-01,7916393
2018-07-02,7916410
2018-07-03,7916410
2018-07-04,7904020
2018-07-05,7904020
2018-07-06,7920811
2018-07-07,7920811
2018-07-08,7913861
2018-07-09,7913861
2018-07-10,7914349
2018-07-11,7914349
2018-07-12,7914349
2018-07-13,7923614
2018-07-14,7935317
2018-07-15,7935317
2018-07-16,7935317
2018-07-17,7935940
2018-07-18,7935940
2018-07-19,7935940
2018-07-20,7963499
2018-07-21,7963499
2018-07-22,7948520
2018-07-23,7948520
2018-07-24,7954164
2018-07-25,7954164
2018-07-26,7957705
2018-07-27,7936694
2018-07-28,7936694
2018-07-29,7933307
2018-07-30,7933307
2018-07-31,7934628
2018-08-01,7934628
2018-08-02,7934505
2018-08-03,7934505
2018-08-04,7937819
2018-08-05,7937819
2018-08-06,7938478
2018-08-07,7938478
2018-08-08,7939995
2018-08-09,7939995
2018-08-10,7942165
2018-08-11,7942165
2018-08-12,7943498
2018-08-14,7942811
2018-08-16,7939167
2018-08-17,7940479
2018-08-18,7940479
2018-08-19,7941054
2018-08-20,7947631
2018-08-21,7947631
2018-08-22,7951215
2018-08-23,7951215
2018-08-24,7960397
2018-08-25,7948937
2018-08-26,7948937
2018-08-27,7948095
2018-08-28,7955351
2018-08-29,7955351
2018-08-30,7960947
2018-08-31,7970969
2018-09-01,7970808
2018-09-02,7970808
2018-09-03,7960198
2018-09-04,7960198
2018-09-05,7964822
2018-09-06,7964822
2018-09-07,7945589
2018-09-08,7945589
2018-09-09,7841492
2018-09-10,7861694
2018-09-11,7861694
2018-09-12,7870702
2018-09-13,7870702
2018-09-14,7913541
2018-09-15,7939605
