date_obj,Air%20orb price
2015-03-26,1045
2015-03-27,1045
2015-03-28,1038
2015-03-29,1042
2015-03-30,1031
2015-03-31,1029
2015-04-01,1029
2015-04-02,1043
2015-04-03,1052
2015-04-04,1073
2015-04-05,1073
2015-04-06,1099
2015-04-07,1114
2015-04-08,1114
2015-04-09,1141
2015-04-10,1188
2015-04-11,1244
2015-04-12,1280
2015-04-13,1314
2015-04-14,1314
2015-04-15,1323
2015-04-16,1300
2015-04-17,1281
2015-04-18,1251
2015-04-19,1199
2015-04-20,1199
2015-04-21,1142
2015-04-22,1142
2015-04-23,1121
2015-04-24,1121
2015-04-25,1163
2015-04-26,1163
2015-04-27,1199
2015-04-28,1236
2015-04-29,1236
2015-04-30,1256
2015-05-01,1280
2015-05-02,1294
2015-05-03,1294
2015-05-04,1278
2015-05-05,1252
2015-05-06,1236
2015-05-07,1243
2015-05-08,1286
2015-05-09,1286
2015-05-10,1260
2015-05-11,1260
2015-05-12,1234
2015-05-13,1234
2015-05-14,1213
2015-05-15,1213
2015-05-16,1192
2015-05-17,1192
2015-05-18,1188
2015-05-19,1188
2015-05-20,1192
2015-05-21,1192
2015-05-22,1151
2015-05-23,1151
2015-05-24,1110
2015-05-25,1094
2015-05-26,1094
2015-05-27,1090
2015-05-28,1083
2015-05-29,1081
2015-05-30,1085
2015-05-31,1111
2015-06-01,1126
2015-06-02,1126
2015-06-03,1182
2015-06-04,1234
2015-06-05,1296
2015-06-06,1359
2015-06-07,1413
2015-06-08,1484
2015-06-09,1539
2015-06-10,1579
2015-06-11,1636
2015-06-12,1604
2015-06-13,1613
2015-06-14,1544
2015-06-15,1524
2015-06-16,1490
2015-06-17,1516
2015-06-18,1476
2015-06-19,1434
2015-06-20,1376
2015-06-21,1339
2015-06-22,1350
2015-06-23,1390
2015-06-24,1440
2015-06-25,1452
2015-06-26,1474
2015-06-27,1413
2015-06-28,1378
2015-06-29,1348
2015-06-30,1334
2015-07-01,1303
2015-07-02,1303
2015-07-03,1344
2015-07-04,1381
2015-07-05,1404
2015-07-06,1428
2015-07-07,1379
2015-07-08,1336
2015-07-09,1309
2015-07-10,1288
2015-07-11,1311
2015-07-12,1343
2015-07-13,1318
2015-07-14,1329
2015-07-15,1304
2015-07-16,1252
2015-07-17,1221
2015-07-18,1174
2015-07-19,1166
2015-07-20,1179
2015-07-21,1166
2015-07-22,1165
2015-07-23,1165
2015-07-24,1189
2015-07-25,1169
2015-07-26,1156
2015-07-27,1104
2015-07-28,1054
2015-07-29,1062
2015-07-30,1110
2015-07-31,1149
2015-08-01,1172
2015-08-02,1146
2015-08-03,1147
2015-08-04,1168
2015-08-05,1153
2015-08-06,1203
2015-08-07,1256
2015-08-08,1252
2015-08-09,1238
2015-08-10,1216
2015-08-11,1182
2015-08-12,1159
2015-08-13,1120
2015-08-14,1097
2015-08-15,1150
2015-08-16,1125
2015-08-17,1099
2015-08-18,1081
2015-08-19,1082
2015-08-20,1103
2015-08-21,1129
2015-08-22,1123
2015-08-23,1106
2015-08-24,1116
2015-08-25,1116
2015-08-26,1136
2015-08-27,1178
2015-08-28,1196
2015-08-29,1165
2015-08-30,1169
2015-08-31,1175
2015-09-01,1182
2015-09-02,1182
2015-09-03,1189
2015-09-04,1215
2015-09-05,1232
2015-09-06,1260
2015-09-07,1244
2015-09-08,1231
2015-09-09,1248
2015-09-10,1248
2015-09-11,1252
2015-09-12,1207
2015-09-13,1178
2015-09-14,1176
2015-09-15,1172
2015-09-16,1159
2015-09-17,1154
2015-09-18,1150
2015-09-19,1142
2015-09-20,1127
2015-09-21,1138
2015-09-22,1131
2015-09-23,1127
2015-09-24,1127
2015-09-25,1136
2015-09-27,1122
2015-09-28,1117
2015-09-29,1130
2015-09-30,1151
2015-10-05,1191
2015-10-06,1209
2015-10-07,1210
2015-10-08,1204
2015-10-09,1229
2015-10-10,1229
2015-10-11,1243
2015-10-12,1295
2015-10-13,1321
2015-10-14,1309
2015-10-15,1333
2015-10-16,1383
2015-10-17,1383
2015-10-18,1346
2015-10-19,1308
2015-10-20,1286
2015-10-22,1270
2015-10-23,1253
2015-10-24,1232
2015-10-25,1198
2015-10-26,1207
2015-10-27,1185
2015-10-28,1183
2015-10-29,1237
2015-10-30,1276
2015-10-31,1293
2015-11-01,1293
2015-11-02,1314
2015-11-03,1367
2015-11-04,1424
2015-11-05,1493
2015-11-06,1531
2015-11-07,1518
2015-11-08,1518
2015-11-09,1477
2015-11-10,1465
2015-11-11,1460
2015-11-12,1497
2015-11-13,1505
2015-11-14,1551
2015-11-15,1571
2015-11-16,1597
2015-11-17,1572
2015-11-18,1579
2015-11-19,1622
2015-11-20,1690
2015-11-21,1690
2015-11-22,1721
2015-11-23,1721
2015-11-24,1683
2015-11-25,1613
2015-11-26,1569
2015-11-27,1526
2015-11-28,1475
2015-11-29,1440
2015-11-30,1417
2015-12-01,1403
2015-12-02,1387
2015-12-03,1402
2015-12-04,1424
2015-12-05,1447
2015-12-06,1481
2015-12-07,1493
2015-12-08,1491
2015-12-09,1456
2015-12-10,1439
2015-12-11,1445
2015-12-12,1433
2015-12-13,1400
2015-12-14,1400
2015-12-15,1349
2015-12-16,1304
2015-12-17,1274
2015-12-18,1267
2015-12-19,1253
2015-12-20,1221
2015-12-21,1242
2015-12-22,1219
2015-12-23,1189
2015-12-24,1173
2015-12-25,1149
2015-12-26,1120
2015-12-27,1080
2015-12-28,1060
2015-12-29,1075
2015-12-30,1089
2015-12-31,1092
2016-01-01,1100
2016-01-02,1089
2016-01-03,1083
2016-01-04,1083
2016-01-05,1113
2016-01-06,1161
2016-01-07,1180
2016-01-08,1172
2016-01-09,1133
2016-01-10,1110
2016-01-11,1083
2016-01-12,1085
2016-01-13,1127
2016-01-14,1108
2016-01-15,1080
2016-01-16,1061
2016-01-17,1049
2016-01-18,1036
2016-01-19,1043
2016-01-20,1051
2016-01-21,1047
2016-01-22,1050
2016-01-23,1035
2016-01-24,1020
2016-01-25,1009
2016-01-26,1025
2016-01-27,1014
2016-01-28,1014
2016-01-29,1010
2016-01-30,1001
2016-01-31,988
2016-02-01,993
2016-02-02,1008
2016-02-03,1020
2016-02-04,1042
2016-02-05,1063
2016-02-06,1025
2016-02-07,1023
2016-02-08,1024
2016-02-09,1042
2016-02-10,1038
2016-02-11,1032
2016-02-12,1018
2016-02-13,996
2016-02-14,976
2016-02-15,974
2016-02-16,984
2016-02-17,981
2016-02-18,982
2016-02-19,968
2016-02-20,941
2016-02-21,929
2016-02-22,935
2016-02-23,946
2016-02-24,962
2016-02-25,959
2016-02-26,946
2016-02-27,933
2016-02-28,935
2016-02-29,938
2016-03-01,940
2016-03-02,953
2016-03-03,948
2016-03-04,950
2016-03-05,955
2016-03-06,969
2016-03-07,993
2016-03-08,1018
2016-03-09,1048
2016-03-10,1065
2016-03-11,1072
2016-03-12,1101
2016-03-13,1131
2016-03-14,1175
2016-03-15,1181
2016-03-16,1184
2016-03-17,1183
2016-03-18,1168
2016-03-19,1150
2016-03-20,1156
2016-03-21,1176
2016-03-22,1183
2016-03-23,1190
2016-03-24,1190
2016-03-25,1201
2016-03-26,1213
2016-03-27,1215
2016-03-28,1235
2016-03-29,1294
2016-03-30,1294
2016-03-31,1333
2016-04-01,1371
2016-04-02,1428
2016-04-03,1438
2016-04-04,1417
2016-04-05,1439
2016-04-06,1478
2016-04-07,1526
2016-04-08,1480
2016-04-09,1503
2016-04-10,1489
2016-04-11,1489
2016-04-12,1494
2016-04-13,1474
2016-04-14,1505
2016-04-15,1512
2016-04-16,1512
2016-04-17,1523
2016-04-18,1516
2016-04-19,1511
2016-04-20,1522
2016-04-21,1520
2016-04-22,1527
2016-04-23,1517
2016-04-24,1530
2016-04-25,1514
2016-04-26,1503
2016-04-27,1509
2016-04-28,1513
2016-04-29,1509
2016-04-30,1516
2016-05-01,1527
2016-05-02,1567
2016-05-03,1616
2016-05-04,1647
2016-05-05,1669
2016-05-06,1624
2016-05-07,1572
2016-05-08,1561
2016-05-09,1561
2016-05-10,1596
2016-05-11,1669
2016-05-12,1708
2016-05-13,1629
2016-05-14,1559
2016-05-15,1576
2016-05-16,1632
2016-05-17,1660
2016-05-18,1647
2016-05-19,1688
2016-05-22,1758
2016-05-23,1673
2016-05-24,1598
2016-05-25,1608
2016-05-26,1597
2016-05-27,1563
2016-05-28,1562
2016-05-29,1558
2016-05-30,1533
2016-05-31,1513
2016-06-01,1519
2016-06-02,1540
2016-06-03,1541
2016-06-04,1532
2016-06-05,1499
2016-06-06,1460
2016-06-07,1451
2016-06-08,1449
2016-06-09,1458
2016-06-10,1449
2016-06-11,1440
2016-06-12,1456
2016-06-13,1484
2016-06-14,1513
2016-06-15,1533
2016-06-16,1523
2016-06-17,1543
2016-06-18,1611
2016-06-19,1658
2016-06-20,1655
2016-06-21,1700
2016-06-22,1750
2016-06-23,1756
2016-06-24,1716
2016-06-25,1651
2016-06-26,1583
2016-06-27,1593
2016-06-28,1605
2016-06-29,1604
2016-06-30,1584
2016-07-01,1575
2016-07-02,1577
2016-07-03,1563
2016-07-04,1569
2016-07-05,1587
2016-07-06,1599
2016-07-07,1626
2016-07-08,1625
2016-07-09,1629
2016-07-10,1677
2016-07-11,1687
2016-07-12,1668
2016-07-13,1637
2016-07-14,1633
2016-07-15,1626
2016-07-16,1623
2016-07-17,1646
2016-07-18,1632
2016-07-23,1513
2016-07-24,1569
2016-07-25,1565
2016-07-26,1565
2016-07-27,1533
2016-07-28,1513
2016-07-29,1470
2016-07-30,1421
2016-07-31,1424
2016-08-01,1440
2016-08-02,1440
2016-08-03,1403
2016-08-04,1361
2016-08-05,1316
2016-08-06,1316
2016-08-07,1331
2016-08-08,1381
2016-08-09,1416
2016-08-10,1416
2016-08-11,1439
2016-08-12,1427
2016-08-13,1413
2016-08-14,1401
2016-08-15,1415
2016-08-16,1397
2016-08-17,1369
2016-08-18,1366
2016-08-19,1386
2016-08-20,1406
2016-08-21,1420
2016-08-22,1437
2016-08-23,1446
2016-08-24,1432
2016-08-25,1455
2016-08-26,1467
2016-08-28,1559
2016-08-31,1477
2016-09-01,1466
2016-09-02,1463
2016-09-03,1480
2016-09-04,1514
2016-09-05,1534
2016-09-06,1506
2016-09-07,1489
2016-09-08,1470
2016-09-09,1481
2016-09-10,1553
2016-09-11,1628
