date_obj,Green%20d'hide%20chaps%20(g) price
2015-03-26,330991
2015-03-27,321430
2015-03-28,309453
2015-03-29,295694
2015-03-30,281779
2015-03-31,268493
2015-04-01,255241
2015-04-02,242717
2015-04-03,232412
2015-04-04,221194
2015-04-05,211261
2015-04-06,201193
2015-04-07,191519
2015-04-08,182350
2015-04-09,175522
2015-04-10,170708
2015-04-11,162179
2015-04-12,154070
2015-04-13,146366
2015-04-14,139047
2015-04-15,132094
2015-04-16,126306
2015-04-17,123380
2015-04-18,118778
2015-04-19,118266
2015-04-20,119558
2015-04-21,118668
2015-04-22,118422
2015-04-23,118444
2015-04-24,121415
2015-04-25,124215
2015-04-26,127506
2015-04-27,130247
2015-04-28,135620
2015-04-29,140326
2015-04-30,146861
2015-05-01,145409
2015-05-02,141579
2015-05-03,139729
2015-05-04,136914
2015-05-05,134899
2015-05-06,130616
2015-05-07,127556
2015-05-08,125517
2015-05-09,123716
2015-05-10,120279
2015-05-11,118424
2015-05-12,119486
2015-05-13,121633
2015-05-14,121631
2015-05-15,121630
2015-05-16,120526
2015-05-17,119077
2015-05-18,118096
2015-05-19,117435
2015-05-20,116543
2015-05-21,115596
2015-05-22,115013
2015-05-23,116785
2015-05-24,119800
2015-05-25,123991
2015-05-26,130191
2015-05-27,136701
2015-05-28,143537
2015-05-29,150705
2015-05-30,158241
2015-05-31,166154
2015-06-01,174462
2015-06-02,182988
2015-06-03,192056
2015-06-04,200700
2015-06-05,199952
2015-06-06,200981
2015-06-07,198878
2015-06-08,200585
2015-06-09,198407
2015-06-10,190347
2015-06-11,189435
2015-06-12,196952
2015-06-13,195851
2015-06-14,190241
2015-06-15,183752
2015-06-16,176762
2015-06-17,172116
2015-06-18,168133
2015-06-19,163953
2015-06-20,158437
2015-06-21,152858
2015-06-22,146583
2015-06-23,139923
2015-06-24,137225
2015-06-25,135892
2015-06-26,135480
2015-06-27,135939
2015-06-28,131767
2015-06-29,128132
2015-06-30,126321
2015-07-01,123068
2015-07-02,119922
2015-07-03,120934
2015-07-04,122261
2015-07-05,124214
2015-07-06,125746
2015-07-07,128262
2015-07-08,131896
2015-07-09,134991
2015-07-10,137998
2015-07-11,139341
2015-07-12,137949
2015-07-13,138630
2015-07-14,140818
2015-07-15,143731
2015-07-16,148416
2015-07-17,155033
2015-07-18,158889
2015-07-19,162748
2015-07-20,165353
2015-07-21,166331
2015-07-22,166608
2015-07-23,168133
2015-07-24,170584
2015-07-25,172837
2015-07-26,172142
2015-07-27,175562
2015-07-28,177835
2015-07-29,180636
2015-07-30,180150
2015-07-31,183448
2015-08-01,184154
2015-08-02,183014
2015-08-03,184029
2015-08-04,185695
2015-08-05,189450
2015-08-06,186330
2015-08-07,185626
2015-08-08,180964
