date_obj,Dragon%20crossbow price
2018-10-30,8326102
2018-10-31,8294253
2018-11-01,8263855
2018-11-03,8289896
2018-11-04,8306029
2018-11-05,8382717
2018-11-06,8318605
2018-11-07,8300743
2018-11-08,8284846
2018-11-09,8390505
2018-11-10,8477255
2018-11-11,8753895
2018-11-12,8835376
2018-11-13,8716432
2018-11-14,8733530
2018-11-15,8614589
2018-11-16,8633230
2018-11-17,8749651
2018-11-18,8894351
2018-11-19,8799728
2018-11-20,8704674
2018-11-21,8658807
2018-11-22,8647638
2018-11-23,8598333
2018-11-24,8568039
2018-11-25,8543570
2018-11-26,8479990
2018-11-27,8381427
2018-11-28,8280258
2018-11-29,8311299
2018-12-01,8629585
2018-12-02,8896204
2018-12-03,8923010
2018-12-04,8912663
2018-12-05,9000935
2018-12-07,8981506
2018-12-09,8958928
2018-12-10,9008973
2018-12-11,8987094
2018-12-12,8959293
2018-12-13,8937346
2018-12-14,8981724
2018-12-15,9096778
2018-12-16,9145815
2018-12-17,9125293
2018-12-18,9125753
2018-12-19,9089189
2018-12-20,9074926
2018-12-21,9000822
2018-12-22,8921865
2018-12-23,8878381
2018-12-24,8849348
2018-12-25,8830332
2018-12-26,8910619
2018-12-27,8941249
2018-12-28,8939129
2018-12-29,9086532
2018-12-30,9053885
2018-12-31,9021015
2019-01-01,9009186
2019-01-02,9056755
2019-01-03,9106359
2019-01-04,9077404
2019-01-05,9065590
2019-01-06,9028905
2019-01-08,8950797
2019-01-10,8453609
2019-01-11,8030928
2019-01-12,7631712
2019-01-13,7435064
2019-01-14,7355593
2019-01-15,7409802
2019-01-16,7301197
2019-01-17,7209904
2019-01-18,7072689
2019-01-19,7044906
2019-01-20,6925406
2019-01-21,6833955
2019-01-22,6645786
2019-01-23,6420948
2019-01-24,6325954
2019-01-25,6501008
2019-01-26,6753153
2019-01-27,7059202
2019-01-28,7372847
2019-01-29,7393237
2019-01-30,7479287
2019-01-31,7455663
2019-02-01,7395023
2019-02-02,7359089
2019-02-03,7307557
2019-02-04,7185721
2019-02-05,7049788
2019-02-06,7077607
2019-02-07,6946967
2019-02-08,6710888
2019-02-09,6652412
2019-02-10,6575446
2019-02-11,6575626
2019-02-12,6480138
2019-02-13,6461602
2019-02-14,6337639
2019-02-15,6232685
2019-02-16,6183992
