date_obj,Piscarilius%20hood price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,4751389
2016-07-11,4751389
2016-07-12,4751389
2016-07-13,4751389
2016-07-14,4751389
2016-07-15,4751389
2016-07-16,4515090
2016-07-17,4515090
2016-07-18,4515090
2016-07-23,4515090
2016-07-24,4515090
2016-07-25,4289335
2016-07-26,4289335
2016-07-27,4289335
2016-07-28,4289335
2016-07-29,4289335
2016-07-30,4289335
2016-07-31,4289335
2016-08-01,4289335
2016-08-02,4289335
2016-08-03,4074868
2016-08-04,4074868
2016-08-05,4074868
2016-08-06,4074868
2016-08-07,4074868
2016-08-08,4074868
2016-08-09,4074868
2016-08-10,4074868
2016-08-11,3873892
2016-08-12,3873892
2016-08-13,3873892
2016-08-14,3873892
2016-08-15,3873892
2016-08-16,3873892
2016-08-17,3873892
2016-08-18,3873892
2016-08-19,3873892
2016-08-20,3681428
2016-08-21,3681428
2016-08-22,3681428
2016-08-23,3681428
2016-08-24,3681428
2016-08-25,3681428
2016-08-26,3681428
2016-08-28,3681428
2016-08-31,3681428
2016-09-01,3498916
2016-09-02,3498916
2016-09-03,3498916
2016-09-04,3498916
2016-09-05,3498916
2016-09-06,3498916
2016-09-07,3498916
2016-09-08,3498916
2016-09-09,3498916
2016-09-10,3498916
2016-09-11,3498916
2016-09-12,3498916
2016-09-13,3498916
2016-09-14,3498916
2016-09-15,3325312
2016-09-16,3325312
2016-09-17,3325312
2016-09-18,3325312
2016-09-19,3325312
2016-09-20,3325312
2016-09-21,3325312
2016-09-22,3325312
2016-09-23,3325312
2016-09-24,3325312
2016-09-25,3325312
2016-09-26,3325312
2016-09-27,3325312
2016-09-28,3161584
2016-09-29,3161584
2016-09-30,3161584
2016-10-01,3161584
2016-10-02,3161584
2016-10-03,3161584
2016-10-04,3161584
2016-10-05,3161584
2016-10-06,3161584
2016-10-07,3161584
2016-10-08,3161584
2016-10-09,3161584
2016-10-10,3161584
2016-10-11,3161584
2016-10-12,3161584
2016-10-13,3007085
2016-10-14,3007085
2016-10-15,3007085
2016-10-16,3007085
2016-10-17,3007085
2016-10-18,3007085
2016-10-19,3007085
2016-10-20,3007085
2016-10-21,3007085
2016-10-22,3007085
2016-10-23,3007085
2016-10-24,3007085
2016-10-25,3007085
2016-10-26,3007085
2016-10-27,3007085
2016-10-28,2858244
2016-10-29,2858244
2016-10-30,2858244
2016-10-31,2858244
2016-11-01,2858244
2016-11-02,2858244
2016-11-03,2858244
2016-11-04,2858244
2016-11-05,2858244
2016-11-06,2858244
2016-11-07,2858244
2016-11-08,2858244
2016-11-09,2858244
2016-11-10,2858244
2016-11-11,2719169
2016-11-12,2719169
2016-11-13,2719169
2016-11-14,2719169
2016-12-07,2457092
2016-12-08,2457092
2016-12-09,2457092
2016-12-10,2457092
2016-12-11,2457092
2016-12-12,2457092
2016-12-13,2457092
2016-12-14,2335582
2016-12-15,2335582
2016-12-16,2335582
2016-12-17,2335582
2016-12-18,2335582
2016-12-19,2335582
2016-12-20,2335582
2016-12-21,2335582
2016-12-22,2335582
2016-12-23,2220635
2016-12-24,2220635
2016-12-25,2220635
2016-12-26,2220635
2016-12-27,2220635
2016-12-28,2220635
2016-12-29,2220635
2016-12-30,2220635
2016-12-31,2220635
2017-01-01,2220635
2017-01-02,2112651
2017-01-03,2112651
2017-01-04,2112651
2017-01-05,2112651
2017-01-06,2112651
2017-01-07,2112651
2017-01-08,2112651
2017-01-09,2112651
2017-01-10,2008880
2017-01-11,2008880
2017-01-12,2008880
2017-01-13,2008880
2017-01-14,2008880
2017-01-15,2008880
2017-01-16,2008880
2017-01-17,1910301
2017-01-18,1910301
2017-01-19,1910301
2017-01-20,1910301
2017-01-21,1910301
2017-01-22,1910301
2017-01-27,1817240
2017-01-28,1817240
2017-01-29,1817240
2017-01-30,1817240
2017-01-31,1817240
2017-02-01,1817240
2017-02-02,1817240
2017-02-03,1817240
2017-02-04,1727651
2017-02-05,1727651
2017-02-06,1727651
2017-02-07,1727651
2017-02-08,1727651
2017-02-09,1727651
2017-02-10,1727651
2017-02-11,1727651
2017-02-12,1642593
2017-02-13,1642593
2017-02-14,1642593
2017-02-15,1642593
2017-02-16,1642593
2017-02-18,1642593
2017-02-19,1642593
2017-02-20,1642593
2017-02-21,1562856
2017-02-22,1562856
2017-02-23,1562856
2017-02-24,1562856
2017-02-25,1562856
2017-02-26,1562856
2017-02-27,1562856
2017-02-28,1562856
2017-03-01,1487396
2017-03-02,1487396
2017-03-03,1487396
2017-03-04,1487396
2017-03-05,1487396
2017-03-06,1487396
2017-03-07,1487396
2017-03-08,1487396
2017-03-09,1487396
2017-03-10,1415631
2017-03-11,1415631
2017-03-12,1415631
2017-03-13,1415631
2017-03-14,1415631
2017-03-15,1415631
2017-03-16,1415631
2017-03-17,1347014
2017-03-18,1347014
2017-03-19,1347014
2017-03-20,1347014
2017-03-21,1347014
2017-03-22,1347014
2017-03-23,1347014
2017-03-24,1280840
2017-03-25,1280840
2017-03-26,1280840
2017-03-27,1280840
2017-03-28,1280840
2017-03-29,1280840
2017-03-30,1280840
2017-03-31,1217916
2017-04-01,1217916
2017-04-02,1217916
2017-04-03,1217916
2017-04-04,1217916
2017-04-12,84997
2017-04-13,84997
2017-04-14,84997
2017-04-15,84997
2017-04-16,84997
2017-04-17,84997
2017-04-18,84997
2017-04-19,84997
2017-04-20,84997
2017-04-21,80983
2017-04-22,80983
2017-04-23,80983
2017-04-24,80983
2017-04-25,80983
2017-04-26,80983
2017-04-27,80983
2017-04-28,80983
2017-04-29,80983
2017-04-30,80983
2017-05-01,80983
2017-05-02,80983
2017-05-03,77704
2017-05-04,77704
2017-05-05,77704
2017-05-06,77704
2017-05-07,77704
2017-05-08,77704
2017-05-09,77704
2017-05-10,77704
2017-05-11,77704
2017-05-12,77704
2017-05-13,73913
2017-05-14,73913
2017-05-15,73913
2017-05-16,73913
2017-05-17,73913
2017-05-18,73913
2017-05-19,73913
2017-05-20,73913
2017-05-21,73913
2017-05-22,73913
2017-05-23,70312
2017-05-24,70312
2017-05-25,70312
2017-05-26,70312
2017-05-27,70312
2017-05-28,70312
2017-05-29,70312
2017-05-30,70312
2017-05-31,70312
2017-06-01,66996
2017-06-02,66996
2017-06-03,66996
2017-06-06,66996
2017-06-07,66996
2017-06-08,66996
2017-06-09,66996
2017-06-10,64291
2017-06-11,64291
2017-06-12,64291
2017-06-13,64291
2017-06-14,64291
2017-06-15,64291
2017-06-16,64291
2017-06-17,64291
2017-06-18,64291
2017-06-19,64291
2017-06-20,64291
2017-06-21,61654
2017-06-22,61654
2017-06-23,61654
