date_obj,Fremennik%20hat price
2015-03-26,5920
2015-03-27,5920
2015-03-28,5920
2015-03-29,5920
2015-03-30,5920
2015-03-31,5837
2015-04-01,5837
2015-04-02,5837
2015-04-03,5837
2015-04-04,5837
2015-04-05,5837
2015-04-06,5837
2015-04-07,5837
2015-04-08,5837
2015-04-09,5837
2015-04-10,5837
2015-04-11,5837
2015-04-12,5837
2015-04-13,5837
2015-04-14,5837
2015-04-15,5708
2015-04-16,5708
2015-04-17,5708
2015-04-18,5708
2015-04-19,5708
2015-04-20,5708
2015-04-21,5708
2015-04-22,5708
2015-04-23,5708
2015-04-24,5708
2015-04-25,5708
2015-04-26,5708
2015-04-27,5708
2015-04-28,5708
2015-04-29,5708
2015-04-30,5708
2015-05-01,5708
2015-05-02,5423
2015-05-03,5423
2015-05-04,5423
2015-05-05,5423
2015-05-06,5423
2015-05-07,5423
2015-05-08,5423
2015-05-09,5423
2015-05-10,5423
2015-05-11,5423
2015-05-12,5423
2015-05-13,5423
2015-05-14,5423
2015-05-15,5423
2015-05-16,5423
2015-05-17,5201
2015-05-18,5201
2015-05-19,5201
2015-05-20,5201
2015-05-21,5201
2015-05-22,5201
2015-05-23,5201
2015-05-24,5201
2015-05-25,5201
2015-05-26,5201
2015-05-27,5201
2015-05-28,5001
2015-05-29,5001
2015-05-30,5001
2015-05-31,5001
2015-06-01,5001
2015-06-02,5001
2015-06-03,5001
2015-06-04,5001
2015-06-05,4751
2015-06-06,4751
2015-06-07,4751
2015-06-08,4751
2015-06-09,4751
2015-06-10,4751
2015-06-11,4751
2015-06-12,4751
2015-06-13,4751
2015-06-14,4751
2015-06-15,4515
2015-06-16,4515
2015-06-17,4515
2015-06-18,4515
2015-06-19,4515
2015-06-20,4515
2015-06-21,4515
2015-06-22,4515
2015-06-23,4515
2015-06-24,4369
2015-06-25,4369
2015-06-26,4369
2015-06-27,4369
2015-06-28,4369
2015-06-29,4369
2015-06-30,4369
2015-07-01,4369
2015-07-02,4369
2015-07-03,4369
2015-07-04,4369
2015-07-05,4475
2015-07-06,4475
2015-07-07,4475
2015-07-08,4475
2015-07-09,4475
2015-07-10,4475
2015-07-11,4475
2015-07-12,4475
2015-07-13,4475
2015-07-14,4475
2015-07-15,4591
2015-07-16,4591
2015-07-17,4591
2015-07-18,4591
2015-07-19,4591
2015-07-20,4591
2015-07-21,4591
2015-07-22,4591
2015-07-23,4591
2015-07-24,4591
2015-07-25,4607
2015-07-26,4607
2015-07-27,4607
2015-07-28,4607
2015-07-29,4607
2015-07-30,4607
2015-07-31,4607
2015-08-01,4607
2015-08-02,4607
2015-08-03,4395
2015-08-04,4395
2015-08-05,4395
2015-08-06,4395
2015-08-07,4395
2015-08-08,4395
2015-08-09,4395
2015-08-10,4176
2015-08-11,4176
2015-08-12,4176
2015-08-13,4176
2015-08-14,4176
2015-08-15,4176
2015-08-16,4176
2015-08-17,3971
2015-08-18,3971
2015-08-19,3971
2015-08-20,3971
2015-08-21,3971
2015-08-22,3971
2015-08-23,3971
2015-08-24,3773
2015-08-25,3773
2015-08-26,3773
2015-08-27,3773
2015-08-28,3773
2015-08-29,3773
2015-08-30,3773
2015-08-31,3773
2015-09-01,3599
2015-09-02,3599
2015-09-03,3599
2015-09-04,3599
2015-09-05,3599
2015-09-06,3599
2015-09-07,3599
2015-09-08,3599
2015-09-09,3422
2015-09-10,3422
2015-09-11,3422
2015-09-12,3422
2015-09-13,3422
2015-09-14,3250
2015-09-15,3250
2015-09-16,3250
2015-09-17,3250
2015-09-18,3250
2015-09-19,3250
2015-09-20,3126
2015-09-21,3126
2015-09-22,3126
2015-09-23,3126
2015-09-24,3126
2015-09-25,3126
2015-09-27,2969
2015-09-28,2969
2015-09-29,2969
2015-09-30,2969
2015-10-05,2822
2015-10-06,2822
2015-10-07,2822
2015-10-08,2822
2015-10-09,2705
2015-10-10,2705
2015-10-11,2705
2015-10-12,2705
2015-10-13,2705
2015-10-14,2705
2015-10-15,2705
2015-10-16,2637
2015-10-17,2637
2015-10-18,2637
2015-10-19,2637
2015-10-20,2637
2015-10-22,2637
2015-10-23,2521
2015-10-24,2521
2015-10-25,2521
2015-10-26,2521
2015-10-27,2521
2015-10-29,2521
2015-10-30,2405
2015-10-31,2405
2015-11-01,2405
2015-11-02,2405
2015-11-03,2405
2015-11-04,2405
2015-11-05,2405
2015-11-06,2405
2015-11-07,2326
2015-11-08,2326
2015-11-09,2326
2015-11-10,2326
2015-11-11,2326
2015-11-12,2326
2015-11-13,2326
2015-11-14,2326
2015-11-15,2278
2015-11-16,2278
2015-11-17,2278
2015-11-18,2278
2015-11-19,2278
2015-11-20,2278
2015-11-21,2278
2015-11-22,2179
2015-11-23,2179
2015-11-24,2179
2015-11-25,2179
2015-11-26,2179
2015-11-27,2179
2015-11-28,2179
2015-11-29,2169
2015-11-30,2169
2015-12-01,2169
2015-12-02,2169
2015-12-03,2169
2015-12-04,2169
2015-12-05,2169
2015-12-06,2169
2015-12-07,2124
2015-12-08,2124
2015-12-09,2124
2015-12-10,2124
2015-12-11,2124
2015-12-12,2124
2015-12-13,2124
2015-12-14,2124
2015-12-15,2131
2015-12-16,2131
2015-12-17,2131
2015-12-18,2131
2015-12-19,2131
2015-12-20,2131
2015-12-21,2131
2015-12-22,2038
2015-12-23,2038
2015-12-24,2038
2015-12-25,2038
2015-12-26,2038
2015-12-27,2038
2015-12-28,2038
2015-12-29,1940
2015-12-30,1940
2015-12-31,1940
2016-01-01,1940
2016-01-02,1940
2016-01-03,1940
2016-01-04,1878
2016-01-05,1878
2016-01-06,1878
2016-01-07,1878
2016-01-08,1878
2016-01-09,1878
2016-01-10,1807
2016-01-11,1807
2016-01-12,1807
2016-01-13,1807
2016-01-14,1807
2016-01-15,1718
2016-01-16,1718
2016-01-17,1718
2016-01-18,1718
2016-01-19,1718
2016-01-20,1718
2016-01-21,1691
2016-01-22,1691
2016-01-23,1691
2016-01-24,1691
2016-01-25,1691
2016-01-26,1691
2016-01-27,1645
2016-01-28,1645
2016-01-29,1645
2016-01-30,1645
2016-01-31,1645
2016-02-01,1645
2016-02-02,1566
2016-02-03,1566
2016-02-04,1566
2016-02-05,1566
2016-02-06,1566
2016-02-07,1566
2016-02-08,1616
2016-02-09,1616
2016-02-10,1616
2016-02-11,1616
2016-02-12,1616
2016-02-13,1616
2016-02-14,1616
2016-02-15,1604
2016-02-16,1604
2016-02-17,1604
2016-02-18,1604
2016-02-19,1604
2016-02-20,1604
2016-02-21,1597
2016-02-22,1597
2016-02-23,1597
2016-02-24,1597
2016-02-25,1597
2016-02-26,1597
2016-02-27,1548
2016-02-28,1548
2016-02-29,1548
2016-03-01,1548
2016-03-02,1548
2016-03-03,1548
2016-03-04,1548
