date_obj,Steel%20pickaxe price
2015-03-26,1170
2015-03-27,1170
2015-03-28,1130
2015-03-29,1073
2015-03-30,1025
2015-03-31,985
2015-04-01,985
2015-04-02,946
2015-04-03,898
2015-04-04,861
2015-04-05,840
2015-04-06,810
2015-04-07,794
2015-04-08,794
2015-04-09,780
2015-04-10,765
2015-04-11,755
2015-04-12,738
2015-04-13,727
2015-04-14,727
2015-04-15,702
2015-04-16,693
2015-04-17,679
2015-04-18,679
2015-04-19,677
2015-04-20,677
2015-04-21,688
2015-04-22,701
2015-04-23,700
2015-04-24,689
2015-04-25,702
2015-04-26,693
2015-04-27,699
2015-04-28,703
2015-04-29,703
2015-04-30,692
2015-05-01,687
2015-05-02,688
2015-05-03,688
2015-05-04,703
2015-05-05,731
2015-05-06,764
2015-05-07,779
2015-05-08,800
2015-05-09,796
2015-05-10,806
2015-05-11,806
2015-05-12,807
2015-05-13,807
2015-05-14,801
2015-05-15,791
2015-05-16,797
2015-05-17,809
2015-05-18,804
2015-05-19,808
2015-05-20,808
2015-05-21,821
2015-05-22,806
2015-05-23,805
2015-05-24,806
2015-05-25,812
2015-05-26,785
2015-05-27,780
2015-05-28,780
2015-05-29,771
2015-05-30,780
2015-05-31,783
2015-06-01,778
2015-06-02,778
2015-06-03,783
2015-06-04,782
2015-06-05,763
2015-06-06,741
2015-06-07,725
2015-06-08,725
2015-06-09,728
2015-06-10,747
2015-06-11,771
2015-06-12,783
2015-06-13,771
2015-06-14,733
2015-06-15,739
2015-06-16,730
2015-06-17,738
2015-06-18,744
2015-06-19,758
2015-06-20,779
2015-06-21,795
2015-06-22,799
2015-06-23,800
2015-06-24,814
2015-06-25,814
2015-06-26,844
2015-06-27,863
2015-06-28,871
2015-06-29,893
2015-06-30,931
2015-07-01,960
2015-07-02,960
2015-07-03,970
2015-07-04,1000
2015-07-05,1016
2015-07-06,1027
2015-07-07,1042
2015-07-08,1055
2015-07-09,1055
2015-07-10,1080
2015-07-11,1064
2015-07-12,1049
2015-07-13,1027
2015-07-14,1009
2015-07-15,984
2015-07-16,988
2015-07-17,1003
2015-07-18,1022
2015-07-19,1011
2015-07-20,1017
2015-07-21,991
2015-07-22,990
2015-07-23,990
2015-07-24,972
2015-07-25,949
2015-07-26,929
2015-07-27,925
2015-07-28,925
2015-07-29,913
2015-07-30,916
2015-07-31,905
2015-08-01,896
2015-08-02,872
2015-08-03,866
2015-08-04,835
2015-08-05,821
2015-08-06,816
2015-08-07,818
2015-08-08,827
2015-08-09,836
2015-08-10,848
2015-08-11,867
2015-08-12,867
2015-08-13,875
2015-08-14,878
2015-08-15,872
2015-08-16,874
2015-08-17,885
2015-08-18,888
2015-08-19,907
2015-08-20,911
2015-08-21,910
2015-08-22,925
2015-08-23,924
2015-08-24,907
2015-08-25,907
2015-08-26,911
2015-08-27,901
2015-08-28,894
2015-08-29,900
2015-08-30,919
2015-08-31,929
2015-09-01,954
2015-09-02,954
2015-09-03,988
2015-09-04,978
2015-09-05,978
2015-09-06,977
2015-09-07,968
2015-09-08,966
2015-09-09,976
2015-09-10,973
2015-09-11,979
2015-09-12,991
2015-09-13,1010
2015-09-14,993
2015-09-15,993
2015-09-16,993
2015-09-17,1013
2015-09-18,1013
2015-09-19,1025
2015-09-20,1028
2015-09-21,1037
2015-09-22,1025
2015-09-23,1027
2015-09-24,1027
2015-09-25,1035
2015-09-27,981
2015-09-28,979
2015-09-29,973
2015-09-30,949
2015-10-05,752
2015-10-06,714
2015-10-07,697
2015-10-08,665
2015-10-09,661
2015-10-10,661
2015-10-11,663
2015-10-12,661
2015-10-13,661
2015-10-14,653
2015-10-15,640
2015-10-16,645
2015-10-17,645
2015-10-18,669
2015-10-19,682
2015-10-20,686
2015-10-22,699
2015-10-23,713
2015-10-24,715
2015-10-25,724
2015-10-26,742
2015-10-27,742
2015-10-29,779
2015-10-30,792
2015-10-31,809
2015-11-01,809
2015-11-02,816
2015-11-03,821
2015-11-04,816
2015-11-05,819
2015-11-06,846
2015-11-07,869
2015-11-08,869
2015-11-09,857
2015-11-10,865
2015-11-11,873
2015-11-12,895
2015-11-13,925
2015-11-14,945
2015-11-15,946
2015-11-16,941
2015-11-17,912
2015-11-18,874
2015-11-19,877
2015-11-20,876
2015-11-21,876
2015-11-22,915
2015-11-23,915
2015-11-24,951
2015-11-25,973
2015-11-26,973
2015-11-27,973
2015-11-28,973
2015-11-29,968
2015-11-30,997
2015-12-01,1004
2015-12-02,1030
2015-12-03,1064
2015-12-04,1064
2015-12-05,1077
2015-12-06,1091
2015-12-07,1098
2015-12-08,1107
2015-12-09,1124
2015-12-10,1142
2015-12-11,1138
2015-12-12,1162
2015-12-13,1201
2015-12-14,1201
2015-12-15,1214
2015-12-16,1237
2015-12-17,1277
2015-12-18,1307
2015-12-19,1310
2015-12-20,1285
2015-12-21,1249
2015-12-22,1204
2015-12-23,1157
2015-12-24,1108
2015-12-25,1108
2015-12-26,1082
2015-12-27,1045
2015-12-28,1041
2015-12-29,1024
2015-12-30,1012
2015-12-31,992
2016-01-01,960
2016-01-02,950
2016-01-03,943
2016-01-04,950
2016-01-05,948
2016-01-06,935
2016-01-07,923
2016-01-08,924
2016-01-09,931
2016-01-10,929
2016-01-11,959
2016-01-12,964
2016-01-13,981
2016-01-14,1001
2016-01-15,993
2016-01-16,972
2016-01-17,983
2016-01-18,969
2016-01-19,967
2016-01-20,951
2016-01-21,953
2016-01-22,964
2016-01-23,954
2016-01-24,950
2016-01-25,952
2016-01-26,934
2016-01-27,949
2016-01-28,949
2016-01-29,965
2016-01-30,965
2016-01-31,984
2016-02-01,1007
2016-02-02,1015
2016-02-03,1028
2016-02-04,1040
2016-02-05,1039
2016-02-06,1078
2016-02-07,1084
2016-02-08,1088
2016-02-09,1133
2016-02-10,1128
2016-02-11,1139
2016-02-12,1119
2016-02-13,1126
2016-02-14,1154
2016-02-15,1163
2016-02-16,1192
2016-02-17,1159
2016-02-18,1153
2016-02-19,1138
2016-02-20,1091
2016-02-21,1069
2016-02-22,1048
2016-02-23,1021
2016-02-24,1007
2016-02-25,971
2016-02-26,941
2016-02-27,923
2016-02-28,882
2016-02-29,877
2016-03-01,884
2016-03-02,888
2016-03-03,877
2016-03-04,876
2016-03-05,880
2016-03-06,851
2016-03-07,808
2016-03-08,775
2016-03-09,767
2016-03-10,753
2016-03-11,720
2016-03-12,702
2016-03-13,693
2016-03-14,674
2016-03-15,647
2016-03-16,644
2016-03-17,625
2016-03-18,617
2016-03-19,609
2016-03-20,614
2016-03-21,610
2016-03-22,612
2016-03-23,615
2016-03-24,637
2016-03-25,662
2016-03-26,687
2016-03-27,701
2016-03-28,717
2016-03-29,740
2016-03-30,740
2016-03-31,728
2016-04-01,722
2016-04-02,696
2016-04-03,682
2016-04-04,663
2016-04-05,643
2016-04-06,657
2016-04-07,675
2016-04-08,686
2016-04-09,695
2016-04-10,681
2016-04-11,681
2016-04-12,686
2016-04-13,701
2016-04-14,699
2016-04-15,701
2016-04-16,704
2016-04-17,713
2016-04-18,732
2016-04-19,733
2016-04-20,747
2016-04-21,752
2016-04-22,743
2016-04-23,756
2016-04-24,766
2016-04-25,779
2016-04-26,796
2016-04-27,819
2016-04-28,840
2016-04-29,841
2016-04-30,834
2016-05-01,817
2016-05-02,804
2016-05-03,796
2016-05-04,802
2016-05-05,820
2016-05-06,820
2016-05-07,826
2016-05-08,851
2016-05-09,861
2016-05-10,851
2016-05-11,854
2016-05-12,864
2016-05-13,884
2016-05-14,887
2016-05-15,884
2016-05-16,869
