date_obj,White%20elegant%20skirt price
2015-03-26,33914
2015-03-27,33914
2015-03-28,32361
2015-03-29,30903
2015-03-30,29516
2015-03-31,28088
2015-04-01,28088
2015-04-02,26683
2015-04-03,26683
2015-04-04,25348
2015-04-05,25348
2015-04-06,24080
2015-04-07,24080
2015-04-08,22973
2015-04-09,22973
2015-04-10,21948
2015-04-11,21948
2015-04-12,20850
2015-04-13,20850
2015-04-14,20041
2015-04-15,20041
2015-04-16,19176
2015-04-17,19176
2015-04-18,18366
2015-04-19,18366
2015-04-20,17629
2015-04-21,17629
2015-04-22,17075
2015-04-23,17075
2015-04-24,17075
2015-04-25,16292
2015-04-26,16292
2015-04-27,15477
2015-04-28,15477
2015-04-29,15477
2015-04-30,14703
2015-05-01,14703
2015-05-02,13967
2015-05-03,13967
2015-05-04,13967
2015-05-05,13289
2015-05-06,13289
2015-05-07,12663
2015-05-08,12663
2015-05-09,12075
2015-05-10,12075
2015-05-11,11546
2015-05-12,11546
2015-05-13,11001
2015-05-14,11001
2015-05-15,10493
2015-05-16,10493
2015-05-17,9985
2015-05-18,9985
2015-05-19,9806
2015-05-20,9806
2015-05-21,9806
2015-05-22,9365
2015-05-23,9365
2015-05-24,9006
2015-05-25,9006
2015-05-26,8838
2015-05-27,8838
2015-05-28,8838
2015-05-29,8555
2015-05-30,8350
2015-05-31,8350
2015-06-01,8094
2015-06-02,8094
2015-06-03,8094
2015-06-04,7978
2015-06-05,7978
2015-06-06,7609
2015-06-07,7609
2015-06-08,7228
2015-06-09,7228
2015-06-10,6872
2015-06-11,6872
2015-06-12,6872
2015-06-13,6614
2015-06-14,6614
2015-06-15,6395
2015-06-16,6395
2015-06-17,6395
2015-06-18,6499
2015-06-19,6499
2015-06-20,6499
2015-06-21,6360
2015-06-22,6360
2015-06-23,6360
2015-06-24,6270
2015-06-25,6270
2015-06-26,6270
2015-06-27,6161
2015-06-28,6161
2015-06-29,6089
2015-06-30,6089
2015-07-01,6089
2015-07-02,6089
2015-07-03,5968
2015-07-04,5968
2015-07-05,5968
2015-07-06,5933
2015-07-07,5933
2015-07-08,6043
2015-07-09,6043
2015-07-10,6043
2015-07-11,6062
2015-07-12,6062
2015-07-13,6062
2015-07-14,5813
2015-07-15,5813
2015-07-16,5813
2015-07-17,5813
2015-07-18,5813
2015-07-19,5813
2015-07-20,5774
2015-07-21,5774
2015-07-22,5774
2015-07-23,6023
2015-07-24,6023
2015-07-25,6282
2015-07-26,6282
2015-07-27,6282
2015-07-28,6501
2015-07-29,6501
2015-07-30,6444
2015-07-31,6444
2015-08-01,6444
2015-08-02,6497
2015-08-03,6497
2015-08-04,6497
2015-08-05,6519
2015-08-06,6519
2015-08-07,6519
2015-08-08,6224
2015-08-09,6224
2015-08-10,6049
2015-08-11,6049
2015-08-12,6049
2015-08-13,5807
2015-08-14,5807
2015-08-15,5807
2015-08-16,5516
2015-08-17,5516
2015-08-18,5260
2015-08-19,5260
2015-08-20,5216
2015-08-21,5216
2015-08-22,5035
2015-08-23,5035
2015-08-24,5035
2015-08-25,4901
2015-08-26,4901
