date_obj,Green%20headband price
2015-03-26,110042
2015-03-27,110042
2015-03-28,107317
2015-03-29,104985
2015-03-30,102216
2015-03-31,99667
2015-04-01,99719
2015-04-02,96964
2015-04-03,97372
2015-04-04,95174
2015-04-05,95844
2015-04-06,94344
2015-04-07,91491
2015-04-08,91491
2015-04-09,89065
2015-04-10,89473
2015-04-11,88879
2015-04-12,87859
2015-04-13,85194
2015-04-14,85194
2015-04-15,82259
2015-04-16,82661
2015-04-17,80525
2015-04-18,78859
2015-04-19,77194
2015-04-20,78228
2015-04-21,77367
2015-04-22,76076
2015-04-23,74549
2015-04-24,74196
2015-04-25,74279
2015-04-26,72837
2015-04-27,71240
2015-04-28,69378
2015-04-29,69378
2015-04-30,67927
2015-05-01,66997
2015-05-02,65901
2015-05-03,65901
2015-05-04,64724
2015-05-05,63866
2015-05-06,61502
2015-05-07,59940
2015-05-08,59807
2015-05-09,60150
2015-05-10,60657
2015-05-11,61458
2015-05-12,61932
2015-05-13,62551
2015-05-14,63066
2015-05-15,64236
2015-05-16,66073
2015-05-17,66572
2015-05-18,67657
2015-05-19,68821
2015-05-20,68821
2015-05-21,70379
2015-05-22,72223
2015-05-23,72415
2015-05-24,71672
2015-05-25,68141
2015-05-26,65519
2015-05-27,65519
2015-05-28,63641
2015-05-29,62542
2015-05-30,61230
2015-05-31,61230
2015-06-01,58736
2015-06-02,58736
2015-06-03,55799
2015-06-04,55799
2015-06-05,53151
2015-06-06,51594
2015-06-07,51594
2015-06-08,49503
2015-06-09,48380
2015-06-10,48411
2015-06-11,48411
2015-06-12,48872
2015-06-13,48106
2015-06-14,46339
2015-06-15,46339
2015-06-16,45811
2015-06-17,45811
2015-06-18,43960
2015-06-19,43960
2015-06-20,42851
2015-06-21,42851
2015-06-22,41967
2015-06-23,41967
2015-06-24,40981
2015-06-25,40981
2015-06-26,39752
2015-06-27,39752
2015-06-28,38610
2015-06-29,38610
2015-06-30,37498
2015-07-01,37084
2015-07-02,37084
2015-07-03,35667
2015-07-04,36058
2015-07-05,36058
2015-07-06,34962
2015-07-07,35178
2015-07-08,35178
2015-07-09,35178
2015-07-10,34706
2015-07-11,34706
2015-07-12,34791
2015-07-13,34791
2015-07-14,33774
