date_obj,Blue%20dragon%20mask price
2015-03-26,16675
2015-03-27,16675
2015-03-28,16279
2015-03-29,15941
2015-03-30,15674
2015-03-31,15153
2015-04-01,15153
2015-04-02,14452
2015-04-03,13906
2015-04-04,13263
2015-04-05,12807
2015-04-06,12419
2015-04-07,12163
2015-04-08,11998
2015-04-09,11762
2015-04-10,11657
2015-04-11,11415
2015-04-12,11201
2015-04-13,11090
2015-04-14,10990
2015-04-15,10838
2015-04-16,10747
2015-04-17,10898
2015-04-18,10353
2015-04-19,10008
2015-04-20,10008
2015-04-21,10002
2015-04-22,9842
2015-04-23,9680
2015-04-24,9517
2015-04-25,9190
2015-04-26,9005
2015-04-27,8824
2015-04-28,8719
2015-04-29,8719
2015-04-30,8865
2015-05-01,8860
2015-05-02,8568
2015-05-03,8568
2015-05-04,8784
2015-05-05,8844
2015-05-06,8834
2015-05-07,8666
2015-05-08,8925
2015-05-09,9325
2015-05-10,9575
2015-05-11,9575
2015-05-12,9688
2015-05-13,9688
2015-05-14,9482
2015-05-15,9360
2015-05-16,9360
2015-05-17,9066
2015-05-18,8978
2015-05-19,8874
2015-05-20,8874
2015-05-21,8630
2015-05-22,8315
2015-05-23,8303
2015-05-24,8281
2015-05-25,8166
2015-05-26,8109
2015-05-27,8057
2015-05-28,8186
2015-05-29,8146
2015-05-30,8067
2015-05-31,8298
2015-06-01,8296
2015-06-02,8296
2015-06-03,8207
2015-06-04,8240
2015-06-05,8359
2015-06-06,8314
2015-06-07,8314
2015-06-08,8343
2015-06-09,8286
2015-06-10,8287
2015-06-11,8287
2015-06-12,8146
2015-06-13,8208
2015-06-14,8374
2015-06-15,8374
2015-06-16,8443
2015-06-17,8798
2015-06-18,9070
2015-06-19,9193
2015-06-20,9189
2015-06-21,9189
2015-06-22,9457
2015-06-23,9457
2015-06-24,9785
2015-06-25,9785
2015-06-26,9654
2015-06-27,9654
2015-06-28,9527
2015-06-29,9527
2015-06-30,9575
2015-07-01,9678
2015-07-02,9678
2015-07-03,9725
2015-07-04,9731
2015-07-05,9822
2015-07-06,9822
