date_obj,Larupia%20fur price
2015-03-26,14483
2015-03-27,14483
2015-03-28,14483
2015-03-29,14483
2015-03-30,14483
2015-03-31,14483
2015-04-01,14483
2015-04-02,14483
2015-04-03,14483
2015-04-04,14483
2015-04-05,14483
2015-04-06,14483
2015-04-07,14483
2015-04-08,14483
2015-04-09,14483
2015-04-10,14483
2015-04-11,14483
2015-04-12,14483
2015-04-13,14483
2015-04-14,14483
2015-04-15,14483
2015-04-16,13796
2015-04-17,13796
2015-04-18,13796
2015-04-19,13796
2015-04-20,13796
2015-04-21,13796
2015-04-22,13796
2015-04-23,13796
2015-04-24,13796
2015-04-25,13796
2015-04-26,13796
2015-04-27,13796
2015-04-28,13796
2015-04-29,13796
2015-04-30,13796
2015-05-01,13796
2015-05-02,13796
2015-05-03,13796
2015-05-04,13796
2015-05-05,13796
2015-05-06,13796
2015-05-07,13796
2015-05-08,13796
2015-05-09,13796
2015-05-10,13796
2015-05-11,13796
2015-05-12,13796
2015-05-13,13796
2015-05-14,13796
2015-05-15,13796
2015-05-16,13796
2015-05-17,13129
2015-05-18,13129
2015-05-19,13129
2015-05-20,13129
2015-05-21,13129
2015-05-22,13129
2015-05-23,13129
2015-05-24,13129
2015-05-25,13129
2015-05-26,13129
2015-05-27,13129
2015-05-28,13129
2015-05-29,13129
2015-05-30,13129
2015-05-31,13129
2015-06-01,13129
2015-06-02,13129
2015-06-03,13129
2015-06-04,13129
2015-06-05,13129
2015-06-06,13129
2015-06-07,13129
2015-06-08,13129
2015-06-09,13129
2015-06-10,13129
2015-06-11,12511
2015-06-12,12511
2015-06-13,12511
2015-06-14,12511
2015-06-15,12511
2015-06-16,12511
2015-06-17,12511
2015-06-18,12511
2015-06-19,12511
2015-06-20,12511
2015-06-21,12511
2015-06-22,12511
2015-06-23,12511
2015-06-24,12511
2015-06-25,12511
2015-06-26,12511
2015-06-27,12511
2015-06-28,12511
2015-06-29,12511
2015-06-30,12511
2015-07-01,12511
2015-07-02,12511
2015-07-03,12511
2015-07-04,12511
2015-07-05,11928
2015-07-06,11928
2015-07-07,11928
2015-07-08,11928
2015-07-09,11928
2015-07-10,11928
2015-07-11,11928
2015-07-12,11928
2015-07-13,11928
2015-07-14,11928
2015-07-15,11928
2015-07-16,11928
2015-07-17,11928
2015-07-18,11928
2015-07-19,11928
2015-07-20,11928
2015-07-21,11928
