date_obj,Bullseye%20lantern%20(empty) price
2015-03-26,4553
2015-03-27,4553
2015-03-28,4553
2015-03-29,4553
2015-03-30,4553
2015-03-31,4553
2015-04-01,4553
2015-04-02,4553
2015-04-03,4335
2015-04-04,4335
2015-04-05,4335
2015-04-06,4335
2015-04-07,4335
2015-04-08,4335
2015-04-09,4335
2015-04-10,4335
2015-04-11,4335
2015-04-12,4335
2015-04-13,4335
2015-04-14,4335
2015-04-15,4123
2015-04-16,4123
2015-04-17,4123
2015-04-18,4123
2015-04-19,4123
2015-04-20,4123
2015-04-21,4123
2015-04-22,4123
2015-04-23,4123
2015-04-24,4123
2015-04-25,4123
2015-04-26,4123
2015-04-27,4123
2015-04-28,4123
2015-04-29,4123
2015-04-30,3918
2015-05-01,3918
2015-05-02,3918
2015-05-03,3918
2015-05-04,3918
2015-05-05,3918
2015-05-06,3918
2015-05-07,3918
2015-05-08,3918
2015-05-09,3918
2015-05-10,3918
2015-05-11,3918
2015-05-12,3918
2015-05-13,3918
2015-05-14,3918
2015-05-15,3781
2015-05-16,3781
2015-05-17,3781
2015-05-18,3781
2015-05-19,3781
2015-05-20,3781
2015-05-21,3781
2015-05-22,3781
2015-05-23,3781
2015-05-24,3781
2015-05-25,3781
2015-05-26,3781
2015-05-27,3781
2015-05-28,3597
2015-05-29,3597
2015-05-30,3597
2015-05-31,3597
2015-06-01,3597
2015-06-02,3597
2015-06-03,3597
2015-06-04,3597
2015-06-05,3597
2015-06-06,3597
2015-06-07,3423
2015-06-08,3423
2015-06-09,3423
2015-06-10,3423
2015-06-11,3423
2015-06-12,3423
2015-06-13,3423
2015-06-14,3423
2015-06-15,3423
2015-06-16,3423
2015-06-17,3423
2015-06-18,3257
2015-06-19,3257
2015-06-20,3257
2015-06-21,3257
2015-06-22,3257
2015-06-23,3257
2015-06-24,3257
2015-06-25,3257
2015-06-26,3257
2015-06-27,3257
2015-06-28,3115
2015-06-29,3115
2015-06-30,3115
2015-07-01,3115
2015-07-02,3115
2015-07-03,3115
2015-07-04,3115
2015-07-05,3115
2015-07-06,3115
2015-07-07,3115
2015-07-08,3115
2015-07-09,3115
2015-07-10,2970
2015-07-11,2970
2015-07-12,2970
2015-07-13,2970
2015-07-14,2970
2015-07-15,2970
2015-07-16,2970
2015-07-17,2970
2015-07-18,2970
2015-07-19,2970
2015-07-20,2970
2015-07-21,2970
2015-07-22,2850
2015-07-23,2850
2015-07-24,2850
2015-07-25,2850
2015-07-26,2850
2015-07-27,2850
2015-07-28,2850
2015-07-29,2850
2015-07-30,2850
2015-07-31,2850
2015-08-01,2850
2015-08-02,2850
2015-08-03,2710
2015-08-04,2710
2015-08-05,2710
2015-08-06,2710
2015-08-07,2710
2015-08-08,2710
2015-08-09,2710
2015-08-10,2710
2015-08-11,2710
2015-08-12,2710
2015-08-13,2710
2015-08-14,2581
2015-08-15,2581
2015-08-16,2581
2015-08-17,2581
2015-08-18,2581
2015-08-19,2581
2015-08-20,2581
2015-08-21,2581
2015-08-22,2581
2015-08-23,2581
2015-08-24,2456
2015-08-25,2456
2015-08-26,2456
2015-08-27,2456
2015-08-28,2456
2015-08-29,2456
2015-08-30,2456
2015-08-31,2456
2015-09-01,2456
2015-09-02,2456
2015-09-03,2456
2015-09-04,2339
2015-09-05,2339
2015-09-06,2339
2015-09-07,2339
2015-09-08,2339
2015-09-09,2339
2015-09-10,2339
2015-09-11,2339
2015-09-12,2339
2015-09-13,2339
2015-09-14,2339
2015-09-15,2236
2015-09-16,2236
2015-09-17,2236
2015-09-18,2236
2015-09-19,2236
2015-09-20,2236
2015-09-21,2236
2015-09-22,2236
2015-09-23,2236
2015-09-24,2236
2015-09-25,2236
2015-09-27,2134
2015-09-28,2134
2015-09-29,2134
2015-09-30,2134
2015-10-05,2134
2015-10-06,2134
2015-10-07,2134
2015-10-08,2033
2015-10-09,2033
2015-10-10,2033
2015-10-11,2033
2015-10-12,2033
2015-10-13,2033
2015-10-14,2033
2015-10-15,2033
2015-10-16,2033
2015-10-17,2033
2015-10-18,2033
2015-10-19,2033
2015-10-20,1948
2015-10-22,1948
2015-10-23,1948
2015-10-24,1948
2015-10-25,1948
2015-10-26,1948
2015-10-27,1948
2015-10-29,1948
2015-10-30,1948
2015-10-31,1948
2015-11-01,1948
2015-11-02,1948
2015-11-03,1859
2015-11-04,1859
2015-11-05,1859
2015-11-06,1859
2015-11-07,1859
2015-11-08,1859
2015-11-09,1859
2015-11-10,1859
2015-11-11,1859
2015-11-12,1859
2015-11-13,1859
2015-11-14,1859
2015-11-15,1859
2015-11-16,1859
2015-11-17,1859
2015-11-18,1772
2015-11-19,1772
2015-11-20,1772
2015-11-21,1772
2015-11-22,1772
2015-11-23,1772
2015-11-24,1772
2015-11-25,1772
