date_obj,Black%20dragonhide%20set price
2015-03-26,16344
2015-03-27,16344
2015-03-28,16381
2015-03-29,16381
2015-03-30,16618
2015-03-31,16618
2015-04-01,16510
2015-04-02,16510
2015-04-03,16219
2015-04-04,16219
2015-04-05,16028
2015-04-06,16028
2015-04-07,16297
2015-04-08,16297
2015-04-09,16297
2015-04-10,15975
2015-04-11,15975
2015-04-12,16137
2015-04-13,16137
2015-04-14,16326
2015-04-15,16326
2015-04-16,16386
2015-04-17,16386
2015-04-18,16358
2015-04-19,16358
2015-04-20,16673
2015-04-21,16673
2015-04-22,16638
2015-04-23,16638
2015-04-24,16471
2015-04-25,16471
2015-04-26,16794
2015-04-27,16794
2015-04-28,16933
2015-04-29,16933
2015-04-30,16803
2015-05-01,16803
2015-05-02,16432
2015-05-03,16432
2015-05-04,15858
2015-05-05,15858
2015-05-06,15289
2015-05-07,15289
2015-05-08,15047
2015-05-09,15047
2015-05-10,15218
2015-05-11,15218
2015-05-12,15178
2015-05-13,15178
2015-05-14,15024
2015-05-15,15024
2015-05-16,15024
2015-05-17,15546
2015-05-18,15546
2015-05-19,16202
2015-05-20,16202
2015-05-21,16202
2015-05-22,16603
2015-05-23,16603
2015-05-24,16006
2015-05-25,16006
2015-05-26,16670
2015-05-27,16670
2015-05-28,17151
2015-05-29,17151
2015-05-30,16989
2015-05-31,16989
2015-06-01,16723
2015-06-02,16723
2015-06-03,16599
2015-06-04,16599
2015-06-05,16407
2015-06-06,16407
2015-06-07,16611
2015-06-08,16611
2015-06-09,16644
2015-06-10,16515
2015-06-11,16515
2015-06-12,16778
2015-06-13,16901
2015-06-14,16901
2015-06-15,16839
2015-06-16,16839
2015-06-17,17054
2015-06-18,16656
2015-06-19,16656
2015-06-20,16434
2015-06-21,16434
2015-06-22,16001
2015-06-23,16001
2015-06-24,16183
2015-06-25,16183
2015-06-26,16248
2015-06-27,16248
2015-06-28,16024
2015-06-29,16024
2015-06-30,15893
2015-07-01,15893
2015-07-02,16436
2015-07-03,16716
2015-07-04,16716
2015-07-05,16764
2015-07-06,16764
2015-07-07,16563
2015-07-08,16564
2015-07-09,16564
2015-07-10,16758
2015-07-11,16758
2015-07-12,17392
2015-07-13,17392
2015-07-14,17064
2015-07-15,17064
2015-07-16,16489
2015-07-17,16316
2015-07-18,16316
2015-07-19,16329
2015-07-20,16589
2015-07-21,16589
2015-07-22,16867
2015-07-23,16867
2015-07-24,17327
2015-07-25,17327
2015-07-26,17660
2015-07-27,17660
2015-07-28,17569
2015-07-29,17143
2015-07-30,17143
2015-07-31,17203
2015-08-01,17203
2015-08-02,17448
2015-08-03,17448
2015-08-04,17327
2015-08-05,17471
2015-08-06,17471
2015-08-07,17534
2015-08-08,17324
2015-08-09,17324
2015-08-10,16624
2015-08-11,16888
2015-08-12,16888
2015-08-13,17251
2015-08-14,17832
2015-08-15,17832
2015-08-16,18368
2015-08-17,17745
2015-08-18,17745
2015-08-19,17062
2015-08-20,17062
2015-08-21,16757
2015-08-22,16478
2015-08-23,16478
2015-08-24,16533
2015-08-25,16533
2015-08-26,16950
2015-08-27,17513
2015-08-28,17513
2015-08-29,17778
2015-08-30,17778
2015-08-31,17541
2015-09-01,17541
2015-09-02,16960
2015-09-03,16960
2015-09-04,16525
2015-09-05,16525
2015-09-06,16808
2015-09-07,16808
2015-09-08,16844
2015-09-09,16844
2015-09-10,16721
2015-09-11,16721
2015-09-12,16843
2015-09-13,17307
2015-09-14,17307
2015-09-15,17578
2015-09-16,17578
2015-09-17,17128
2015-09-18,17128
2015-09-19,17106
2015-09-20,17106
2015-09-21,17159
2015-09-22,17159
2015-09-23,16573
2015-09-24,16573
2015-09-25,16090
2015-09-27,16146
2015-09-28,16146
2015-09-29,16436
2015-09-30,16736
2015-10-05,16867
2015-10-06,16689
2015-10-07,16689
2015-10-08,16534
2015-10-09,16383
2015-10-10,16383
2015-10-11,16524
2015-10-12,16524
2015-10-13,16650
2015-10-14,16650
2015-10-15,16626
2015-10-16,16626
2015-10-17,16434
2015-10-18,15770
2015-10-19,16150
2015-10-20,16150
2015-10-22,16512
2015-10-23,16608
2015-10-24,16608
2015-10-25,16980
2015-10-26,16980
2015-10-27,16971
2015-10-29,17158
2015-10-30,17158
2015-10-31,16866
2015-11-01,16866
2015-11-02,16169
2015-11-03,16169
2015-11-04,16071
2015-11-05,16071
2015-11-06,16282
2015-11-07,16628
2015-11-08,16628
2015-11-09,16607
2015-11-10,16607
2015-11-11,16884
2015-11-12,16884
2015-11-13,17261
2015-11-14,17261
2015-11-15,17219
2015-11-16,17219
2015-11-17,17112
2015-11-18,17112
2015-11-19,17295
2015-11-20,16996
2015-11-21,16996
2015-11-22,17350
2015-11-23,17350
2015-11-24,17643
2015-11-25,17864
2015-11-26,17864
2015-11-27,17501
2015-11-28,17501
2015-11-29,17864
2015-11-30,17834
2015-12-01,17834
2015-12-02,17547
2015-12-03,17569
2015-12-04,17569
