date_obj,Butterfly%20jar price
2015-03-26,385
2015-03-27,385
2015-03-28,385
2015-03-29,385
2015-03-30,385
2015-03-31,385
2015-04-01,385
2015-04-02,368
2015-04-03,368
2015-04-04,368
2015-04-05,368
2015-04-06,368
2015-04-07,368
2015-04-08,349
2015-04-09,349
2015-04-10,349
2015-04-11,349
2015-04-12,349
2015-04-13,349
2015-04-14,349
2015-04-15,331
2015-04-16,331
2015-04-17,331
2015-04-18,331
2015-04-19,331
2015-04-20,331
2015-04-21,331
2015-04-22,319
2015-04-23,319
2015-04-24,319
2015-04-25,319
2015-04-26,319
2015-04-27,319
2015-04-28,319
2015-04-29,310
2015-04-30,310
2015-05-01,310
2015-05-02,310
2015-05-03,310
2015-05-04,310
2015-05-05,299
2015-05-06,299
2015-05-07,299
2015-05-08,299
2015-05-09,299
2015-05-10,299
2015-05-11,299
2015-05-12,296
2015-05-13,296
2015-05-14,296
2015-05-15,296
2015-05-16,296
2015-05-17,296
2015-05-18,296
2015-05-19,293
2015-05-20,293
2015-05-21,293
2015-05-22,293
2015-05-23,293
2015-05-24,293
2015-05-25,293
2015-05-26,293
2015-05-27,281
2015-05-28,281
2015-05-29,281
2015-05-30,281
2015-05-31,281
2015-06-01,281
2015-06-02,277
2015-06-03,277
2015-06-04,277
2015-06-05,277
2015-06-06,277
2015-06-07,277
2015-06-08,266
2015-06-09,266
2015-06-10,266
2015-06-11,266
2015-06-12,266
2015-06-13,266
2015-06-14,266
2015-06-15,253
2015-06-16,253
2015-06-17,253
2015-06-18,253
2015-06-19,253
2015-06-20,253
2015-06-21,253
2015-06-22,249
2015-06-23,249
2015-06-24,249
2015-06-25,249
2015-06-26,249
2015-06-27,249
2015-06-28,249
2015-06-29,239
2015-06-30,239
2015-07-01,239
2015-07-02,239
2015-07-03,239
2015-07-04,239
2015-07-05,239
2015-07-06,231
2015-07-07,231
2015-07-08,231
2015-07-09,231
2015-07-10,231
2015-07-11,231
2015-07-12,231
2015-07-13,221
2015-07-14,221
2015-07-15,221
2015-07-16,221
2015-07-17,221
2015-07-18,221
2015-07-19,221
2015-07-20,214
2015-07-21,214
2015-07-22,214
2015-07-23,214
2015-07-24,214
2015-07-25,214
2015-07-26,211
2015-07-27,211
2015-07-28,211
2015-07-29,211
2015-07-30,211
2015-07-31,211
2015-08-01,211
2015-08-02,209
2015-08-03,209
2015-08-04,209
2015-08-05,209
2015-08-06,209
2015-08-07,209
2015-08-08,209
2015-08-09,202
2015-08-10,202
2015-08-11,202
2015-08-12,202
2015-08-13,202
2015-08-14,202
2015-08-15,202
2015-08-16,202
2015-08-17,202
2015-08-18,202
2015-08-19,195
2015-08-20,195
2015-08-21,195
2015-08-22,195
2015-08-23,195
2015-08-24,195
2015-08-25,195
2015-08-26,195
2015-08-27,195
2015-08-28,195
2015-08-29,195
2015-08-30,188
2015-08-31,188
2015-09-01,188
2015-09-02,188
2015-09-03,188
2015-09-04,188
2015-09-05,188
2015-09-06,188
2015-09-07,188
2015-09-08,188
2015-09-09,188
2015-09-10,178
2015-09-11,178
2015-09-12,178
2015-09-13,178
2015-09-14,178
2015-09-15,178
2015-09-16,178
2015-09-17,178
2015-09-18,178
2015-09-19,178
2015-09-20,174
2015-09-21,174
2015-09-22,174
2015-09-23,174
2015-09-24,174
2015-09-25,174
2015-09-27,174
2015-09-28,174
2015-09-29,174
